text,ade,term_PT
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",back pain,back pain
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",shoulder,arthralgia
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",headache,headache
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",lower back pain,back pain
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",limping,gait disturbance
whoah so dizzing.  damn   tamazapam - shld probably wap back to quetiapine if this keeps up! but it makes me feel so ick!,feel so ick,malaise
whoah so dizzing.  damn   tamazapam - shld probably wap back to quetiapine if this keeps up! but it makes me feel so ick!,dizzing,dizziness
"14.11 day 17 rivaroxaban diary. still waiting for doctor to phone me ""around lunchtime"". taken more paracetamol to dull the aches.",aches,pain
"@kkarkatvantas1 (( when i used to take trazodone to sleep, people would make me stay up after i took it so they could watch me be high ))",high,euphoric mood
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,flu symptoms,influenza like illness
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,cant keep still,restlessness
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,coming off,drug withdrawal syndrome
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,nausea,nausea
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,hangover,hangover
@bipolarblogger i'm on citalapram and 600mg quetiapine - i'm not sleeping!,not sleeping,insomnia
i love this effexor! majorly kills my libido.,kills my libido,loss of libido
@doctorchristian @c4dispatch re victoza i was prescribed this in 2010 for obesity. caused pancreatitis and digestive problems ever since,pancreatitis,pancreatitis
@doctorchristian @c4dispatch re victoza i was prescribed this in 2010 for obesity. caused pancreatitis and digestive problems ever since,digestive problems,abdominal discomfort
god knows how i'm going to sleep tonight after sleeping 9 hours in the day ? #trazodone ?,sleeping 9 hours in the day,somnolence
going through a real bad nicotine withdraw...,withdraw,withdrawal syndrome
"@inukeyou and then i had horrible sleep once i took the trazodone. i just couldn't win, haha.",horrible sleep,sleep disorder
"@notquitereal oh, really? that's what gave me the terrible reaction. my current doctor told me he'd almost never prescribe fluoxetine.",reaction,hypersensitivity
@amybadkin @kate24hrs_aday not to worry - just a bit of temporary fuzziness. i've been on humira since 2007 &amp; love it.,fuzziness,feeling abnormal
think i'm going to test this quetiapine headache theory &amp; take some prn &amp; see if it goes away.,headache,headache
"have been in a lot of pain all day though and i feel and look like a zombie. seroquel is quite an annoying medication, ugh. -.-",zombie,feeling abnormal
"have been in a lot of pain all day though and i feel and look like a zombie. seroquel is quite an annoying medication, ugh. -.-",pain,pain
just woke up. since i started on the higher dose of quetiapine i'm sleeping even more &amp; i feel knackered when i wake.,sleeping,somnolence
just woke up. since i started on the higher dose of quetiapine i'm sleeping even more &amp; i feel knackered when i wake.,knackered when i wake,somnolence
"@stfumisogynists brain zaps? happens a lot when missing doses, (especially with effexor &amp; wellbutrin ime) - just feels weird. no real danger",brain zaps,paraesthesia
alright time to find out if a shit ton of vyvanse and not sleeping for 2 days can get a trimester worth of homework done for 2 classes,not sleeping,insomnia
packing whilst experiencing venlafaxine withdrawal is pretty hellish. got to keep track of my med times.,withdrawal,withdrawal syndrome
18.08 day 11 rivaroxaban diary intense back pain  at a funeral from 10.30am.  paracetamol eventually took it off. very weak and aching knees,aching knees,arthralgia
18.08 day 11 rivaroxaban diary intense back pain  at a funeral from 10.30am.  paracetamol eventually took it off. very weak and aching knees,weak,asthenia
18.08 day 11 rivaroxaban diary intense back pain  at a funeral from 10.30am.  paracetamol eventually took it off. very weak and aching knees,back pain,back pain
i'm having to pee way too much this drive.. drinking too much water. fuck you 70mg vyvanse and your ability to dehydrate the fuck out of me.,dehydrate,dehydration
i'm having to pee way too much this drive.. drinking too much water. fuck you 70mg vyvanse and your ability to dehydrate the fuck out of me.,pee way too much,pollakiuria
"@catthoma right, some ssris are used for cataplexy, as is effexor. can be tricky to wean off without rebound.  #nchat",rebound,rebound effect
venlafaxine hangover finally starting to shift after 2 huge mugs of hot water with giant pieces of lemon...,hangover,hangover
that seroquel had me sleepy as fuck alllll damn day,sleepy,somnolence
@eqinnastra all the time! i took trazodone last night and it really helped- but it was difficult to wake up :-/,difficult to wake up,somnolence
doc for panic disorders: alprazolam (addictive) and paroxetine (sedating). #psychiatry,sedating,sedation
doc for panic disorders: alprazolam (addictive) and paroxetine (sedating). #psychiatry,addictive,dependence
life alert life alert i am burping up fluoxetine powder i think i might die,burping,eructation
screw you paxil! you do wonders for anxiety but you make me a ultra lightweight,lightweight,alcohol intolerance
@almostwell yeh same bk felt like sumo wrestler on it all time :( think its f****ed me 4life :( ironic as humira is used to treat artheritis,felt like sumo wrestler,abdominal distension
i've been really forgetting to take my paxil lately but if i take it with a my seroquel it makes my sinuses close up :(,sinuses close up,nasal congestion
"@bobsmithno6 aw, dude. i've been on both in the past. don't stop fluoxetine suddenly - the withdrawal effects are awful. do it gradually.",withdrawal,withdrawal syndrome
"@mesgreene humira worked for me much better than remicaid. i felt constantly beat up on r. humira was much easier to administer, too.",beat up,fatigue
@ineptune_ samezies :( it's the lamictal i'm flat as a kate hudson in how to lose a guy in 10 days,flat,flat affect
rt @vyvansethoughts: @the_ignorable hungover shakes  vyvanse shakes  coffee = recipe for success,shakes,tremor
vyvanse makes me having the sleeping schedule of a vampire.,sleeping schedule of a vampire,insomnia
@ineedyouhere66 ugh the olanzapine makes me so tired :(,tired,fatigue
"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",hurt,pain
"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",heels,pain in extremity
"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",blew out my arms,limb injury
"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",pain,pain
"coming up this week: seroquel is notorious for two things - making you sleep until next tuesday, and leaving you a hangover.  lovely.",sleep,somnolence
"coming up this week: seroquel is notorious for two things - making you sleep until next tuesday, and leaving you a hangover.  lovely.",hangover,hangover
but i'm happy to be clean. just really really really really really really really sucked going from 100mg desvenlafaxine / day to zero.,sucked going from 100mg desvenlafaxine / day to zero,withdrawal syndrome
this seroquel got me lo0o0py as helll.  this status took me at least thirty minutes to type i keep waking up without knowing i feel asleep,thirty minutes to type,confusional state
this seroquel got me lo0o0py as helll.  this status took me at least thirty minutes to type i keep waking up without knowing i feel asleep,lo0o0py,feeling abnormal
this seroquel got me lo0o0py as helll.  this status took me at least thirty minutes to type i keep waking up without knowing i feel asleep,waking up without knowing i feel asleep,somnolence
if this fuckin emt looks at me one more time hes gonna feel the wrath of my vyvanse rage,rage,anger
@stillicides @stfumisogynists @schizophrenicgb *buts in* you don't wanna miss venlafaxine no no it made me so wonky missing one day! ouch,wonky,feeling abnormal
@lisabrownphotos consider yourself lucky if all it does is make you dizzy and sick!  cipro crippled me and countless others.,crippled,gait inability
@lisabrownphotos consider yourself lucky if all it does is make you dizzy and sick!  cipro crippled me and countless others.,sick,malaise
@lisabrownphotos consider yourself lucky if all it does is make you dizzy and sick!  cipro crippled me and countless others.,dizzy,dizziness
boniva would've been better properly named as an erectile dysfunction drug.,erectile dysfunction,erectile dysfunction
going back to bed for a nap. seroquel has turned me into a zombie again today.,zombie,feeling abnormal
@thebookgirl985 trazodone makes me hungry. prop my eyelids open with toothpicks and drive me to a buffet?,hungry,hunger
@thebookgirl985 trazodone makes me hungry. prop my eyelids open with toothpicks and drive me to a buffet?,prop my eyelids open,somnolence
i really hate the fact that i feel like i need to throw up while at work. maybe taking my vyvanse wasn't a good idea,feel like i need to throw up,nausea
"things which are the spawn of satin: mosquitoes, bananas, facebook, paxil withdrawal symptoms. #bewareofsatin",withdrawal,withdrawal syndrome
i am never taking baclofen and norflex the same day again. first i felt super drowsy but now i feel extremely high and it's freaking me out.,drowsy,somnolence
i am never taking baclofen and norflex the same day again. first i felt super drowsy but now i feel extremely high and it's freaking me out.,high,euphoric mood
@holeri81 crippled since oct of '09 thanks to just 12 cipro pills here...run for your life! tendon rupture is only the tip of the iceberg.,tendon rupture,tendon rupture
@holeri81 crippled since oct of '09 thanks to just 12 cipro pills here...run for your life! tendon rupture is only the tip of the iceberg.,crippled,gait inability
@anarchasxworker coming off effexor was the worst ever. even my doctor was terrified of me doing it but the side effects left me no choice.,coming off effexor was the worst,withdrawal syndrome
"so unfair, i never get the good side effects of meds. ativan, seroquel, &amp; ambien xr make me feel so drink i cant really walk &amp; im nauseated",feel so drink,feeling drunk
"so unfair, i never get the good side effects of meds. ativan, seroquel, &amp; ambien xr make me feel so drink i cant really walk &amp; im nauseated",nauseated,nausea
"so unfair, i never get the good side effects of meds. ativan, seroquel, &amp; ambien xr make me feel so drink i cant really walk &amp; im nauseated",cant really walk,gait inability
zoloft was just as bad as effexor. it made me more depressed and more suicidal. i don't want it.,suicidal,suicidal ideation
zoloft was just as bad as effexor. it made me more depressed and more suicidal. i don't want it.,depressed,depression
@rayydepotter yeaa bihh all jacked up on vyvanse!??,jacked up,agitation
@sarahchoueiry cipro and flagyl are the absolute worst. like taking rat poison.,like taking rat poison,malaise
"coming off cymbalta sucks, i've been slowly cutting back for the past 3 months. have finally made it over a weeks since i have taken it.",coming off cymbalta sucks,withdrawal syndrome
@darko_marco i've no probs with porn other than the fact that i've gained 80 pounds on effexor and no one needs to see that ;-),gained 80 pounds,weight increased
my nigga dante addicted to that nicotine,addicted,dependence
it's 6 am and still no sleep fuck you vyvanse,no sleep,insomnia
"found out that it could be two months before i sleep well again now that i'm off seroquel. srsly, fuck the psychiatrist that put me on it.",sleep,sleep disorder
"@alyseisspecial omg seroquel. that made me crazy town. i hope it's a low dose. so it's almost midnight. last gulp now, and sober tomorrow.",crazy town,psychotic disorder
"the 100mg tabs of trazodone my gp prescribed are too much, now that i don't take them every night. still zombieish after an hour awake.",zombieish,feeling abnormal
woke up to breakfast in bed...well couch because i'm addicted to the new 3d wifi tv. too bad i have no appetite. thanks cymbalta.,no appetite,decreased appetite
not sure the paxil is working any more,working any more,tachyphylaxis
"took a quetiapine it's been a while and i'm ready for bed, so tiiiiired",tiiiiired,fatigue
@drdrew i recently stopped taking effexor 225 what can i do to ease my withdrawls?i feel miserable right now and very angry.please any ideas,angry,anger
@drdrew i recently stopped taking effexor 225 what can i do to ease my withdrawls?i feel miserable right now and very angry.please any ideas,withdrawls,withdrawal syndrome
@drdrew i recently stopped taking effexor 225 what can i do to ease my withdrawls?i feel miserable right now and very angry.please any ideas,miserable,feeling abnormal
developing add in my 20s thanks to the memory/attention-killing lamictal i've been on since my early teens. #bipolar #morepillsmoreproblems,add,attention deficit hyperactivity disorder
developing add in my 20s thanks to the memory/attention-killing lamictal i've been on since my early teens. #bipolar #morepillsmoreproblems,attention-killing,disturbance in attention
"wanna go back to sleep, but this vyvanse ain't letting me?",back to sleep,sleep disorder
i decided to try visualization tapes again. at least they wouldn't give me a rash like lamictal.,rash,rash
vyvanse is a hell of a drug. you get expensive insomnia! and you get expensive insomnia!,insomnia,insomnia
also the lamotrigine dose feels a bit high too now the o is leaving my system. will have to adjust that as well or i won't sleep *sigh*,won't sleep,insomnia
"question: recently i have been hyper-sensitive to different textures, does anyone know if this is a bipolar / lamotrigine thing??",hyper-sensitive,hyperaesthesia
day five of no effexor. i am guessing this is what it feels like when you come off heroin...  #discontinuation,feels like when you come off heroin,withdrawal syndrome
oh my god. it's 5:19am and i am just now realizing that i accidentally took a vyvanse at 11pm... that explains why i can't sleep.,can't sleep,insomnia
rt @silkius: @ouch_uk didnt know lamotrigine was addictive stopped as didnt think were helping @clusterheads 3 days of hell before realized?,3 days of hell,malaise
rt @silkius: @ouch_uk didnt know lamotrigine was addictive stopped as didnt think were helping @clusterheads 3 days of hell before realized?,addictive,drug dependence
"abilify for 3 weeks has made me lose 1/6 of the weight i put on w/seroquel, and i've been eating like shit. i love you abilify!",weight i put on,weight increased
"@mrcbehan best of luck man! and they do suck :/ i was on olanzapine (abilify didnt work)...was awful, gained 3stone. off it nw n doin gud!",gained 3stone,weight increased
i think i'm gong to speak my gp about reducing quetiapine dosage. the weight gain from it is scaring the hell out of me.,weight gain,weight increased
had a dream my eyes got burned out of my head. thank you trazodone,dream,abnormal dreams
addicted to nicotine badly.,addicted,drug dependence
tysabri infusion #54 yesterday. made me feel tired and out of it for a while. maybe it's the heat - 34c (94f)!!! maybe a very hot summer?,tired,fatigue
tysabri infusion #54 yesterday. made me feel tired and out of it for a while. maybe it's the heat - 34c (94f)!!! maybe a very hot summer?,out of it,feeling abnormal
i think that vyvanse is making me grind my teeth...,grind my teeth,bruxism
this #seroquel gotta nigga feelin like a  slow turtle. #ihatemeds,slow turtle,sluggishness
#schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain. diabetes too! switched to #abilify. suits me well.,tremors,tremor
#schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain. diabetes too! switched to #abilify. suits me well.,weight gain,weight increased
#schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain. diabetes too! switched to #abilify. suits me well.,diabetes,diabetes mellitus
another light nights sleep brought to me courtesy of #venlafaxine dammit. #day8,light nights sleep,sleep disorder
"@whatkatie_did i'm certainly weird but it's quetiapine instead of crack, i can't get that on prescription.",weird,feeling abnormal
01.10 day 13 rivaroxaban diary. headache over right side of head; lower back pain. wrote letter to my gp &amp; his colleague outlining problems,headache,headache
01.10 day 13 rivaroxaban diary. headache over right side of head; lower back pain. wrote letter to my gp &amp; his colleague outlining problems,back pain,back pain
this rant could be #paxil withdrawl...or delayed divorce rage.,withdrawl,withdrawal syndrome
this rant could be #paxil withdrawl...or delayed divorce rage.,rant,anger
i feel like i have a hangover ...that cymbalta was a bad idea,hangover,hangover
@poet_carl_watts @yueesei ...  used to be on them #justaddanother ...worst was the psychotic episode when starting #paxil but one of my favs,psychotic episode,psychotic disorder
@integratemd i sure wish my doctor had told me cipro could disable me for life!  there was never any mention of that.  now i'm crippled.,crippled,gait inability
@integratemd i sure wish my doctor had told me cipro could disable me for life!  there was never any mention of that.  now i'm crippled.,disable,gait inability
"@bullfrogr @soozmc123 amil isnt so bad, paxil makes everything slow and haldol is ok, and haldol  .. i dunno how to explain what it does",slow,bradyphrenia
@gsxr1kbusakilla but i switched to trazodone ... i was doing some crazy ish on ambien smh not good lol,crazy ish,psychotic disorder
#epilepsy is sucktastic. neuro appt monday to discuss a third med after getting the rash with lamotrigine and the glaucoma with topiramate.,rash,rash
#epilepsy is sucktastic. neuro appt monday to discuss a third med after getting the rash with lamotrigine and the glaucoma with topiramate.,glaucoma,glaucoma
well played tysabri...kicking butt #nosleep.,nosleep,insomnia
oh hello seroquel old friend i mi*passes out on bed*,passes out,loss of consciousness
"i just have to remember that what i'm feeling is the withdrawal from the venlafaxine. when my meds come, i will get better.",withdrawal,withdrawal syndrome
fuck here comes the nicotine cravings damn you hookah,cravings,nicotine dependence
vyvanse evidently doesn't care about my bed time,doesn't care about my bed time,sleep disorder
not to mention the thousands of people online who say they?ve stacked on the weight due to taking seroquel.,stacked on the weight,weight increased
rt @mad_in_america: my journey into the dark night of the soul was launched by an adverse reaction to the drug effexor. taking this... http,dark night of the soul,depressed mood
so damn sleepy. this seroquel is fucking me up so bad.,sleepy,somnolence
"if your doctor prescribes you seroquel off label, they just want you to stfu. i'm a mute.",mute,aphasia
anyone who will listen: never ever take effexor/venlafaxine. paraesthesia abound.,paraesthesia,paraesthesia
this paxil makes me pee so often omg #sorrynotsorry,pee so often,pollakiuria
paxil withdrawal is nasty. do not like.,withdrawal,withdrawal syndrome
@exitingcorpse @luckystubbs seroquel was my boner kryptonite when i was a disfunctional teen,boner kryptonite,erectile dysfunction
effexor dreams d:,dreams,abnormal dreams
@crohnsdiaries hi i was on humira for 4 months worked great until i got sick last week. don't know if i will go back on it or not.,sick,malaise
#quetiapine is not doing me any favors #ifeelsick,sick,malaise
"@lavenderfuchsia i lost weight in the past but it was much easier. like 2 steps forward, one step back on the quetiapine.",weight,weight increased
"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide",diarrhea,diarrhoea
"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide",thoughts of suicide,suicidal ideation
"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide",fatigue,fatigue
"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide",nausea,nausea
"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide",dry mouth,dry mouth
"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide",constipation,constipation
rt @jumpingjesush: it appears that my twitter addiction may have just been a side effect of my nicotine lozenge addiction.,addiction,dependence
@ccfa pooped out bc i did humira last night :),pooped out,fatigue
just woke up from a 14 hour nap thank u fluoxetine,14 hour nap,somnolence
@sdunn242 yup quetiapine. the normal dose at night whacks me out. i'd have been asleep til friday on double,asleep,somnolence
@sdunn242 yup quetiapine. the normal dose at night whacks me out. i'd have been asleep til friday on double,whacks me out,somnolence
@evann_lfc yea still a vampire as still on cipro wbu? xx,vampire,insomnia
the one time i'm glad for seroquel memory loss,memory loss,amnesia
"out of pills, feeling like a train wreck #tweaking #effexor",tweaking,feeling abnormal
"out of pills, feeling like a train wreck #tweaking #effexor",feeling like a train wreck,malaise
@mtv when are you going to do true life: i am addicted to vyvanse?,addicted,dependence
"@tweetnomdeplume ssris were great for me for ages, not working as well now. thus seroquel.  i?m also on clonazepam, makes me sleepy too.",not working as well,tachyphylaxis
"@tweetnomdeplume ssris were great for me for ages, not working as well now. thus seroquel.  i?m also on clonazepam, makes me sleepy too.",sleepy,somnolence
i'm becoming too tolerant to vyvanse #notgrooy,tolerant,tachyphylaxis
@thebeachynurse ...had to get an x-ray of my arm per protocol...it was negative but it's just now starting to hurt. ugh!!!!  #geodon,hurt,pain
@znb_maqbool sweaty fluoxetine addict,sweaty,hyperhidrosis
@znb_maqbool sweaty fluoxetine addict,addict,drug dependence
"@kalmsivi saying that, the whole reason i gained weight in the first place was due to the drug olanzapine. doctor's fault. ah well.",gained weight,weight increased
@redbuttongirl combining them with the quetiapine makes me hallucinate :/,hallucinate ,hallucination
?@vyvanseswag: i run on vyvanse and redbull.? so done with that life. vyvance cooked my brain like a stove top,cooked my brain,memory impairment
rt @jumpingjesush: it appears that my twitter addiction may have just been a side effect of my nicotine lozenge addiction.,addiction,dependence
@boop_b_love vyvanse and adivan....its ws a crazy night my heart stopped for like 36 seconds. woke up in the mental hospital.,heart stopped,cardiac arrest
lamotrigine causing steven johnson syndrome,steven johnson syndrome,stevens-johnson syndrome
@wickychoo @lollygee omg all the special places. i'm not drunk. it's the fluoxetine.,drunk,feeling drunk
or maybe that's the prozac ugh i need a nap always,nap,somnolence
my sim card isn't working aaggh i feel like im having cymbalta withdrawal again aaagh aaaggh,withdrawal,withdrawal syndrome
"@badboyfloyd_ lmao, i'm prescribed baby. it's for my anxiety. i take seroquel, and celexa with it. i'm a fucking zombie after 9pm.",zombie,feeling abnormal
@joanne__howe enbrel is a miracle but it made my eyes worse :( so couldn't have it anymore :(,eyes worse,visual impairment
dear lord how did i just now wake up? thank you trazodone for ruining my life.,just now wake up,somnolence
i have got to stop taking my vyvanse so late!! #nosleep #addproblems,nosleep,insomnia
"@jessindia i take fluoxetine and quetiapine. the quetiapine is the one with the massive sleepies, althouth the flouxetine doesn''t help.",sleepies,somnolence
been on humira now short period 4 to 6 injections no noticeable change in pain but racing heart and palpitations. mtx at 1ml injection.,palpitations,palpitations
been on humira now short period 4 to 6 injections no noticeable change in pain but racing heart and palpitations. mtx at 1ml injection.,racing heart,heart rate increased
#restlesslegs #quetiapine,restlesslegs,restless legs syndrome
@tootingrebecca when i forgot seroquel made me feel fucking ill as fuck!,ill,malaise
@ayegraybay i know?wishful thinking. my humira shot doesn't even work for me anymore and when it does i get so sick.,sick,malaise
@ayegraybay i know?wishful thinking. my humira shot doesn't even work for me anymore and when it does i get so sick.,doesn't even work for me anymore,tachyphylaxis
"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky",lungs,lung disorder
"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky",thyroid,thyroid disorder
"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky",connective tissue,connective tissue disorder
"@calyxxx same with venlafaxine, 1 user i spoke to yrs ago stopped taking that when she started having acid like trips losing hours at a time",acid like trips,illusion
act now and get our deluxe cyde-fx set absolutely free! experience lucid dreaming and sleep paralysis like never before! #quetiapine,sleep paralysis,sleep paralysis
act now and get our deluxe cyde-fx set absolutely free! experience lucid dreaming and sleep paralysis like never before! #quetiapine,lucid dreaming,abnormal dreams
nicotine lozenges are giving me stomach cramps.,stomach cramps,abdominal pain upper
@stinkings @evilbadgerette trazodone was evil. turned you all flat :(,flat,flat affect
"i've taken everything but my trazodone that's tonight, but the nasal spray is giving me a drip :|",drip,upper-airway cough syndrome
"actually it was more like a prison but with nurses instead of guards, olanzapine pill n im= #zombies",zombies,feeling abnormal
so glad to have just finished a course of cipro! fingers crossed i can stay off of nausea inducing meds for the next little while...,nausea,nausea
venlafaxine withdrawal is horrific,withdrawal,withdrawal syndrome
"worked a double shift today while dealing with effexor withdrawals, i'm a tough bitch; fight me. #badass #sick #withdraws #sicksicksick",sicksicksick,malaise
"worked a double shift today while dealing with effexor withdrawals, i'm a tough bitch; fight me. #badass #sick #withdraws #sicksicksick",withdrawals,withdrawal syndrome
"worked a double shift today while dealing with effexor withdrawals, i'm a tough bitch; fight me. #badass #sick #withdraws #sicksicksick",withdraws,withdrawal syndrome
"worked a double shift today while dealing with effexor withdrawals, i'm a tough bitch; fight me. #badass #sick #withdraws #sicksicksick",sick,malaise
"i'm so fine today. increasing zyprexa,my condisition is became so good. it has a side effect that increase my weight. i must care about it.",increase my weight,weight increased
@kathrynfoucha remicade was my last treatment before humira and i really loved it. then i started having a reaction from it multiple times,reaction,hypersensitivity
"@crohns_twins that sucks. humira made me so sick. remicade helped a but, but then seizures put that out. now waiting, just prednisone now.",seizures,seizure
"@crohns_twins that sucks. humira made me so sick. remicade helped a but, but then seizures put that out. now waiting, just prednisone now.",seizures,seizure
"@crohns_twins that sucks. humira made me so sick. remicade helped a but, but then seizures put that out. now waiting, just prednisone now.",sick,malaise
"when i was taking a full dose of #paxil, i didn't even realize that sleeping 12 hours a night, then falling asleep every day, wasn't normal.",falling asleep every day,somnolence
"when i was taking a full dose of #paxil, i didn't even realize that sleeping 12 hours a night, then falling asleep every day, wasn't normal.",sleeping 12 hours a night,hypersomnia
@uclaibd i never had bleeding or vomiting just alot alot of fatigue and face was pale and lost tons of weight.. #crohns #humira,pale,pallor
@uclaibd i never had bleeding or vomiting just alot alot of fatigue and face was pale and lost tons of weight.. #crohns #humira,lost tons of weight,weight decreased
@uclaibd i never had bleeding or vomiting just alot alot of fatigue and face was pale and lost tons of weight.. #crohns #humira,fatigue,fatigue
@epilepsysociety i have a q..i am taking lamotrigine and wondered if anyone else has had insomnia as a side effect?and what to do about it,insomnia,insomnia
vyvanse completely gets rid of my appetite. not quite sure how to feel about this.,rid of my appetite,decreased appetite
"in other news, i've got my first weird side effect from quetiapine. numbness and tingling in my fingertips.",numbness,emotional poverty
"in other news, i've got my first weird side effect from quetiapine. numbness and tingling in my fingertips.",tingling,paraesthesia
"13.08 day 13 rivaroxaban diary.  pracetamol has taken away most of the aches, but still have lower back ache and weak knees.",weak knees,asthenia
"13.08 day 13 rivaroxaban diary.  pracetamol has taken away most of the aches, but still have lower back ache and weak knees.",lower back ache,back pain
"13.08 day 13 rivaroxaban diary.  pracetamol has taken away most of the aches, but still have lower back ache and weak knees.",aches,pain
"@doctorchristian can reducing fluoxetine zap me of all energy?i've reduced from a high dose, now on standard does &amp; not feeling good at all.",zap me of all energy,asthenia
"@doctorchristian can reducing fluoxetine zap me of all energy?i've reduced from a high dose, now on standard does &amp; not feeling good at all.",not feeling good,malaise
popped a seroquel now i'm sleepy,sleepy,somnolence
i don't want to take my humira at all the pain is always unbearable and i don't wanna,pain,pain
so last night i kept waking up with period pain. took what i thought was ibuprofen 3 times. turned out to be seroquel. i just woke up.,just woke up,somnolence
well my effexor kinda did its job to keep my anxiety under control.... but now to get my heart rate down..... ugh,heart rate,heart rate irregular
"too tired to function right now, thanks humira. #naptime ??????",naptime,somnolence
"too tired to function right now, thanks humira. #naptime ??????",tired,fatigue
damn you quetiapine side effect. was quite enjoying being able to sleep at night,able to sleep at night,insomnia
still a slightly fast pulse this morning. i know this is the quetiapine,fast pulse,heart rate increased
exhausted...can't fall asleep. don't wanna take a trazadone and wake up hungover. #sleepdisorderproblems,hungover,hangover
"rt @brassiest: @mikedelic if this is a real question, withdrawal from an antidepressant named effexor was worse than cocaine withdrawal",withdrawal,withdrawal syndrome
i'm high af on vyvanse.,high,euphoric mood
effexor withdrawal.,withdrawal,withdrawal syndrome
"did you know insanely intense dreams are a known side effect of venlafaxine? it's not an antidepressant, it's my dream fuel!",intense dreams,abnormal dreams
@mannypresh602 word. i've been fuckin tweakin out on vyvanse and writing hella verses,tweakin out,feeling abnormal
#tremors #schizophrenia #seroquel #sideeffects i reflect on the tension in my nerves and all the shaking... meditation helped me a lot.,tremors,tremor
#tremors #schizophrenia #seroquel #sideeffects i reflect on the tension in my nerves and all the shaking... meditation helped me a lot.,tension in my nerves,tension
#tremors #schizophrenia #seroquel #sideeffects i reflect on the tension in my nerves and all the shaking... meditation helped me a lot.,shaking,tremor
why must i be so tired. this spell better just be new med beginnings &amp; go away! #tysabri,tired,fatigue
first day of reduction back down to normal dose of lamotrigine-before i could literally feel it irritating my nerve endings,irritating my nerve endings,neuralgia
"21.19 day 17 rivaroxaban diary. aches are related to pressure on my body, e.g. if sitting then in back, buttoocks and legs 1/2",aches,pain
anyone else have worsening #acne problems since starting #enbrel for autoimmune disease?,acne,acne
@anitaalibi paxil didn't end up helping. tried prozac and wellbutrin and it helped my mood and anxiety but gave me vertigo. :(,vertigo,vertigo
"i think the lamotrigine is finally doing what it's supposed to; which is not make me sick, but keep my moods stable :) yaay &lt;3",sick,malaise
no taste for you -vyvanse,no taste,ageusia
"rt @ajswurld: @parthritis i don't know that one, but metho made me sick  everyday i took it. i had to stop. enbrel has worked wonders for m?",sick,malaise
@crazyindapeg 3 seroquel?? hell i take half of the lowest dosage and i am knocked on my ass!!,knocked on my ass,fatigue
yay mom's giving me baclofen when i get home~ i'll probably still be gorked for my physics final but i kinda don't give a fuck.,gorked,feeling abnormal
21y.o. w/ sickle-cell anemia and taking trazodone presents w/ priapism. what's the cause?,priapism,priapism
so i took 2 vyvanse this morning..i think i'm about to have a heart attack?????,heart attack,heart rate abnormal
