term_PT,term_HLT,term_HLGT,term_SOC
gianotti-crosti syndrome,hepatitis viral infections,viral infectious disorders,infections and infestations
anal fissure excision,anorectal therapeutic procedures,gastrointestinal therapeutic procedures,surgical and medical procedures
gingival recession,"gingival disorders, signs and symptoms nec",dental and gingival conditions,gastrointestinal disorders
organ donor,social issues nec,lifestyle issues,social circumstances
muscle enzyme decreased,skeletal and cardiac muscle analyses,enzyme investigations nec,investigations
joint microhaemorrhage,arthropathies nec,joint disorders,musculoskeletal and connective tissue disorders
"ear, nose and throat examination normal",physical examination procedures and organ system status,physical examination and organ system status topics,investigations
skinfold measurement,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
anaesthetic complication neurological,anaesthetic and allied procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
brachiocephalic artery stenosis,site specific necrosis and vascular insufficiency nec,"arteriosclerosis, stenosis, vascular insufficiency and necrosis",vascular disorders
wound closure,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
nephritis allergic,glomerulonephritis and nephrotic syndrome,nephropathies,renal and urinary disorders
renal pelvis fistula,renal disorders nec,renal disorders (excl nephropathies),renal and urinary disorders
familial high density lipoprotein deficiency,inborn errors of lipid metabolism,metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
directional doppler flow tests,vascular imaging procedures nec,cardiac and vascular investigations (excl enzyme tests),investigations
duplex appendix,intestinal disorders congenital,gastrointestinal tract disorders congenital,"congenital, familial and genetic disorders"
drug ineffective for unapproved indication,therapeutic and nontherapeutic responses,therapeutic and nontherapeutic effects (excl toxicity),general disorders and administration site conditions
kaposi sarcoma inflammatory cytokine syndrome,herpes viral infections,viral infectious disorders,infections and infestations
whipple's disease,bacterial infections nec,bacterial infectious disorders,infections and infestations
gallbladder injury,abdominal and gastrointestinal injuries nec,injuries nec,"injury, poisoning and procedural complications"
oesophageal compression,oesophageal stenosis and obstruction,gastrointestinal stenosis and obstruction,gastrointestinal disorders
catheterisation cardiac,cardiac imaging procedures,cardiac and vascular investigations (excl enzyme tests),investigations
cerebrospinal fluid drainage,cerebrospinal fluid therapeutic procedures,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
ccr5 receptor positive,cell marker analyses,cytogenetic investigations,investigations
insulin tolerance test normal,"gastrointestinal, pancreatic and apud hormone analyses",endocrine investigations (incl sex hormones),investigations
right atrial pressure increased,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
streptobacillus infection,streptobacillus infections,bacterial infectious disorders,infections and infestations
sinus headache,headaches nec,headaches,nervous system disorders
scab,dermal and epidermal conditions nec,epidermal and dermal conditions,skin and subcutaneous tissue disorders
delayed spinal fusion,musculoskeletal procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
naevus spider congenital,skin and subcutaneous tissue disorders congenital nec,skin and subcutaneous tissue disorders congenital,"congenital, familial and genetic disorders"
heart valve replacement,cardiac valve therapeutic procedures,cardiac therapeutic procedures,surgical and medical procedures
karnofsky scale worsened,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
endothelin abnormal,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
ventricular tachyarrhythmia,ventricular arrhythmias and cardiac arrest,cardiac arrhythmias,cardiac disorders
parapharyngeal space infection,upper respiratory tract infections,infections - pathogen unspecified,infections and infestations
bronchitis pneumococcal,streptococcal infections,bacterial infectious disorders,infections and infestations
contraception,contraceptive methods female,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
spontaneous heparin-induced thrombocytopenia syndrome,thrombocytopenias,platelet disorders,blood and lymphatic system disorders
extraskeletal chondrosarcoma recurrent,extraskeletal chondrosarcomas,soft tissue neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
hiv test false positive,virus identification and serology,microbiology and serology investigations,investigations
endocarditis syphilitic,treponema infections,bacterial infectious disorders,infections and infestations
pulmonary mass,respiratory tract disorders nec,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
hepatocele,hepatic and hepatobiliary disorders nec,hepatic and hepatobiliary disorders,hepatobiliary disorders
vulval cancer recurrent,vulval neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
calcium ionised normal,mineral and electrolyte analyses,"water, electrolyte and mineral investigations",investigations
saline infusion sonogram,reproductive organ and breast imaging procedures,reproductive organ and breast investigations (excl hormone analyses),investigations
post procedural fever,non-site specific procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
instillation site pain,application and instillation site reactions,administration site reactions,general disorders and administration site conditions
secondary amyloidosis,amyloidoses,immune disorders nec,immune system disorders
benign urinary tract neoplasm,urinary tract neoplasms benign,renal and urinary tract neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
aplasia,congenital disorders nec,congenital and hereditary disorders nec,"congenital, familial and genetic disorders"
vitamin b12 normal,vitamin analyses,"metabolic, nutritional and blood gas investigations",investigations
intraductal proliferative breast lesion,breast and nipple neoplasms malignant,breast neoplasms malignant and unspecified (incl nipple),"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
ventricular internal diameter normal,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
peritoneal effluent platelet count,peritoneal fluid and membrane function analyses,gastrointestinal investigations,investigations
colon cancer stage iv,colorectal neoplasms malignant,gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
pco2 normal,blood gas and acid base analyses,"metabolic, nutritional and blood gas investigations",investigations
blood fibrinogen,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
hepatic encephalopathy prophylaxis,nervous system therapeutic procedures nec,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
pharyngeal fistula repair,pharyngeal therapeutic procedures,head and neck therapeutic procedures,surgical and medical procedures
achlorhydria,gastrointestinal mucosal dystrophies and secretion disorders,gastrointestinal conditions nec,gastrointestinal disorders
biopsy salivary gland normal,gastrointestinal histopathology procedures,gastrointestinal investigations,investigations
culture stool positive,microbiology and serology tests nec,microbiology and serology investigations,investigations
anticoagulant-related nephropathy,nephropathies and tubular disorders nec,nephropathies,renal and urinary disorders
basal cell carcinoma metastatic,skin neoplasms malignant and unspecified (excl melanoma),skin neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
substance use,social issues nec,lifestyle issues,social circumstances
myocardial ischaemia,ischaemic coronary artery disorders,coronary artery disorders,cardiac disorders
congenital scoliosis,musculoskeletal and connective tissue disorders of spine congenital,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
rett syndrome,inborn errors of amino acid metabolism,metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
gonadotrophin deficiency,endocrine abnormalities of gonadal function nec,endocrine disorders of gonadal function,endocrine disorders
encopresis,psychiatric elimination disorders,psychiatric disorders nec,psychiatric disorders
eye allergy,"ocular infections, inflammations and associated manifestations","ocular infections, irritations and inflammations",eye disorders
chemical burn of oral cavity,chemical injuries,"exposures, chemical injuries and poisoning","injury, poisoning and procedural complications"
ultrasound testes abnormal,reproductive organ and breast imaging procedures,reproductive organ and breast investigations (excl hormone analyses),investigations
haemoglobin distribution width increased,red blood cell analyses,haematology investigations (incl blood groups),investigations
meigs' syndrome,oncologic complications and emergencies,neoplasm related morbidities,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
histamine level decreased,chemistry analyses nec,protein and chemistry analyses nec,investigations
immunodeficiency,immunodeficiency disorders nec,immunodeficiency syndromes,immune system disorders
anticonvulsant drug level abnormal,therapeutic drug monitoring analyses,toxicology and therapeutic drug monitoring,investigations
arterial catheterisation,arterial therapeutic procedures (excl aortic),vascular therapeutic procedures,surgical and medical procedures
methaemoglobin urine present,haem metabolism analyses,"metabolic, nutritional and blood gas investigations",investigations
antasthmatic drug level therapeutic,therapeutic drug monitoring analyses,toxicology and therapeutic drug monitoring,investigations
injection site indentation,injection site reactions,administration site reactions,general disorders and administration site conditions
blood immunoglobulin e increased,immunoglobulin analyses,immunology and allergy investigations,investigations
osteopontin increased,protein analyses nec,protein and chemistry analyses nec,investigations
phototherapeutic keratectomy,corneal and scleral therapeutic procedures,eye therapeutic procedures,surgical and medical procedures
hyperkeratosis follicularis et parafollicularis,hyperkeratoses,cornification and dystrophic skin disorders,skin and subcutaneous tissue disorders
acute myopia,refractive and accommodative disorders,vision disorders,eye disorders
unresponsive to stimuli,neurological signs and symptoms nec,neurological disorders nec,nervous system disorders
hydrothorax,pneumothorax and pleural effusions nec,pleural disorders,"respiratory, thoracic and mediastinal disorders"
hydroxycorticosteroids increased,adrenal cortex tests,endocrine investigations (incl sex hormones),investigations
ovarian dysgerminoma stage iii,ovarian germ cell neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
pneumatosis intestinalis,gastrointestinal disorders nec,gastrointestinal conditions nec,gastrointestinal disorders
peritonsillitis,upper respiratory tract infections,infections - pathogen unspecified,infections and infestations
laryngeal prosthesis placement,laryngeal therapeutic procedures,head and neck therapeutic procedures,surgical and medical procedures
cerebrovascular disorder,central nervous system vascular disorders nec,central nervous system vascular disorders,nervous system disorders
sciatic hernia,abdominal hernias nec,abdominal hernias and other abdominal wall conditions,gastrointestinal disorders
gastrointestinal sounds abnormal,abdominal findings abnormal,gastrointestinal signs and symptoms,gastrointestinal disorders
benign neoplasm,neoplasms benign site unspecified nec,miscellaneous and site unspecified neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
mental status changes postoperative,neurological and psychiatric procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
amylase decreased,digestive enzymes,gastrointestinal investigations,investigations
ectopic aldosterone secretion,ectopic endocrine disorders,neoplastic and ectopic endocrinopathies,endocrine disorders
pemphigoid,bullous conditions,epidermal and dermal conditions,skin and subcutaneous tissue disorders
gastrooesophageal reflux disease,gastrointestinal atonic and hypomotility disorders nec,gastrointestinal motility and defaecation conditions,gastrointestinal disorders
diastolic hypotension,vascular hypotensive disorders,decreased and nonspecific blood pressure disorders and shock,vascular disorders
dentatorubral-pallidoluysian atrophy,cerebellar disorders congenital,neurological disorders congenital,"congenital, familial and genetic disorders"
choroidal coloboma,iris and choroid disorders congenital,eye disorders congenital,"congenital, familial and genetic disorders"
patient dissatisfaction with treatment,social issues nec,lifestyle issues,social circumstances
rhesus antibodies positive,blood grouping and cross-matching analyses,haematology investigations (incl blood groups),investigations
aberrant motor behaviour,abnormal behaviour nec,psychiatric and behavioural symptoms nec,psychiatric disorders
quadriplegia,paralysis and paresis (excl cranial nerve),movement disorders (incl parkinsonism),nervous system disorders
intraventricular haemorrhage neonatal,central nervous system haemorrhages and cerebrovascular accidents,central nervous system vascular disorders,nervous system disorders
cystoscopy abnormal,urinary tract imaging procedures,renal and urinary tract investigations and urinalyses,investigations
peptostreptococcus test positive,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
polycythaemia neonatorum,polycythaemia (excl rubra vera),red blood cell disorders,blood and lymphatic system disorders
acute lung injury,pulmonary oedemas,lower respiratory tract disorders (excl obstruction and infection),"respiratory, thoracic and mediastinal disorders"
vocal cord bowing,laryngeal and adjacent sites disorders nec (excl infections and neoplasms),upper respiratory tract disorders (excl infections),"respiratory, thoracic and mediastinal disorders"
gamma-glutamyltransferase,liver function analyses,hepatobiliary investigations,investigations
urine aluminium,toxicology laboratory analyses,toxicology and therapeutic drug monitoring,investigations
cardiac ventriculogram right,cardiac imaging procedures,cardiac and vascular investigations (excl enzyme tests),investigations
acute myeloid leukaemia (in remission),leukaemias acute myeloid,leukaemias,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
myoglobin urine absent,musculoskeletal and soft tissue tests nec,musculoskeletal and soft tissue investigations (excl enzyme tests),investigations
dermatitis exfoliative generalised,exfoliative conditions,epidermal and dermal conditions,skin and subcutaneous tissue disorders
ultrasound testes normal,reproductive organ and breast imaging procedures,reproductive organ and breast investigations (excl hormone analyses),investigations
physical assault,criminal activity,legal issues,social circumstances
contraindicated product prescribed,product prescribing errors and issues,medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
hyperkeratosis,hyperkeratoses,cornification and dystrophic skin disorders,skin and subcutaneous tissue disorders
cortisol free urine abnormal,adrenal cortex tests,endocrine investigations (incl sex hormones),investigations
chemotherapeutic drug level decreased,therapeutic drug monitoring analyses,toxicology and therapeutic drug monitoring,investigations
congenital diaphragmatic anomaly,diaphragmatic disorders congenital,respiratory disorders congenital,"congenital, familial and genetic disorders"
fanconi syndrome,renal disorders congenital,renal and urinary tract disorders congenital,"congenital, familial and genetic disorders"
heart valve explantation,cardiac valve therapeutic procedures,cardiac therapeutic procedures,surgical and medical procedures
gingivitis,dental and oral soft tissue infections,infections - pathogen unspecified,infections and infestations
osteopenia,metabolic bone disorders,bone disorders (excl congenital and fractures),musculoskeletal and connective tissue disorders
biopsy ligament,musculoskeletal and soft tissue histopathology procedures,musculoskeletal and soft tissue investigations (excl enzyme tests),investigations
brain neoplasm,nervous system neoplasms unspecified malignancy nec,nervous system neoplasms malignant and unspecified nec,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
lung opacity,lower respiratory tract signs and symptoms,respiratory tract signs and symptoms,"respiratory, thoracic and mediastinal disorders"
medical device site laceration,complications associated with device nec,complications associated with device,general disorders and administration site conditions
administration site joint warmth,administration site reactions nec,administration site reactions,general disorders and administration site conditions
lymphangiogram,vascular imaging procedures nec,cardiac and vascular investigations (excl enzyme tests),investigations
retinal scar,"retinal structural change, deposit and degeneration","ocular structural change, deposit and degeneration nec",eye disorders
cysteine urine present,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
stool chymotrypsin normal,digestive enzymes,gastrointestinal investigations,investigations
temperature regulation disorder,body temperature altered,body temperature conditions,general disorders and administration site conditions
urine ketone body,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
respiratory disorder,respiratory tract disorders nec,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
5-hydroxyindolacetic acid increased,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
protein total decreased,protein analyses nec,protein and chemistry analyses nec,investigations
renal infarct,renal vascular and ischaemic conditions,renal disorders (excl nephropathies),renal and urinary disorders
cervical spinal cord paralysis,paralysis and paresis (excl cranial nerve),movement disorders (incl parkinsonism),nervous system disorders
subretinal hyperreflective exudation,"retinal structural change, deposit and degeneration","ocular structural change, deposit and degeneration nec",eye disorders
manufacturing issue,manufacturing issues nec,"product quality, supply, distribution, manufacturing and quality system issues",product issues
t-cell unclassifiable lymphoma low grade,t-cell unclassifiable lymphomas,lymphomas non-hodgkin's t-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
urine analysis abnormal,urinalysis nec,renal and urinary tract investigations and urinalyses,investigations
enzyme supplementation,dietary and nutritional therapies,therapeutic procedures and supportive care nec,surgical and medical procedures
single photon emission computerised tomogram normal,imaging procedures nec,"investigations, imaging and histopathology procedures nec",investigations
metabolic alkalosis,metabolic alkaloses,acid-base disorders,metabolism and nutrition disorders
nucleic acid test,microbiology and serology tests nec,microbiology and serology investigations,investigations
peritoneal tuberculosis,tuberculous infections,mycobacterial infectious disorders,infections and infestations
tissue polypeptide antigen increased,cell marker analyses,cytogenetic investigations,investigations
post procedural haematoma,non-site specific procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
glycogen storage disease type ix,inborn errors of carbohydrate metabolism (excl glucose),metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
pharyngeal cancer stage iv,pharyngeal neoplasms malignant and unspecified,respiratory and mediastinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
administration site scab,administration site reactions nec,administration site reactions,general disorders and administration site conditions
tooth pulp haemorrhage,dental pulp disorders,dental and gingival conditions,gastrointestinal disorders
oral hairy leukoplakia,epstein-barr viral infections,viral infectious disorders,infections and infestations
promyelocyte count decreased,white blood cell analyses,haematology investigations (incl blood groups),investigations
bromosulphthalein test,liver function analyses,hepatobiliary investigations,investigations
gram stain negative,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
urethral stricture postoperative,urinary tract procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
post infection glomerulonephritis,glomerulonephritis and nephrotic syndrome,nephropathies,renal and urinary disorders
joint instability,joint related disorders nec,joint disorders,musculoskeletal and connective tissue disorders
enterobiasis,nematode infections,helminthic disorders,infections and infestations
juvenile melanoma benign,skin neoplasms benign,cutaneous neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
hyperglycaemic seizure,seizures and seizure disorders nec,seizures (incl subtypes),nervous system disorders
specific gravity urine increased,urinalysis nec,renal and urinary tract investigations and urinalyses,investigations
urea cycle disorder,inborn errors of amino acid metabolism,metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
haemodilution induction procedure,haematological therapeutic procedures nec,haematological and lymphoid tissue therapeutic procedures,surgical and medical procedures
blood phosphorus,mineral and electrolyte analyses,"water, electrolyte and mineral investigations",investigations
csf red blood cell count,cerebrospinal fluid tests (excl microbiology),"neurological, special senses and psychiatric investigations",investigations
cardiac septal hypertrophy,myocardial disorders nec,myocardial disorders,cardiac disorders
thoracic operation,chest wall and mediastinal therapeutic procedures,respiratory tract therapeutic procedures,surgical and medical procedures
nosocomial infection,infectious transmissions,ancillary infectious topics,infections and infestations
infective mesenteric panniculitis,abdominal and gastrointestinal infections,infections - pathogen unspecified,infections and infestations
serum ferritin,mineral and electrolyte analyses,"water, electrolyte and mineral investigations",investigations
haptoglobin abnormal,haem metabolism analyses,"metabolic, nutritional and blood gas investigations",investigations
blood creatinine,renal function analyses,renal and urinary tract investigations and urinalyses,investigations
anaplastic lymphoma kinase gene and nucleophosmin gene fusion overexpression,gene mutations and other alterations nec,"chromosomal abnormalities, gene alterations and gene variants","congenital, familial and genetic disorders"
cardiovascular examination abnormal,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
ovarian abscess,female reproductive tract infections,infections - pathogen unspecified,infections and infestations
anorectal sensory loss,anal and rectal signs and symptoms,anal and rectal conditions nec,gastrointestinal disorders
base excess increased,blood gas and acid base analyses,"metabolic, nutritional and blood gas investigations",investigations
myeloblast count,white blood cell analyses,haematology investigations (incl blood groups),investigations
vascular test,vascular tests nec (incl blood pressure),cardiac and vascular investigations (excl enzyme tests),investigations
cystitis interstitial,bladder infections and inflammations,bladder and bladder neck disorders (excl calculi),renal and urinary disorders
pneumocystis jirovecii pneumonia,pneumocystis infections,fungal infectious disorders,infections and infestations
neuroprosthesis implantation,nervous system therapeutic procedures nec,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
treponema test,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
myeloblast count increased,white blood cell analyses,haematology investigations (incl blood groups),investigations
reversible airways obstruction,bronchospasm and obstruction,bronchial disorders (excl neoplasms),"respiratory, thoracic and mediastinal disorders"
respiratory tract irritation,respiratory tract disorders nec,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
antidepressant discontinuation syndrome,withdrawal and rebound effects,therapeutic and nontherapeutic effects (excl toxicity),general disorders and administration site conditions
pneumonia cryptococcal,cryptococcal infections,fungal infectious disorders,infections and infestations
kleihauer-betke test negative,foetal and neonatal diagnostic procedures,foetal and neonatal investigations,investigations
instillation site warmth,application and instillation site reactions,administration site reactions,general disorders and administration site conditions
breast cyst rupture,benign and malignant breast neoplasms,breast disorders,reproductive system and breast disorders
hereditary angioedema with normal c1 esterase inhibitor,gene mutations and other alterations nec,"chromosomal abnormalities, gene alterations and gene variants","congenital, familial and genetic disorders"
zeichi-ceide syndrome,musculoskeletal disorders congenital nec,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
blood homocysteine increased,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
ischaemic contracture of the left ventricle,cardiac and vascular procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
vaginal cellulitis,bacterial infections nec,bacterial infectious disorders,infections and infestations
penile wart,reproductive neoplasms male benign nec,reproductive neoplasms male benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
urinary glycosaminoglycans increased,lysosomal enzyme analyses,enzyme investigations nec,investigations
progesterone increased,reproductive hormone analyses,endocrine investigations (incl sex hormones),investigations
dyskinesia,dyskinesias and movement disorders nec,movement disorders (incl parkinsonism),nervous system disorders
synovial fluid analysis normal,musculoskeletal and soft tissue tests nec,musculoskeletal and soft tissue investigations (excl enzyme tests),investigations
thyroid b-cell lymphoma,b-cell lymphomas nec,lymphomas non-hodgkin's b-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
high grade b-cell lymphoma burkitt-like lymphoma stage iii,high grade b-cell lymphomas burkitt-like lymphoma,lymphomas non-hodgkin's b-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
multiple subpial transection,skull and brain therapeutic procedures,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
costovertebral angle tenderness,urinary tract signs and symptoms nec,urinary tract signs and symptoms,renal and urinary disorders
gastrointestinal hypermotility,gastrointestinal spastic and hypermotility disorders,gastrointestinal motility and defaecation conditions,gastrointestinal disorders
trans-sexualism,sexuality issues,gender related factors,social circumstances
pleurisy viral,viral infections nec,viral infectious disorders,infections and infestations
pelvic kidney,renal disorders congenital,renal and urinary tract disorders congenital,"congenital, familial and genetic disorders"
visceral oedema,oedema nec,general system disorders nec,general disorders and administration site conditions
implant tissue necrosis,non-site specific procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
neonatal respiratory arrest,neonatal hypoxic conditions,neonatal respiratory disorders,"respiratory, thoracic and mediastinal disorders"
ecouvillonage,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
cardiac output increased,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
asthma late onset,bronchospasm and obstruction,bronchial disorders (excl neoplasms),"respiratory, thoracic and mediastinal disorders"
post coital contraception,contraceptive methods female,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
oral candidiasis,candida infections,fungal infectious disorders,infections and infestations
cytomegalovirus urinary tract infection,cytomegaloviral infections,viral infectious disorders,infections and infestations
wrong technique in product usage process,"medication errors, product use errors and issues nec",medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
"brief psychotic disorder, with postpartum onset",brief psychotic disorder,schizophrenia and other psychotic disorders,psychiatric disorders
prohormone brain natriuretic peptide decreased,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
activated partial thromboplastin time ratio decreased,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
assisted reproductive technology,fertility and fertilisation interventions female,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
blood ketone body decreased,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
alpha 1 foetoprotein amniotic fluid abnormal,foetal and neonatal diagnostic procedures,foetal and neonatal investigations,investigations
macula thickness measurement,ophthalmic histopathology and imaging procedures,"neurological, special senses and psychiatric investigations",investigations
herpes simplex test negative,virus identification and serology,microbiology and serology investigations,investigations
osteomyelitis salmonella,salmonella infections,bacterial infectious disorders,infections and infestations
enlarged foetal cisterna magna,structural brain disorders nec,structural brain disorders,nervous system disorders
colour blindness,ocular disorders congenital nec,eye disorders congenital,"congenital, familial and genetic disorders"
rash morbilliform,"rashes, eruptions and exanthems nec",epidermal and dermal conditions,skin and subcutaneous tissue disorders
hydronephrosis repair,renal therapeutic procedures,renal and urinary tract therapeutic procedures,surgical and medical procedures
nephrosclerosis,nephropathies and tubular disorders nec,nephropathies,renal and urinary disorders
device alarm issue,device information output issues,device issues,product issues
nystagmus,coordination and balance disturbances,neurological disorders nec,nervous system disorders
poems syndrome,plasma cell myelomas,plasma cell neoplasms,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
metastatic malignant melanoma,skin melanomas (excl ocular),skin neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
tongue eruption,tongue signs and symptoms,tongue conditions,gastrointestinal disorders
hiv antibody,virus identification and serology,microbiology and serology investigations,investigations
brow ptosis,connective tissue disorders,epidermal and dermal conditions,skin and subcutaneous tissue disorders
modified rankin score,neurologic diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
infusion site nodule,infusion site reactions,administration site reactions,general disorders and administration site conditions
dentofacial anomaly,"musculoskeletal and connective tissue disorders of face, neck and jaw congenital",musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
malignant splenic neoplasm,haematologic neoplasms nec,haematopoietic neoplasms (excl leukaemias and lymphomas),"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
cyanopsia,visual colour distortions,vision disorders,eye disorders
renal cell carcinoma,renal neoplasms malignant,renal and urinary tract neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
anti-sperm antibody,autoimmunity analyses,immunology and allergy investigations,investigations
colonic haematoma,intestinal haemorrhages,gastrointestinal haemorrhages nec,gastrointestinal disorders
trench fever,bartonella infections,bacterial infectious disorders,infections and infestations
acne fulminans,acnes,skin appendage conditions,skin and subcutaneous tissue disorders
measles meningitis,rubeola viral infections,viral infectious disorders,infections and infestations
coagulation factor vii level increased,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
chondromalacia,joint related disorders nec,joint disorders,musculoskeletal and connective tissue disorders
living alone,housing circumstances,economic and housing issues,social circumstances
delusion,delusional symptoms,disturbances in thinking and perception,psychiatric disorders
uterine fibrosis,uterine disorders nec,"uterine, pelvic and broad ligament disorders",reproductive system and breast disorders
chromosome banding normal,chromosome analyses,cytogenetic investigations,investigations
vitamin b2,vitamin analyses,"metabolic, nutritional and blood gas investigations",investigations
bladder neoplasm,urinary tract neoplasms unspecified malignancy nec,renal and urinary tract neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
hodgkin's disease lymphocyte depletion type recurrent,hodgkin's disease lymphocyte depletion type,lymphomas hodgkin's disease,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
myelomalacia,spinal cord and nerve root disorders nec,spinal cord and nerve root disorders,nervous system disorders
antibiotic prophylaxis,antiinfective therapies,therapeutic procedures and supportive care nec,surgical and medical procedures
right aortic arch,great vessel disorders congenital,cardiac and vascular disorders congenital,"congenital, familial and genetic disorders"
x-ray dental normal,gastrointestinal and abdominal imaging procedures,gastrointestinal investigations,investigations
mean platelet volume,platelet analyses,haematology investigations (incl blood groups),investigations
tri-iodothyronine free abnormal,thyroid analyses,endocrine investigations (incl sex hormones),investigations
parotid gland enlargement,salivary gland enlargements,salivary gland conditions,gastrointestinal disorders
visual agnosia,cortical dysfunction nec,neurological disorders nec,nervous system disorders
urine lactic acid increased,blood gas and acid base analyses,"metabolic, nutritional and blood gas investigations",investigations
peripheral motor neuropathy,peripheral neuropathies nec,peripheral neuropathies,nervous system disorders
osteosarcoma,bone sarcomas,skeletal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
clot retraction time shortened,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
in vivo gene therapy,gene therapies,therapeutic procedures and supportive care nec,surgical and medical procedures
multi-organ disorder,general signs and symptoms nec,general system disorders nec,general disorders and administration site conditions
radiotherapy to bone,bone radiotherapies,bone and joint therapeutic procedures,surgical and medical procedures
sinus perforation,paranasal sinus disorders (excl infections and neoplasms),upper respiratory tract disorders (excl infections),"respiratory, thoracic and mediastinal disorders"
atypical benign partial epilepsy,seizures and seizure disorders nec,seizures (incl subtypes),nervous system disorders
