,term_PT
2646,cardiovascular deconditioning
2647,catheter site coldness
2648,cardiomyopathy
2649,muscle mass percentage
2650,compensatory sweating
2651,mucocutaneous disorder
2652,biliary anastomosis complication
2653,biopsy peripheral nerve abnormal
2654,tympanic membrane atrophic
2655,csf volume
2656,hyperaesthesia eye
2657,vaginal cancer stage 0
2658,cranial nerve infection
2659,congenital dyserythropoietic anaemia
2660,carotid artery insufficiency
2661,hyperlysinaemia
2662,free fatty acids increased
2663,ovarian epithelial cancer metastatic
2664,oxytocin normal
2665,rheumatic fever
2666,brachytherapy to eye
2667,cerebellar haematoma
2668,kidney ablation
2669,globulin urine present
2670,barium double contrast abnormal
2671,hypersensitivity myocarditis
2672,vulvovaginal dryness
2673,spindle cell sarcoma
2674,hypoglycaemia neonatal
2675,medical device site inflammation
2676,tumour excision
2677,basilar artery stenosis
2678,pancreatic contusion
2679,testicular seminoma (pure)
2680,small intestine carcinoma stage iii
2681,herpes simplex gastritis
2682,hypercapnia
2683,fasciitis
2684,beta 2 microglobulin urine normal
2685,deformity
2686,gastrointestinal tube removal
2687,cranial nerve paralysis
2688,decompression sickness
2689,chlamydia test negative
2690,geotrichum infection
2691,urine electrophoresis normal
2692,abscess oral
2693,spontaneous intrahepatic portosystemic venous shunt
2694,acetabulum fracture
2695,anxiolytic therapy
2696,intestinal haematoma
2697,pneumocephalus
2698,first degree chemical burn of skin
2699,administration site urticaria
2700,pulmonary alveolar microlithiasis
2701,anterior chamber collapse
2702,insulin resistance test
2703,hla-b*5801 assay negative
2704,bacterial translocation
2705,progesterone receptor gene overexpression
2706,device connection issue
2707,lung carcinoma cell type unspecified stage iii
2708,hla-b*5801 assay
2709,diabetic blindness
2710,porphyria
2711,necrobacillosis
2712,neonatal oversedation
2713,congenital absence of bile ducts
2714,retinopathy proliferative
2715,hiv meningoencephalitis
2716,hepatic displacement
2717,pseudoxanthoma elasticum-like syndrome
2718,thrombopoietin level abnormal
2719,paranasal sinus discomfort
2720,sebaceous naevus
2721,weber tuning fork test normal
2722,sputum retention
2723,bladder squamous cell carcinoma stage i
2724,mast cell degranulation test
2725,radiofrequency-induced thermochemotherapeutic effect
2726,laryngeal dilation procedure
2727,body surface area decreased
2728,sleep study abnormal
2729,ventricular extrasystoles
2730,myoglobin blood absent
2731,fallopian tube cancer stage iv
2732,hepatobiliary neoplasm
2733,postpolypectomy syndrome
2734,perineal pain
2735,prevention of endometrial hyperplasia
2736,diverticulitis intestinal haemorrhagic
2737,arterial revascularisation
2738,glucosylceramide decreased
2739,csf red blood cell count positive
2740,bladder catheter temporary
2741,splenic marginal zone lymphoma refractory
2742,neurolysis surgical
2743,cd49d expression decreased
2744,menometrorrhagia
2745,light chain disease
2746,urea renal clearance normal
2747,post thrombotic syndrome
2748,carotene abnormal
2749,ear infection bacterial
2750,haemoglobin distribution width decreased
2751,phlebitis infective
2752,medical device site rash
2753,application site eczema
2754,disorder of globe
2755,postsplenectomy syndrome
2756,hypocomplementaemia
2757,hepatic artery occlusion
2758,tri-iodothyronine free
2759,glucagon secretion disorder
2760,lung carcinoma cell type unspecified recurrent
2761,lymphocyte percentage increased
2762,varicella virus test negative
2763,anti-jc virus antibody index
2764,exposure to contaminated device
2765,specific gravity body fluid increased
2766,radioembolisation
2767,eyelids protective suture
2768,injection site scab
2769,cytokeratin 18 increased
2770,fibrinolysis abnormal
2771,compulsive handwashing
2772,idiopathic interstitial pneumonia
2773,yolk sac tumour site unspecified
2774,application site vasculitis
2775,blood pressure systolic normal
2776,electrocardiogram t wave amplitude decreased
2777,neurostimulator removal
2778,african trypanosomiasis
2779,infective glossitis
2780,light anaesthesia
2781,urethrotomy
2782,excessive dynamic airway collapse
2783,pulmonary haemosiderosis
2784,retroperitoneal haematoma
2785,parasite tissue specimen test negative
2786,metastatic nervous system neoplasm
2787,administration site pain
2788,traumatic lung injury
2789,gingival erosion
2790,blood alkaline phosphatase increased
2791,cholesteatoma removal
2792,hepatitis b virus test positive
2793,electrocardiogram st segment
2794,decreased gait velocity
2795,oedema due to renal disease
2796,cartilage development disorder
2797,intracranial artery dissection
2798,subcutaneous drug absorption impaired
2799,incision site discharge
2800,blood immunoglobulin g abnormal
2801,tuberculous abscess central nervous system
2802,breathing-related sleep disorder
2803,uterine hypertonus
2804,chemical peritonitis
2805,reproductive system disorder prophylaxis
2806,rubella infection neurological
2807,postpartum thrombosis
2808,seminal vesicular calculus
2809,latent tuberculosis
2810,hallucination
2811,transaminases decreased
2812,sebaceous adenoma
2813,streptococcal sepsis
2814,monoblast count decreased
2815,photon radiation therapy to bone
2816,tricuspid valve thickening
2817,cronkhite-canada syndrome
2818,nose prosthesis insertion
2819,viith nerve injury
2820,topography corneal
2821,malignant lymphoid neoplasm
2822,ear swelling
2823,anal stenosis
2824,mouth cyst
2825,arteritis
2826,metastases to thorax
2827,hypercalcitoninaemia
2828,acid base balance normal
2829,upper gastrointestinal perforation
2830,biliary stent placement
2831,biopsy vocal cord abnormal
2832,palatectomy
2833,urine retinol binding protein increased
2834,anti factor xii antibody positive
2835,preoperative hormone treatment
2836,radioisotope uptake increased
2837,mitochondrial neurogastrointestinal encephalopathy
2838,hereditary sideroblastic anaemia
2839,physical capacity evaluation
2840,spermatozoa progressive motility
2841,carnitine normal
2842,instillation site bruise
2843,"hallucination, gustatory"
2844,loop electrosurgical excision procedure
2845,myopia
2846,shwachman-diamond syndrome
2847,pharyngeal pustule
2848,von willebrand's factor multimers abnormal
2849,congenital bladder neck obstruction
2850,csf protein normal
2851,tumour budding
2852,model for end stage liver disease score increased
2853,adult t-cell lymphoma/leukaemia stage iii
2854,malignant fibrous histiocytoma of bone
2855,occupational physical problem
2856,cardiomyopathy acute
2857,red blood cell poikilocytes present
2858,blood glucose fluctuation
2859,maxillary sinus pseudocyst
2860,creatinine renal clearance
2861,injection site pain
2862,enterococcus test positive
2863,gastrointestinal complication associated with device
2864,eye disorder
2865,oesophageal variceal injection
2866,sleep-related eating disorder
2867,hyperpituitarism
2868,dental prosthesis placement
2869,skin implant removal
2870,gastrointestinal mucosa hyperaemia
2871,menarche
2872,platelet morphology abnormal
2873,blood triglycerides normal
2874,keratomileusis
2875,blood hiv rna increased
2876,tender joint count increased
2877,genotype drug resistance test positive
2878,lack of injection site rotation
2879,neck pain
2880,limb reattachment surgery
2881,epiphyseal injury
2882,hypothenar hammer syndrome
2883,gastrointestinal somatic symptom disorder
2884,acanthosis
2885,sepsis syndrome
2886,medical device site erythema
2887,magnetic resonance neurography
2888,gastrointestinal dysplasia
2889,foreign body in reproductive tract
2890,application site plaque
2891,liver iron concentration increased
2892,spondylolysis
2893,cerebral endovascular aneurysm repair
2894,vulvovaginal ulceration
2895,hangover
2896,thyroid operation
2897,blood aldosterone decreased
2898,hepatocellular foamy cell syndrome
2899,clot retraction normal
2900,femoral derotation osteotomy
2901,therapeutic nerve ablation
2902,burnout syndrome
2903,rapid eye movement sleep behaviour disorder
2904,electrocardiogram st-t segment abnormal
2905,acquired epileptic aphasia
2906,aspiration bone marrow normal
2907,transaminases abnormal
2908,jaundice cholestatic
2909,chemotherapy multiple agents systemic
2910,ulysses syndrome
2911,excessive dietary fibre intake
2912,middle aged
2913,osteoporosis circumscripta cranii
2914,postinfarction angina
2915,splenic embolism
2916,lecithin-cholesterol acyltransferase deficiency
2917,urine homocystine
2918,csf cell count increased
2919,superinfection fungal
2920,porphyrin metabolism disorder
2921,urobilinogen faeces increased
2922,vulvovaginitis staphylococcal
2923,childhood depression
2924,hospice care
2925,prostatic polyp
2926,uncinate fits
2927,ectropion of cervix
2928,gastric mucosal calcinosis
2929,gender reassignment therapy
2930,plica syndrome
2931,benign neoplasm of thyroid gland
2932,symptom recurrence
2933,administration site hypersensitivity
2934,product contamination with body fluid
2935,complex regional pain syndrome
2936,plasminogen activator inhibitor
2937,bipolar disorder
2938,heavy exposure to ultraviolet light
2939,haemophilia carrier
2940,urine sodium normal
2941,pancreaticosplenectomy
2942,ovarian disorder
2943,cryptogenic cirrhosis
2944,cardiac failure high output
2945,hepatic cirrhosis
2946,hypokalaemia
2947,oropharyngeal oedema
2948,oculocerebrorenal syndrome
2949,dengue fever
2950,craniosynostosis
2951,urine uric acid
2952,fallopian tube perforation
2953,swollen joint count increased
2954,prothrombin level abnormal
2955,xanthogranuloma
2956,american trypanosomiasis
2957,meningitis aseptic
2958,brachytherapy to liver
2959,alpha-mannosidosis
2960,hiv infection cdc group iv subgroup c1
2961,necromania
2962,chronotropic incompetence
2963,pruritus genital
2964,infantile fibromatosis
2965,right ventricular ejection fraction decreased
2966,biliary dilatation
2967,endocarditis prophylaxis
2968,clubbing
2969,paraesthesia oral
2970,acute hepatic failure
2971,hepatitis h
2972,renal ischaemia
2973,central nervous system leukaemia
2974,application site induration
2975,foreign body in mouth
2976,gastrointestinal carcinoma
2977,ethanol gelation test negative
2978,embedded device
2979,burkholderia gladioli infection
2980,insulin-requiring type 2 diabetes mellitus
2981,bone marrow tumour cell infiltration
2982,pulmonary hilar enlargement
2983,bacterial toxaemia
2984,small intestinal polypectomy
2985,behavioural insomnia of childhood
2986,white blood cell agglutination present
2987,hantavirus pulmonary infection
2988,varicocele utero-ovarian
2989,corneal cross linking
2990,large intestinal ulcer haemorrhage
2991,drug implantation
2992,traumatic haematoma
2993,tooth malformation hereditary
2994,chronic rhinosinusitis without nasal polyps
2995,blood viscosity decreased
2996,enzyme activity abnormal
2997,coronary angioplasty
2998,melanoma recurrent
2999,punctate keratitis
3000,arteriogram liver
3001,vaginal ph decreased
3002,tachypnoea
3003,endocarditis meningococcal
3004,manufacturing product storage issue
3005,biliary tract infection bacterial
3006,nager syndrome
3007,tendinous contracture
3008,penis carcinoma stage iv
3009,plastic surgery of the lips and mouth
3010,superior vena cava stenosis
3011,breast inflammation
3012,directional doppler flow tests abnormal
3013,nasal disorder
3014,osteochondroma
3015,stroke volume normal
3016,inspiratory capacity normal
3017,angiogram normal
3018,atrial switch operation
3019,vith nerve disorder
3020,meningitis gonococcal
3021,impaired healing
3022,k-ras status assay
3023,tumour fistulisation
3024,tearfulness
3025,foot and mouth disease
3026,gastrostomy tube site complication
3027,tendon calcification
3028,gamete intrafallopian transfer
3029,fractional exhaled nitric oxide
3030,allergy to metals
3031,fallopian tube stent insertion
3032,device temperature issue
3033,exposure to vaccinated person
3034,hyperglycaemia
3035,complications of transplanted liver
3036,adrenal cyst
3037,malacoplakia
3038,haematopoietic neoplasm
3039,ingrowing nail
3040,bk polyomavirus test positive
3041,cortisol free urine
3042,palatal implant
3043,split hand nystagmus syndrome
3044,vaccination site vasculitis
3045,cervix inflammation
3046,concomitant disease aggravated
3047,abdominal exploration
3048,positron emission tomogram breast
3049,trisomy 18
3050,congenital foot malformation
3051,endometrial cancer stage iii
3052,ultrasound kidney
3053,neuropathic arthropathy
3054,oophorectomy
3055,fatty liver alcoholic
3056,vital capacity
3057,aspiration tracheal abnormal
3058,blood lactate dehydrogenase decreased
3059,genital burning sensation
3060,miscarriage of partner
3061,blood immunoglobulin d
3062,office visit
3063,tuberculosis of genitourinary system
3064,urine cannabinoids decreased
3065,application site paraesthesia
3066,subdural abscess
3067,platelet adhesiveness normal
3068,uraemic pruritus
3069,rhodococcus infection
3070,colon operation
3071,legionella test
3072,nulli gravida
3073,mycobacterium marinum infection
3074,high grade b-cell lymphoma burkitt-like lymphoma recurrent
3075,bladder trabeculation
3076,radiation myocarditis
3077,acantholysis
3078,carbonic anhydrase gene mutation
3079,blast cells present
3080,nut midline carcinoma
3081,otocephaly
3082,blood oestrogen
3083,biliary fibrosis
3084,vitreous prolapse
3085,megakaryocytes decreased
3086,vagus nerve disorder
3087,cardioactive drug level
3088,congenital hyperthyroidism
3089,haematoma muscle
3090,cell-mediated immune deficiency
3091,lung disorder
3092,drug exposure before pregnancy
3093,obesity
3094,myoglobin blood decreased
3095,deficiency of the interleukin-1 receptor antagonist
3096,blood pressure systolic inspiratory normal
3097,temperature intolerance
3098,hepatitis viral test negative
3099,neurological examination
3100,breast swelling
3101,eccrine carcinoma
3102,corneal pachymetry
3103,medical device site phlebitis
3104,urine osmolarity
3105,foetal hypokinesia
3106,blood ethanal increased
3107,stool dna test positive
3108,eye pain
3109,blood ph abnormal
3110,widal test
3111,vascular purpura
3112,agonal rhythm
3113,anti-rna polymerase iii antibody negative
3114,acute myocardial infarction
3115,oesophageal ph increased
3116,varicella virus test
3117,mouth cyst excision
3118,pseudo-bartter syndrome
3119,urethritis ureaplasmal
3120,radiotherapy to lymph nodes
3121,haemorrhagic urticaria
3122,gastrectomy
3123,herpes zoster cutaneous disseminated
3124,complement factor c2
3125,post abortion complication
3126,contraceptive diaphragm
3127,incision site haemorrhage
3128,zinc sulphate turbidity increased
3129,hostility
3130,administration site dryness
3131,intestinal strangulation
3132,carnitine
3133,hemianopia homonymous
3134,differential white blood cell count normal
3135,implant site scar
3136,fibrin d dimer
3137,biopsy anus abnormal
3138,impaired insulin secretion
3139,lip operation
3140,wound necrosis
3141,tuberculin test negative
3142,urine chromium
3143,blood chromogranin a increased
3144,antiacetylcholine receptor antibody
3145,transferrin abnormal
3146,posture abnormal
3147,cleidocranial dysostosis
3148,perihepatitis gonococcal
3149,prothrombin level increased
3150,metavir score
3151,apolipoprotein b abnormal
3152,administration site acne
3153,csf granulocyte count normal
3154,thought withdrawal
3155,anal paraesthesia
3156,pyeloscopy
3157,hypoglossal nerve paresis
3158,mobile caecum syndrome
3159,antisocial behaviour
3160,symphysiotomy
3161,ventricular hypertrophy
3162,lipoma of breast
3163,squamous cell carcinoma of the cervix
3164,peritonitis pneumococcal
3165,blood electrolytes normal
3166,affective disorder
3167,metastases to central nervous system
3168,neck surgery
3169,habit cough
3170,graft versus host disease in liver
3171,behavioural therapy
3172,pulmonary function challenge test normal
3173,azoturia
3174,urethral stricture post infection
3175,culture
3176,cd49d expression increased
3177,choriocarcinoma
3178,faecaluria
3179,anticoagulation drug level normal
3180,artificial urinary sphincter removal
3181,postoperative hypertension
3182,nerve stimulation test abnormal
3183,malaise
3184,post procedural pneumonia
3185,heterophyiasis
3186,bentall procedure
3187,dermatitis herpetiformis
3188,infusion site phlebitis
3189,eyelid rash
3190,venogram
3191,carcinogenic effect in offspring
3192,puncture site hypoaesthesia
3193,acth stimulation test
3194,paranasal sinus and nasal cavity malignant neoplasm recurrent
3195,white blood cell analysis normal
3196,immune-mediated hyperthyroidism
3197,carpenter syndrome
3198,benign tracheal neoplasm
3199,purpura senile
3200,accessory nerve disorder
3201,abdominal wall cyst
3202,umbilical cord prolapse
3203,osteoporosis-pseudoglioma syndrome
3204,eyelid tumour
3205,lactate dehydrogenase urine increased
3206,adcy5-related dyskinesia
3207,speech sound disorder
3208,haemoglobin a present
3209,sympathetic posterior cervical syndrome
3210,paraplegia
3211,strongyloidiasis
3212,peritoneal effluent leukocyte count
3213,retinal melanoma
3214,alveolar-arterial oxygen gradient
3215,polyorchidism
3216,peak expiratory flow rate decreased
3217,convalescent
3218,eyelash injury
3219,alanine aminotransferase normal
3220,transplant failure
3221,lower respiratory tract infection bacterial
3222,pseudoneurologic symptom
3223,abnormal weight gain
3224,semen volume increased
3225,lymphopenia
3226,postictal paralysis
3227,pulse absent
3228,dolichocolon acquired
3229,faecal calprotectin increased
3230,back injury
3231,peritoneal dialysis
3232,hyperoestrogenism
3233,anti-glycyl-trna synthetase antibody negative
3234,scrotal cancer
3235,mycetoma mycotic
3236,thyroid calcification
3237,product packaging counterfeit
3238,drooping shoulder syndrome
3239,vulval cancer stage iv
3240,vascular access steal syndrome
3241,withdrawal syndrome
3242,vascular catheterisation
3243,erythema of eyelid
3244,gastric cancer stage 0
3245,indirect infection transmission
3246,adrenal atrophy
3247,volvulus
3248,"automatism, command"
3249,anorexia nervosa
3250,sarcoma of skin
3251,electrocardiogram st-t segment elevation
3252,fungal skin infection
3253,mucosal cyst of postmastoidectomy cavity
3254,cyclosporidium infection
3255,osteosis
3256,neurolysis chemical
3257,hyperosmolar state
3258,vascular imaging
3259,biopsy vagina
3260,exaggerated startle response
3261,selenium deficiency
3262,blood thrombin normal
3263,plasma cell disorder
3264,chondrodynia
3265,tissue irritation
3266,barlow test negative
3267,epidural catheter placement
3268,biopsy cornea abnormal
3269,balanoposthitis
3270,sars-cov-2 test false negative
3271,retinol binding protein increased
3272,urethral prolapse
3273,cardiac resynchronisation therapy
3274,central venous catheterisation
3275,uterine contractions during pregnancy
3276,infective exacerbation of chronic obstructive airways disease
3277,artificial skin graft
3278,human t-cell lymphotropic virus infection
3279,gait disturbance
3280,familial cold autoinflammatory syndrome
3281,herpes virus infection
3282,superficial spreading melanoma stage iii
3283,cold agglutinins positive
3284,puncture site infection
3285,aortic valve incompetence
3286,psittacosis
3287,htlv-1 test
3288,encephalitis post varicella
3289,left ventricle outflow tract obstruction
3290,mantle cell lymphoma stage ii
3291,metastases to nasal sinuses
3292,splenic marginal zone lymphoma
3293,schwartz jampel syndrome
3294,substance-induced mood disorder
3295,roberts syndrome
3296,atypical femur fracture
3297,osteopoikilosis
3298,aglossia
3299,apolipoprotein b decreased
3300,hyperphenylalaninaemia
3301,head and neck cancer stage ii
3302,lithopedion
3303,coronary revascularisation
3304,adenolipoma
3305,stab wound
3306,puerperal infection
3307,renal syphilis
3308,premature follicular ripening
3309,tonsillar exudate
3310,cardiomyopathy neonatal
3311,extragonadal primary seminoma (pure) stage ii
3312,urinary tract injury
3313,application site extravasation
3314,prothrombin consumption time prolonged
3315,iris hamartoma
3316,cerebellar atrophy
3317,peritoneal lesion
3318,hepatitis immunisation
3319,blood sodium decreased
3320,medical device site movement impairment
3321,transfusion-related acute lung injury
3322,foetal haemoglobin increased
3323,penile oedema
3324,band neutrophil percentage decreased
3325,accelerated idioventricular rhythm
3326,cerebral ventricle dilatation
3327,joint deposit
3328,bile duct cancer
3329,middle east respiratory syndrome
3330,jejunostomy closure
3331,fibrin normal
3332,parathyroid hormone-related protein abnormal
3333,psychological trauma
3334,post streptococcal glomerulonephritis
3335,wound contamination
3336,anal cancer stage i
3337,fibrocystic breast disease
3338,glomerular filtration rate increased
3339,bronchiolitis obliterans syndrome
3340,maxillofacial operation
3341,expiratory reserve volume increased
3342,hepatitis c virus test
3343,synaesthesia
3344,foetal anticonvulsant syndrome
3345,granulicatella bacteraemia
3346,total cholesterol/hdl ratio increased
3347,hereditary stomatocytosis
3348,skin turgor decreased
3349,cancer pain
3350,hiv vaccine-induced seropositivity
3351,venolymphatic malformation
3352,cardiovascular autonomic function test abnormal
3353,hypercalcaemia therapy
3354,angiolymphoid hyperplasia with eosinophilia
3355,mood disorder due to a general medical condition
3356,coronary artery stenosis
3357,violence-related symptom
3358,extravasation blood
3359,lung adenocarcinoma
3360,abdominal wall haemorrhage
3361,blood zinc
3362,diet refusal
3363,benzodiazepine drug level
3364,sinus pain
3365,acrochordon
3366,malignant palate neoplasm
3367,diverticulitis oesophageal
3368,hand prosthesis user
3369,carnett's sign positive
3370,organising pneumonia
3371,angiogram pulmonary
3372,biotin deficiency
3373,multiple cardiac defects
3374,injury to brachial plexus due to birth trauma
3375,stool dna test normal
3376,invasive lobular breast carcinoma
3377,"ear, nose and throat examination"
3378,encephalitis post immunisation
3379,blood citric acid decreased
3380,protein total increased
3381,ex vivo gene therapy
3382,tumour cell mobilisation
3383,pleural sarcoma
3384,exercise test abnormal
3385,aldosterone urine
3386,atherosclerotic plaque rupture
3387,opisthorchiasis
3388,collagen disorder
3389,small intestine carcinoma
3390,fistulography abnormal
3391,vesicocutaneous fistula
3392,anaemia prophylaxis
3393,witness of death
3394,leukocyte alkaline phosphatase increased
3395,cranial nerve injury
3396,corneal operation
3397,pancreatic enlargement
3398,diabetes mellitus malnutrition-related
3399,becker's muscular dystrophy
3400,ureteric cancer regional
3401,post-traumatic neuralgia
3402,impaired work ability
3403,tenderness
3404,endocervical curettage
3405,angiogram retina normal
3406,hepascore
3407,anterior chamber cell
3408,myocardial necrosis marker
3409,biopsy bladder
3410,platelet function test
3411,intestinal transit time decreased
3412,histone antibody negative
3413,kawasaki's disease
3414,graft versus host disease in eye
3415,smallpox
3416,xxxy syndrome
3417,ret gene mutation
3418,cysteine urine
3419,biopsy larynx normal
3420,metastases to bladder
3421,congenital osteodystrophy
3422,product preparation error
3423,hormone replacement therapy
3424,blood lactic acid increased
3425,haemoglobin electrophoresis
3426,oesophagitis ulcerative
3427,thrombin-antithrombin iii complex abnormal
3428,substance abuse
3429,blood caffeine increased
3430,physical breast examination abnormal
3431,orthostatic tremor
3432,renal oncocytoma
3433,biopsy site unspecified normal
3434,biomedical photography
3435,gallbladder adenosquamous carcinoma
3436,dropped head syndrome
3437,laryngeal nerve dysfunction
3438,abnormal labour affecting foetus
3439,tibia fracture
3440,renal vascular thrombosis
3441,small intestine polyp
3442,acquired plagiocephaly
3443,penile haemorrhage
3444,staphylococcal mediastinitis
3445,asymmetric di-methylarginine abnormal
3446,hypocalcaemia
3447,ultrasound thyroid normal
3448,tilt table test
3449,genital infection fungal
3450,congenital jaw malformation
3451,cervix colporrhaphy with amputation
3452,exploratory operation
3453,covid-19 pneumonia
3454,vital dye staining cornea absent
3455,collagen antigen type iv increased
3456,aquagenic pruritus
3457,decreased appetite
3458,cheilosis
3459,acid fast bacilli infection
3460,stomach granuloma
3461,coronary artery reocclusion
3462,herpes zoster meningoencephalitis
3463,orbital haematoma
3464,spinal deformity
3465,mantle cell lymphoma refractory
3466,injection site atrophy
3467,pancreas infection
3468,fusobacterium test positive
3469,maternal exposure during delivery
3470,electrocardiogram pr prolongation
3471,respiratory acidosis
3472,gross motor delay
3473,anastomotic haemorrhage
3474,keratomalacia
3475,instillation site lacrimation
3476,blood urea normal
3477,oligoarthritis
3478,plasminogen normal
3479,truancy
3480,catheter site thrombosis
3481,caecum operation
3482,gastrocoele
3483,tenonectomy
3484,hodgkin's disease lymphocyte predominance stage ii subdiaphragm
3485,vitamin b1 increased
3486,prohormone brain natriuretic peptide abnormal
3487,coronavirus test negative
3488,elschnig's bodies
3489,nasal sinus irrigation
3490,hepatitis c virus core antigen
3491,very low density lipoprotein increased
3492,subclavian vein occlusion
3493,thoracic outlet surgery
3494,occult blood
3495,biopsy thymus gland normal
3496,ventriculo-peritoneal shunt
3497,congenital uterine anomaly
3498,anti-muellerian hormone level
3499,pneumonectomy
3500,liver scan normal
3501,microcephaly
3502,procedural headache
3503,atlantoaxial subluxation
3504,nitritoid reaction
3505,monoclonal immunoglobulin present
3506,drug withdrawal maintenance therapy
3507,leukaemic lymphoma
3508,metastatic cutaneous crohn's disease
3509,brachiocephalic vein occlusion
3510,pericarditis
3511,lateral popliteal decompression
3512,faeces soft
3513,biopsy prostate abnormal
3514,wrong product stored
3515,mycobacterium haemophilum infection
3516,adoption
3517,herpetic radiculopathy
3518,hyperparathyroidism primary
3519,gastrointestinal oedema
3520,venous oxygen partial pressure abnormal
3521,urea renal clearance increased
3522,glucose-6-phosphate dehydrogenase abnormal
3523,slit-lamp examination
3524,small airways disease
3525,meningitis cronobacter
3526,rectal examination abnormal
3527,aspartate aminotransferase increased
3528,hepatic cancer metastatic
3529,anorexia and bulimia syndrome
3530,"sleep disorder due to general medical condition, mixed type"
3531,dural tear
3532,renin abnormal
3533,transplant abscess
3534,csf pressure decreased
3535,myopic traction maculopathy
3536,liver palpable
3537,cardiac complication associated with device
3538,hyperphosphaturia
3539,blood insulin
3540,vasoplegia syndrome
3541,metastases to liver
3542,herpes simplex pharyngitis
3543,tooth development disorder
3544,chest x-ray
3545,tracheal cancer
3546,administration site pruritus
3547,5-hydroxyindolacetic acid decreased
3548,carotene
3549,sialogram abnormal
3550,oligodendroglioma
3551,galactose elimination capacity test increased
3552,obturator neuropathy
3553,fibroid myolysis procedure
3554,hiv-2 infection
3555,hypoglossal nerve disorder
3556,infusion site granuloma
3557,b precursor type acute leukaemia
3558,mean cell volume abnormal
3559,patient uncooperative
3560,hydroxycorticosteroids urine abnormal
3561,oscillopsia
3562,alternating hemiplegia of childhood
3563,blood cholinesterase abnormal
3564,viral infection
3565,meconium ileus
3566,inferior vena cava dilatation
3567,mastoid empyema
3568,foetal chromosome abnormality
3569,orchidotomy
3570,diversion proctitis
3571,incorrect product administration duration
3572,biopsy lung normal
3573,immune-mediated cytopenia
3574,cheilectomy
3575,urine porphobilinogen increased
3576,postpartum sepsis
3577,histone antibody
3578,gianotti-crosti syndrome
3579,anal fissure excision
3580,gingival recession
3581,organ donor
3582,muscle enzyme decreased
3583,joint microhaemorrhage
3584,"ear, nose and throat examination normal"
3585,skinfold measurement
3586,anaesthetic complication neurological
3587,brachiocephalic artery stenosis
3588,wound closure
3589,nephritis allergic
3590,renal pelvis fistula
3591,familial high density lipoprotein deficiency
3592,directional doppler flow tests
3593,duplex appendix
3594,drug ineffective for unapproved indication
3595,kaposi sarcoma inflammatory cytokine syndrome
3596,whipple's disease
3597,gallbladder injury
3598,oesophageal compression
3599,catheterisation cardiac
3600,cerebrospinal fluid drainage
3601,ccr5 receptor positive
3602,insulin tolerance test normal
3603,right atrial pressure increased
3604,streptobacillus infection
3605,sinus headache
3606,scab
3607,delayed spinal fusion
3608,naevus spider congenital
3609,heart valve replacement
3610,karnofsky scale worsened
3611,endothelin abnormal
3612,ventricular tachyarrhythmia
3613,parapharyngeal space infection
3614,bronchitis pneumococcal
3615,contraception
3616,spontaneous heparin-induced thrombocytopenia syndrome
3617,extraskeletal chondrosarcoma recurrent
3618,hiv test false positive
3619,endocarditis syphilitic
3620,pulmonary mass
3621,hepatocele
3622,vulval cancer recurrent
3623,calcium ionised normal
3624,saline infusion sonogram
3625,post procedural fever
3626,instillation site pain
3627,secondary amyloidosis
3628,benign urinary tract neoplasm
3629,aplasia
3630,vitamin b12 normal
3631,intraductal proliferative breast lesion
3632,ventricular internal diameter normal
3633,peritoneal effluent platelet count
3634,colon cancer stage iv
3635,pco2 normal
3636,blood fibrinogen
3637,hepatic encephalopathy prophylaxis
3638,pharyngeal fistula repair
3639,achlorhydria
3640,biopsy salivary gland normal
3641,culture stool positive
3642,anticoagulant-related nephropathy
3643,basal cell carcinoma metastatic
3644,substance use
3645,myocardial ischaemia
3646,congenital scoliosis
3647,rett syndrome
3648,gonadotrophin deficiency
3649,encopresis
3650,eye allergy
3651,chemical burn of oral cavity
3652,ultrasound testes abnormal
3653,haemoglobin distribution width increased
3654,meigs' syndrome
3655,histamine level decreased
3656,immunodeficiency
3657,anticonvulsant drug level abnormal
3658,arterial catheterisation
3659,methaemoglobin urine present
3660,antasthmatic drug level therapeutic
3661,injection site indentation
3662,blood immunoglobulin e increased
3663,osteopontin increased
3664,phototherapeutic keratectomy
3665,hyperkeratosis follicularis et parafollicularis
3666,acute myopia
3667,unresponsive to stimuli
3668,hydrothorax
3669,hydroxycorticosteroids increased
3670,ovarian dysgerminoma stage iii
3671,pneumatosis intestinalis
3672,peritonsillitis
3673,laryngeal prosthesis placement
3674,cerebrovascular disorder
3675,sciatic hernia
3676,gastrointestinal sounds abnormal
3677,benign neoplasm
3678,mental status changes postoperative
3679,amylase decreased
3680,ectopic aldosterone secretion
3681,pemphigoid
3682,gastrooesophageal reflux disease
3683,diastolic hypotension
3684,dentatorubral-pallidoluysian atrophy
3685,choroidal coloboma
3686,patient dissatisfaction with treatment
3687,rhesus antibodies positive
3688,aberrant motor behaviour
3689,quadriplegia
3690,intraventricular haemorrhage neonatal
3691,cystoscopy abnormal
3692,peptostreptococcus test positive
3693,polycythaemia neonatorum
3694,acute lung injury
3695,vocal cord bowing
3696,gamma-glutamyltransferase
3697,urine aluminium
3698,cardiac ventriculogram right
3699,acute myeloid leukaemia (in remission)
3700,myoglobin urine absent
3701,dermatitis exfoliative generalised
3702,ultrasound testes normal
3703,physical assault
