rebound effect,rebound,allergic
rectal tenesmus,feeling like you have to poop,tolerance
respiratory disorder,respiratory issues,lost effectiveness
respiratory disorder,respiratory probs,sucidal thoughts
restless legs syndrome,restlesslegs,asleep 24/7
restless legs syndrome,restless legs,falling into a realm of utter disillusion
restless legs syndrome,restless legs,grumpy
restless legs syndrome,did make my legs go,miserable
restless legs syndrome,rls,headaches
restless legs syndrome,restless legs,wear-off
restless legs syndrome,restless legs,withdrawals
restless legs syndrome,rls,back pain
restless legs syndrome,rls,hangover
restless legs syndrome,restless arms &amp; legs,t cell went up
restless legs syndrome,did make my legs go,sleepy
restlessness,antsy,painful
restlessness,restlessness,cry 
restlessness,antsy,walking dead
restlessness,feet are always going,dizziness
restlessness,restlessness,impossible to cry
restlessness,feet are always going,bloated
restlessness,feet are always going,sleep
rheumatoid arthritis,flare,night terrors
saliva altered,saliva,tension in my nerves
screaming,screaming,addicted
sedation,hit hard,allergic reaction
sedation,sedative,sleep for dayyssss
sedation,sedating,can't eat
sedation,sedated ,mind races
seizure,convulsions,not being able to fit into summer wardrobe
seizure,seizures,chest pain
seizure,convulsions,discontinuation syndrome
self-injurious ideation,destroy myself,slept aw day
sexual dysfunction,no legit sex,sleep
skin disorder,skin,emotional
skin disorder,skin issues,jacked up
sleep disorder,back to sleep, like niagara falls when i cough
sleep disorder,fucks up my sleep,tired
sleep disorder,disturbed sleep,mind races
sleep disorder,disturbed sleep,gained 3stone
sleep disorder,light nights sleep,jitters
sleep disorder,doesn't care about my bed time,aches
sleep disorder,light nights sleep,stay up all night
sleep disorder,slept horribly,ocd
sleep disorder,disturbed sleep,dreams
sleep disorder,light nights sleep,oww
sleep disorder,light nights sleep,siiiiiiiiiiiiiiick
sleep disorder,fucks up my sleep,burnt
sleep disorder,sleep cycle,munchies
sleep disorder,horrible sleep,bad dreams
sleep disorder,light nights sleep,mind races
sleep disorder,sleep,sleepless
sleep disorder,broken sleep,restlesslegs
sleep paralysis,sleep paralysis,miserable
sleep paralysis,sleep paralysis,withdraw
sleep paralysis,sleep paralysis,sleep
sleep terror,night terrors,withdrawals
sluggishness,sloth,increase my appetite
sluggishness,sloth,rebound
sluggishness,sluggish,neck ache
social avoidant behaviour,withdrawn ,brain zap
somnambulism,sleep walking,withdrawals
somnolence,14 hour nap,crazy ish
somnolence,drowsy,spazzing out
somnolence,whacks me out,feel like i need to throw up
somnolence,troubles waking up,weight i put on
somnolence,difficult to wake up,withdrawal
somnolence,naptime,ab pain
somnolence,sleep for days,crippled
somnolence,just woke up, tremors
somnolence,cant get up,headaches
somnolence,drowsy,depression.
somnolence,sleepy,nightmares
somnolence,not stay up,miserable
somnolence,prop my eyelids open,tired
somnolence,sleeping,rip out my teeth
somnolence, sleeping 18 hrs a day ,couldn?t walk
somnolence,sleep,addiction
somnolence,cant get up,cognitive problems
somnolence,knocked me out,kills my libido
somnolence,sleeping 9 hours in the day,ache
somnolence,sleepy,toxic
somnolence,naptime,thyroid
somnolence,sleep past 24hrs,gained 50
somnolence,difficult to wake up,addict
somnolence,sleepies,high
somnolence,unconscious,withdrawals
somnolence,sleeping,eating incredibly differently
somnolence,drowsy,felt nothing
somnolence,knackered when i wake,depressed
somnolence,shouldn't wake up,dizzy
somnolence,knocked me out,ocd
somnolence,nap,addict
somnolence,sleeping,withdrawl
somnolence,just about dead,angry
somnolence,knackered when i wake,panic attack
somnolence,slept 13-14 hrs,pain
somnolence,like wading through treacle getting up,falling into a realm of utter disillusion
somnolence,sleeping,nausea
somnolence,wont wake,puking
somnolence,drowsy,wideawake
somnolence,just now wake up,knocked on my ass
somnolence,sleepy,sick
somnolence,knackered when i wake,eating incredibly differently
somnolence,naptime,knocked on my ass
somnolence,drowsy,messed up dreams
somnolence,nap,addict
somnolence,like wading through treacle getting up,can't eat
somnolence, sleeping 18 hrs a day ,slow
somnolence,sleepy,throat
somnolence,drowsy,addicted
somnolence,trying to get up,mean
somnolence,sleepies,murdering my mind
somnolence,drowsy,steven johnson syndrome
somnolence,knocked me out,fat.
somnolence, sleeping 18 hrs a day ,itchy
somnolence,trying to get up,hair falling out
somnolence,drowsy,felt like acid
somnolence,unconscious,sick
somnolence,don't want to get up,mad
somnolence,sleepy,paraesthesia
somnolence,prop my eyelids open,pinsandneedles
somnolence,cant get up,hurt
stevens-johnson syndrome,steven johnson syndrome,weight gain
stress,stressful,shakes
stress urinary incontinence,stress incontinence,allergic
suicidal ideation,sucidal thoughts,nausea
suicidal ideation,suicidal thoughts,weight gain
suicidal ideation,sucidal thoughts,restlesslegs
suicidal ideation,suicidal thoughts,zombies
suicidal ideation,sucidal thoughts,yawning
systemic lupus erythematosus,lupus flare,sick
tachyphrenia,think too much ,starving
tachyphrenia,mind races,no appetite
tachyphrenia,may not switch your brain off,lucid dreaming
tachyphrenia,over think,feeling high
tachyphylaxis,tolerance, tired
tachyphylaxis,tolerance,depressed
tachyphylaxis,tolerance,wdrawal
tachyphylaxis,stopped working,brain zap
tachyphylaxis,tolerant,nausea
tachyphylaxis,stopped working,insomnia
tachyphylaxis,doesn't even work for me anymore,want to sleeeeep
tachyphylaxis,tolerance,troubles waking up
tachyphylaxis,resisting it,headache
tachyphylaxis,working any more,slept aw day
tachyphylaxis,tolerance,crazier
taste disorder,taste,not hungry
tendon pain, tendons in lots of pain,urge to vomit
tendon rupture,tendon rupture,shoulder
tendonitis,tendonitis,eat so much
tension,tension in my nerves,sleepy
thinking abnormal,common for apartments to be haunted,ab pain
thinking abnormal,irrational,vision blurry
thirst,thirsty,sick
throat irritation,throat is raw,feeling like a train wreck
thyroid disorder,thyroid,withdrawal
tourette's disorder,tourettes,vomiting
toxicity to various agents,toxic reactions,dizzing
toxicity to various agents,toxic reactions,lucid dreaming
toxicity to various agents,toxic reactions,cantsleep
tremor,shaking,terrifying
tremor,tremors in hands and legs,ataxia
tremor,tremors in hands,turn peaceful people into the hulk
tremor,body would rock ,rash
tremor, tremors,headache
tremor,body would rock ,cleaned my entire kitchen
tremor, tremors,back
tremor,tremors in hands and legs,priapism
tremor,shaky,tired
tremor,tremors in hands and legs,amnesic
tremor,shakes,sick
tremor,tremors in hands and legs,not let me sleep
tremor,body would rock ,withdrawal
tremor,shaky,calcium problems
upper-airway cough syndrome,drip,working any more
urinary incontinence, like niagara falls when i cough,not sleeping
vertigo,vertigo,messed up my sleep
vertigo,going to my head,withdrawal
vertigo,vertigo,parasthesia
vision blurred,vision blurry,withdrawal
vision blurred,blurry-eyed,knee pain
vision blurred,blurry vision,diarrhea
visual impairment,eyes worse,screaming
visual impairment,interfering with my visions,muscle spasms
visual impairment,interfering with my visions,withdrawals
visual impairment,"awesome vision, to wearing glasses",drip
visual impairment,see shapes,destroyed my lungs
vitamin d deficiency,vitamin d malsorption,sick
vomiting,vomit,tweakin out
vomiting,vomit,turn peaceful people into the hulk
vomiting,puking,back pain
vomiting,vomits,withdrawals
vomiting,puking,gaining weight
vomiting,urge to vomit,sweats
vomiting,vomits,can't sleep
weight decreased,wt loss,can't even get whipped cream out of the can
weight decreased,wt loss,stay in shape
weight decreased,wt loss,pains
weight decreased,wt loss,siiiiiiiiiiiiiiick
weight increased,gain weight,angry
weight increased,weight gain,sleep
weight increased,gain weight,slow
weight increased,weight gain,rash
weight increased,weight gain,headache
weight increased,weight gain,itchy
weight increased,weight gain,sleep right now
weight increased,gain weight,headaches
weight increased,put much weight on,nosleep
weight increased,weight gain,don't eat
weight increased,weight gain,migraines
weight increased,weight-gaining,dream all types of crazy
weight increased,weight gain,bloodbath
weight increased,weight gain,no appetite
weight increased,gain weight,breath smells
weight increased,gain weight,addiction
weight increased,fat,flare
weight increased,weight gain,lethargy
weight increased,look like a whale,shoulder ache
weight increased,weight gain,prolactin
weight increased,look like a whale,heart was hurting
weight increased,gained over 20 lbs,lost vision
weight increased,weight,coma
weight increased,weight-gaining,twirls her hair constantly
weight increased,olanzapine lbs,mania
weight increased,weight i put on,forgetting
weight increased,gain weight,overheating
weight increased,olanzapine lbs,knocked me out
weight increased,gain weight,throat
weight increased,weight,crazier
weight increased,olanzapine lbs,no sleeping
weight increased,gain weight,sluggish
weight increased,gained 50,discomfort
weight increased,gain weight,binge
weight increased,gain weight,yawn
weight increased,weight,"metabolic"""" syndrome"
weight increased,weight,rage
weight increased,gain weight,hungry
weight increased,gained 30 lbs,common for apartments to be haunted
weight increased,gain 20 lbs,dead from the waist down
weight increased,weight gain,not working as well
weight increased,fat,back pain
weight increased,weight i put on,hallucinate
weight increased,weight-gaining,cleaned my entire kitchen
weight increased,increase my weight,body would rock 
weight increased,stacked on the weight,drowsy
weight increased,weight,irritating my nerve endings
weight increased,weight gain,eyes worse
weight increased,put much weight on,hungover
weight increased,increase my weight,felt nothing
weight increased,fat,yawning
weight increased,make those numbers bigger,headache
weight increased,fatness,throat
white blood cell count increased,t cell went up, withdrawal
withdrawal syndrome,withdrawls,shouldn't wake up
withdrawal syndrome,withdrawals,depressed
withdrawal syndrome,withdraw,weird
withdrawal syndrome,withdrawal,tired
withdrawal syndrome,withdrawal,3 days of hell
withdrawal syndrome,withdrawal,twitch
withdrawal syndrome,withdrawals,back pain
withdrawal syndrome,withdrawal,crippled
withdrawal syndrome,withdrawal,dreams
withdrawal syndrome,withdrawals,amnesic
withdrawal syndrome,withdrawal,limbs ached
withdrawal syndrome,withdraws,hungry
withdrawal syndrome,withdrawals,rash
withdrawal syndrome,withdrawal,don't sleep
withdrawal syndrome,withdrawal,lo0o0py
withdrawal syndrome,withdrawal,gain weight
withdrawal syndrome,withdrawal,acne
withdrawal syndrome,withdrawal,antipsychotics
withdrawal syndrome,wdrawal,feels like the sahara desert in my mouth
withdrawal syndrome,withdrawals,nauseous
withdrawal syndrome,withdrawal,joint problems
withdrawal syndrome,withdrawals,asleep 24/7
withdrawal syndrome,withdrawal,nap
withdrawal syndrome,discontinuation syndrome,paraesthesia
withdrawal syndrome,withdrawals,interacts
withdrawal syndrome,withdrawal,heart stopped
withdrawal syndrome,difficult to come off,jitters
withdrawal syndrome,coming off effexor is not fun,nocturnal
withdrawal syndrome,withdrawal,sick
withdrawal syndrome,withdrawal,hallucinate 
withdrawal syndrome, withdrawls,bad dreams
withdrawal syndrome,withdraw,falling asleep every day
withdrawal syndrome,difficult to come off,head is spinning
withdrawal syndrome,withdrawal,restless leg syndrome 
withdrawal syndrome,withdrawals,pain
withdrawal syndrome,withdrawal,angry
withdrawal syndrome,withdrawal,dreams
withdrawal syndrome,withdrawal,irritable
withdrawal syndrome,withdrawal,neck ache
withdrawal syndrome,withdrawals,heart rate
withdrawal syndrome,withdrawal,grumpy
withdrawal syndrome,withdrawals,sick
withdrawal syndrome,sucked going from 100mg desvenlafaxine / day to zero,lethargic
withdrawal syndrome,coming off effexor was the worst,knocked me out
withdrawal syndrome,withdrawals,feel so ick
withdrawal syndrome,coming off it,passes out
withdrawal syndrome,withdrawals,out if it
withdrawal syndrome,withdrawal,needing my inhaler
withdrawal syndrome,withdrawal,wrecking my sleep
withdrawal syndrome,withdrawal,flu iike symptoms
withdrawal syndrome,withdrawals,limping
withdrawal syndrome,with drawls,eyesight
withdrawal syndrome,withdrawl,addictive
withdrawal syndrome,withdrawals,heels
withdrawal syndrome,withdrawal,not dangerous but it is damn unpleasant
withdrawal syndrome,with drawls,inside i was still screaming
withdrawal syndrome,feels like when you come off heroin,gain weight
withdrawal syndrome,withdrawals,joint pain
withdrawal syndrome,withdrawal,twice as drunk
withdrawal syndrome,withdrawal,value your brain cells
withdrawal syndrome,withdrawal,zombified
withdrawal syndrome, withdrawls,sick
withdrawal syndrome,withdrawl,hurt
withdrawal syndrome,withdrawals,dry nose
withdrawal syndrome,withdraw,convulsions
withdrawal syndrome,coming off it,hungry
withdrawal syndrome,withdrawal ,headache
withdrawal syndrome,withdrawal,allergic reaction
withdrawal syndrome,withdrawl,jolting
yawning,yawning,feel sooooooo weird
yawning,yawning,able to sleep at night
abdominal discomfort,gastic upset,depressed
abdominal discomfort,digestive problems,joint pain
abdominal distension,bloated,dreadful nights sleep
abdominal distension,felt like sumo wrestler,not stay up
abdominal distension,bloat,not hungry
abdominal pain,"killing""""  my tummy",hangover
abdominal pain,tummy trouble,munchies
abdominal pain,tummy trouble,nocturnal
abdominal pain,tummy pains,nausea
abdominal pain,tummy trouble,wrecked
abdominal pain upper,stomach cramps,diarrhea
abnormal behaviour,behaving oddly,weight gain
abnormal dreams,messed up dreams,zombie-ness
abnormal dreams,dreams,vomitting
abnormal dreams,lucidity, withdrawal
abnormal dreams,lucid dreaming,headaches
abnormal dreams,dreams,disconnected
abnormal dreams,dream all types of crazy,zombie
abnormal dreams,dreams,swollen lower legs
abnormal dreams,weird dreams,sun sensitivity
abnormal dreams,dreams,irritable
abnormal dreams,dream,attention-killing
abnormal dreams,dreams,drunk
abnormal dreams,weird &amp; bizarre dreams,keeping me up
abnormal dreams,crazy shit in my dreams,sucked going from 100mg desvenlafaxine / day to zero
abnormal dreams,dream,almost vomited
abnormal dreams,weird &amp; bizarre dreams,flu iike symptoms
abnormal dreams,lucid dreaming,weight gain
abnormal dreams,dream,zap noises
acne,face break out,mood swings
acne,face break out,stay up all night
acne,acne,coming off it
affect lability,emotional,no appetite
affect lability,inside i was still screaming,need to be awake
affect lability,emotional,headaches
affect lability,inside i was still screaming,aches
ageusia,no taste,loss of appetite
aggression,turn peaceful people into the hulk,over think
aggression,turn peaceful people into the hulk,withdrawal
agitation,rip out my teeth,appetite
agitation,rip out my teeth,throat is raw
agitation,jacked up,nausea
akathisia,akathisia,gastic upset
akathisia,restless arms,dizzy
akathisia,rocking,wired
alcohol intolerance,lightweight,high
alcohol intolerance,lightweight,just about dead
alcoholism,alcoholism,weight gain
alopecia,hairloss,sweats
alopecia,balm,sleeping 12 hours a night
alopecia,balm,drip
alopecia,hairloss,anaphylactic shock
amnesia,memory loss,can't eat
amnesia,memory loss,tear my own face off &amp; eat it
anaphylactic shock,anaphylactic shock,crazier
anger,angry,cravings
anger,mad,shakes
anger,angry,feeling high
anger,rant,dark night of the soul
anger,rage breaking things,mixed episode
anger,mad,sick
anger,angry,passes out
anger,angry,aches
anger,rage,tremors
anger,rage,flu symptoms
anger,angry,nearly killed me
anorgasmia,ability to cum,3 days of hell
anorgasmia,ejaculate,going to my head
anorgasmia,stops you from jizzing,munchies
anorgasmia,orgasm,sleeping 15 hrs
anorgasmia,ejaculate,angry
anorgasmia,ejaculate,ate
anorgasmia,ability to cum,holes in my head
anxiety,anxious,tired
anxiety,anxiety,stopped working
apathy,unresponsible,waking up without knowing i feel asleep
apathy,unresponsible,not sleeping
aphasia,mute,brain is melting
appetite disorder,appetite,miserable
appetite disorder,eating incredibly differently,constipation
appetite disorder,eating incredibly differently,vomitting
arrhythmia,heart arrhythmia,zombie
arthralgia,knee pain,cramps
arthralgia,joint pain,shivering
arthralgia,"hip, and leg aches",felt like acid
arthralgia,shoulder ache,sleep
arthralgia,joint pain,palpitate
arthralgia,joint pain,falling asleep every day
arthralgia,knee pain,hair falling out
arthralgia,shoulder ache,sick
arthralgia,shoulder ache,nosleep
arthralgia,knee pain,steal your soul
arthralgia,joint pain,fatigue
arthropathy,joint problems,keeping me up
asthenia,energy,withdrawl
asthenia,energy,dead from the waist down
asthenia,weak,sleep cycle
asthenia,weak knees,worsening pain
asthenia,zap me of all energy,shaky
asthenia,can't even get whipped cream out of the can,ability to cum
asthenia,can't even get whipped cream out of the can,vision blurry
asthenia,can't even get whipped cream out of the can,sedated 
ataxia,ataxia,withdraw
ataxia,ataxia,vitamin d malsorption
attention deficit hyperactivity disorder,add,angry
back pain,back pain,hard to digest
back pain,back,bloat
back pain,back pain,trying to get up
back pain,lower back ache,not sleeping
back pain,"back, hip, and leg aches",mobile
back pain,lower back ache,tired
back pain,back pain,eyeballs make a sound
back pain,back pain,in a fog
back pain,back pain,not sleeping
back pain,back pain,dry nose
back pain,back,sleep for days
back pain,back pain,zombie
back pain,back,tolerant
binge eating,binge, sleeping 18 hrs a day 
bipolar i disorder,triggers my rapid cycling,tired
bipolar i disorder,triggers my rapid cycling,gastro pain
bipolar i disorder,mixed episodes,sedated 
blindness,lost vision,psychotic reactions
blood pressure decreased,blood pressure dropped,drip
blood pressure increased,raised my blood pressure,body would rock 
blood prolactin increased,prolactin,tension in my nerves
blood prolactin increased,prolactin,dreams
body temperature increased,low grade temp,impossible to cry
body temperature increased,low grade temp,dries mouth
bradyphrenia,slow,slept horribly
bradyphrenia,slow,interfering with my visions
breast enlargement,boobs humungous,zombie
breast enlargement,boobs humungous,yawning
breath odour,breath smells,slept horribly
bruxism,grinds the shit out of their teeth,weight gain
bruxism,jaw clenching,sick to my stomach
bruxism,jaw clenching,hunger inducing
burning sensation,burn my veins,addict
burning sensation,felt like chemo,can't cum
burning sensation,felt like acid,hurts
burning sensation,burned,withdrawals
calcium deficiency,calcium problems,sweating
cardiac arrest,heart stopped,confusion
chemotherapy,chemo,can't even get whipped cream out of the can
chest pain,heart was hurting,ability to cum
chest pain,chest pain,miserable
chest pain,chest pain,lethargic
chills,shivering,hungry
chills,shivers,put on weight
clostridial sepsis,septic c diff,heart started lurching
cognitive disorder,cognitive problems,may not switch your brain off
compulsions,twirls her hair constantly,skin issues
compulsions,twirls her hair constantly,heart arrhythmia
confusional state,thirty minutes to type,zombie-ness
confusional state,thirty minutes to type,t cell went up
confusional state,confusion,twerk me out
connective tissue disorder,connective tissue,discontinuation syndrome
constipation,constipation,turn peaceful people into the hulk
contusion,bruises,random crying
cough,cough,allergic reaction
crying,random crying,addiction
crying,cry ,addictive
crying,cry ,torn faced
crying,wailed,fewer hours sleep
crying,cry ,withdrawal
crying,crying,heart was hurting
crying,crying,rash
crying,sobbing,shivers
decreased appetite,loss of appetite,crazier
decreased appetite,remembered what food is,slept 11 hours
decreased appetite,can't eat,crying
decreased appetite,don't eat,rage breaking things
decreased appetite,don't eat,sweating
decreased appetite,can't eat, tremors
decreased appetite,didn't eat a thing,cough
decreased appetite,eat,"killing""""  my tummy"
decreased appetite,no appetite,knocked me out
decreased appetite,no appetite,withdrawal
decreased appetite,plan on eating,not feeling good
decreased appetite,remembered what food is,haze
decreased appetite,no appetite,restlessness
decreased appetite,no appetite,allergic reaction
decreased appetite,appetite is still terrible,emotional
decreased appetite,didn't eat a thing,high
decreased appetite,no appetite,drunk
dehydration,dehydrates,tweaking
dehydration,dehydration,flat
dehydration,dehydrate,naptime
delirium,deliriousness,mind races
delusion,need to save the world,stacked on the weight
dependence,addiction,rls
dependence,addiction,parasthesia
dependence,addiction,almost died
dependence,addiction,addicted
dependence,addiction,neck ache
dependence,addiction,sick
dependence,addicted,addicted
dependence,addiction,nosleep
dependence,addiction,withdrawal
dependence,addiction,brain feels like its actually vibrating
dependence,addiction,chest hurt
dependence,addiction,messing with my sleep
dependence,addiction,rash
depressed mood,dark night of the soul,feeling ill
depressed mood,dark night of the soul,irrational
depressed mood,dark night of the soul,sleep for 11 hours
depression,crawl in a hole,fat
depression,depressed,increase my weight
depression,depressed,felt nothing
depression,depressed,ability to cum
depression,depressed,turn peaceful people into the hulk
depression,depressed,coma
depression,depressed,lethargic
depression,depressed,munchies
depression,crawl in a hole,psychotic episode
diabetes mellitus,diabetes,coming off cymbalta sucks
diabetes mellitus,diabetes,put much weight on
diarrhoea,raging bm's,hangovers
diarrhoea,raging bm's, tendons in lots of pain
diarrhoea,diarrhea,dizzing
diarrhoea,diarrhea,fast pulse
disability,crippled,withdrawal
disability,crippled,insomniac
discomfort,discomfort,ab pain
dissociation,disconnected,come too fast
dissociation,dissociation,tiredness
disturbance in attention,space me out,comedown is hell
disturbance in attention,space me out,pale
dizziness,dizzy,blood pressure low
dizziness,dizzy,gastic upset
dizziness,dizziness,dreams became vivider
dizziness,dizzy,pain
dizziness,dizzy,keeping me up
dizziness,dizziness,won't you let me eat
dizziness,dizzy,memory loss
dizziness,dizziness,jolting
dizziness,dizzy,headaches 
dizziness,dizzy,sleep
dizziness,dizzy,addicted
drooling,drooling,wide awake
drug dependence,addicted,antipsychotics
drug dependence,addicted,fuzziness
drug dependence,addicted,felt nothing
drug dependence,addicted,itchy skin 
drug dependence,addict,pains in head
drug dependence,addictive,deliriousness
drug dependence,addicted,arms just keep getting worse.
drug dependence,"you can check in, but you can never leave",sucked going from 100mg desvenlafaxine / day to zero
drug dependence,addictive,pain
drug dependence,addictive,hungry
drug dependence,addict,back pain
drug dependence,addictive,bloodbath
drug dependence,"you can check in, but you can never leave",sick
drug hypersensitivity,allergic,eyesight
drug hypersensitivity,allergic,ataxia
drug interaction,interacts,attention-killing
drug withdrawal syndrome,withdrawal,tired
drug withdrawal syndrome,comedown is hell,diarrhea
drug withdrawal syndrome,withdrawal,exhausted
drug withdrawal syndrome,coming off klonopin and paxil was hell,not eat
dry mouth,mouth is painfully dry,raised my blood pressure
dry mouth,dry mouth,destroy myself
dry mouth,dry mouth,addiction
dry mouth,dry mouth,not being able to fit into summer wardrobe
dry mouth,dry mouth,nightmare
dry mouth,dry mouth,withdrawal
dry mouth,dry mouth,ulcers in mouth
dry mouth,feels like the sahara desert in my mouth,ability to cum
dry mouth,mouth is painfully dry,acne
dry throat,throat,hunger
dyskinesia,jolting,toxic
dyslexia,dyslexic,dizzy
dyspepsia,hard to digest,hungry
dyspnoea,needing my inhaler,hangover
dyspnoea,needing my inhaler,glaucoma
dysstasia,feel like i can't even stand,dehydration
emotional disorder,spazzing out,gain unwanted pounds
emotional poverty,felt nothing,pee so often
emotional poverty,felt nothing,nausea
emotional poverty,numb to feel,aches
emotional poverty,dry eyed,slept aw day
emotional poverty,numbness,rash
emotional poverty,felt nothing,fuzziness
erectile dysfunction,impotency,cry
erectile dysfunction,erectile dysfunction,mentally drained
erectile dysfunction,erectile dysfunction,sleep
erectile dysfunction,impotency,addictive
eructation,burping,high
erythema,neck was red,hit hard
euphoric mood,feeling high,heart rate
euphoric mood,high,slow
euphoric mood,high,grind my teeth
euphoric mood,high,weight gain
eye irritation, burns,confusion
fatigue,exhaustion ,aching
fatigue,tired,quality
fatigue,pooped out,gastro pain
fatigue,beat up,fucks up my sleep
fatigue,knocked me sidewards,hurt
fatigue,tired,sleep for 12 hours
fatigue,exhausting,taken control of my eyes
fatigue,tired,stress incontinence
fatigue,knocked me sidewards,zombie
fatigue,fatique,hotflashes
fatigue,tiredness,"neck, back, hip, and leg aches"
fatigue,tiredness,17h sleep
fatigue,pooped out,cleaned my entire kitchen
fatigue,exhaustion ,like i'm having a heart attack
fatigue,tired,acid like trips
fatigue,tired,can't even get whipped cream out of the can
fatigue,fatigue,restless leg syndrome 
fatigue,tired,sick
fatigue,physically,back pain
fatigue,fatigue,nap time
fatigue,exhausted,keeping me up
fatigue,tired,dreams
fatigue,tired,cough
fatigue,tiredness,addict
fatigue,fatigue,withdrawal 
fatigue,tired,asleep 24/7
fatigue,tired,haven't slept
fatigue,exhausting,heart arrhythmia
fatigue,tired,need to be awake
fatigue,tiiiiired,crippled
fatigue,exhaustion ,sleep less
fear,scared,feel like crap
feeling abnormal,tweakin out,whacks me out
feeling abnormal,zombie,anaphylactic shock
feeling abnormal,zombieish,destroyed my lungs
feeling abnormal,miserable,nausea
feeling abnormal,zombie,insomnia
feeling abnormal,zombie,feel like i need to throw up
feeling abnormal,in a fog,screwing up my sleep
feeling abnormal,twerk me out,psychotic reactions
feeling abnormal,zombified,drip
feeling abnormal,miserable,increase my weight
feeling abnormal,tweaking,stopped working
feeling abnormal,tweaking,dreams became vivider
feeling abnormal,tweaking,energy
feeling abnormal,tweaking,lung issues
feeling abnormal,wonky,stopped working
feeling abnormal,steal your soul,restless arms
feeling abnormal,miserable,with drawls
feeling abnormal,out if it,skin issues
feeling abnormal,miserable,migraine
feeling abnormal,in a fog,nasty
feeling abnormal,zombified,"hip, and leg aches"
feeling abnormal,loopy,face break out
feeling abnormal,loopy,knocked on my ass
feeling abnormal,zombiness,headache
feeling abnormal,in a fog,hungry
feeling abnormal,haze,prolactin levels
feeling abnormal,zombie,cravings
feeling abnormal,zombie,hyper
feeling abnormal,zombieish,hurt
feeling abnormal,zombie,stopped working
feeling abnormal,zombieish,light nights sleep
feeling abnormal,tweakin out,difficult to wake up
feeling abnormal,fuzziness,dying
feeling abnormal,zombie,tolerant
feeling abnormal,miserable,felt like acid
feeling abnormal,zombie,cry 
feeling abnormal,zombie-ness,symptoms of schizophrenia
feeling abnormal,lo0o0py,sleep paralysis
feeling abnormal,zombieish,gained 3stone
feeling abnormal,floatin,vision shake
feeling abnormal,tweaking,aches
feeling cold,cold,haze
feeling drunk,drunk,cant sleep
feeling drunk,dying,joint pain
feeling drunk,feel wasted,sinuses close up
feeling drunk,drunk,coma
feeling drunk,drunk,killed my libido
feeling hot,feel hot,addiction
feeling jittery,jitters,zombie
feeling of despair,desperation,zombie
flat affect,flat,aches
flat affect,flat,respiratory probs
fluid retention,fluid retention,hotflashes
fluid retention,fluid retention,sleeping 15 hrs
fluid retention,water weight,sleep paralysis
fluid retention,fluid retention,dream
fluid retention,fluid retention,get the horn my life
food aversion,hating food,headache
food aversion,hating food,rash
food craving,cravings,jitters
food craving,cravings,restlessness
food craving,cravings,just woke up
food craving,cravings ,withdrawal
food craving,cravings ,tired
food craving,cravings,insomnia
frequent bowel movements,continuous shitting,increase my weight
gait disturbance,staggering,"just eat, and eat"
gait disturbance,staggering,did make my legs go
gait disturbance,walking painful,sedating
gait disturbance,limping,irritating my nerve endings
gait inability,couldn?t walk,cannot be in the sun
gait inability,cant really walk,chemo
gait inability,crippled,shaky
gait inability,crippled,holes in my head
gait inability,crippled,awake
gait inability,crippled,dreams
gait inability,couldn?t walk,eh whatever
gait inability,crippled,stomach cramps
gait inability,crippled,stacked on the weight
galactorrhoea,breastmilk production,flu symptoms
gastrointestinal pain,gastro pain,raised my blood pressure
glaucoma,glaucoma,inability to cry
haemorrhage,bloodbath,continuous shitting
hallucination,hallucinate ,tremors
hallucination,hallucinate,zap noises
hallucination,hallucinations,pins &amp; needles
hangover,hangovers,headache
hangover,hangover,gained weight
hangover,hangover,withdrawal
hangover,hangovers,sex drive
hangover,hangover,not sleeping
hangover,hangover,back pain
hangover,hangovers,awake all night
headache,headache,wdrawal
headache,headache,urge to vomit
headache,headaches,dream all types of crazy
headache,headaches,wt loss
headache,pains in head,space me out
headache,headache,drunk
headache,headache,weight gain
headache,headache,put on weight
headache,headaches,ataxia
headache,headache,hypomania
headache,headache,gaining weight
headache,headache,hairloss
headache,headaches,thirty minutes to type
headache,headache,hurts
headache,headache,thoughts of suicide
headache,headache,lungs
headache,headaches,nightmare
headache,headaches,numbness
heart rate abnormal,heart attack,palpitations
heart rate abnormal,like i'm having a heart attack,rocking
heart rate increased,racing heart,feel like crap
heart rate increased,racing heart,sleep right now
heart rate irregular,heart started lurching,keeping me up
heart rate irregular,heart started lurching,withdrawal
hot flush,hotflashes,stressful
hunger,hunger inducing,addicted
hunger,starving,not hungry
hunger,hungry,pains
hunger,hungry,wear-off
hunger,munchies,crazier
hunger,munchies,troubles waking up
hunger,hungry,sleepy
hunger,hungry,sick
hunger,munchies,asleep 24/7
hunger,munchies,connective tissue
hunger,starving,mood swings
hunger,munchies,legs
hyperacusis,eyeballs make a sound,addiction
hyperaesthesia,hyper-sensitive,painful
hyperhidrosis,sweating,taken control of my eyes
hyperhidrosis,sweatin,interfering with my visions
hyperhidrosis,sweating,restless leg syndrome 
hyperhidrosis,sweats,sleep for 12 hours
hyperhidrosis,sweats,numbness
hyperhidrosis,sweats,drunk
hyperhidrosis,sweating,make those numbers bigger
hyperhidrosis,sweaty,come too fast
hyperphagia,portions prob too big,sick
hypersensitivity,reaction,impotency
hypersensitivity,reaction,gain 20 lbs
hypersensitivity,reaction,troubles waking up
