ENG,term_HLT,term_HLGT,term_SOC
Truancy,Educational issues,Lifestyle issues,Social circumstances
Catheter site thrombosis,Implant and catheter site reactions,Administration site reactions,General disorders and administration site conditions
Caecum operation,Large intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Gastrocoele,Abdominal hernias NEC,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders
Tenonectomy,Tendon therapeutic procedures,Soft tissue therapeutic procedures,Surgical and medical procedures
Hodgkin's disease lymphocyte predominance stage II subdiaphragm,Hodgkin's disease lymphocyte predominance type,Lymphomas Hodgkin's disease,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Vitamin B1 increased,Vitamin analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Prohormone brain natriuretic peptide abnormal,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Coronavirus test negative,Virus identification and serology,Microbiology and serology investigations,Investigations
Elschnig's bodies,Eye and ear procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Nasal sinus irrigation,Paranasal therapeutic procedures,Head and neck therapeutic procedures,Surgical and medical procedures
Hepatitis C virus core antigen,Virus identification and serology,Microbiology and serology investigations,Investigations
Very low density lipoprotein increased,Cholesterol analyses,Lipid analyses,Investigations
Subclavian vein occlusion,"Peripheral vasoconstriction, necrosis and vascular insufficiency","Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders
Thoracic outlet surgery,Chest wall and mediastinal therapeutic procedures,Respiratory tract therapeutic procedures,Surgical and medical procedures
Occult blood,Faecal analyses NEC,Gastrointestinal investigations,Investigations
Biopsy thymus gland normal,Bone marrow and immune tissue histopathology procedures,Haematology investigations (incl blood groups),Investigations
Ventriculo-peritoneal shunt,Cerebrospinal fluid therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Congenital uterine anomaly,Female reproductive tract disorders congenital,Reproductive tract and breast disorders congenital,"Congenital, familial and genetic disorders"
Anti-Muellerian hormone level,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Investigations
Pneumonectomy,Bronchial and pulmonary therapeutic procedures,Respiratory tract therapeutic procedures,Surgical and medical procedures
Liver scan normal,Hepatobiliary imaging procedures,Hepatobiliary investigations,Investigations
Microcephaly,Musculoskeletal and connective tissue disorders of skull congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Procedural headache,Neurological and psychiatric procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Atlantoaxial subluxation,Joint related disorders NEC,Joint disorders,Musculoskeletal and connective tissue disorders
Nitritoid reaction,Vascular hypotensive disorders,Decreased and nonspecific blood pressure disorders and shock,Vascular disorders
Monoclonal immunoglobulin present,Immunoglobulin analyses,Immunology and allergy investigations,Investigations
Drug withdrawal maintenance therapy,Drug withdrawal therapies,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Leukaemic lymphoma,Non-Hodgkin's lymphomas NEC,Lymphomas non-Hodgkin's unspecified histology,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Metastatic cutaneous Crohn's disease,Granulomatous and deep cutaneous inflammatory conditions,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Brachiocephalic vein occlusion,Site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders
Pericarditis,Noninfectious pericarditis,Pericardial disorders,Cardiac disorders
Lateral popliteal decompression,Peripheral nerve therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Faeces soft,Faecal abnormalities NEC,Gastrointestinal signs and symptoms,Gastrointestinal disorders
Biopsy prostate abnormal,Reproductive organ and breast histopathology procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Wrong product stored,Product storage errors and issues in the product use system,Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Mycobacterium haemophilum infection,Atypical mycobacterial infections,Mycobacterial infectious disorders,Infections and infestations
Adoption,Family and partner issues,Family issues,Social circumstances
Herpetic radiculopathy,Herpes viral infections,Viral infectious disorders,Infections and infestations
Hyperparathyroidism primary,Hyperparathyroid disorders,Parathyroid gland disorders,Endocrine disorders
Gastrointestinal oedema,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastrointestinal disorders
Venous oxygen partial pressure abnormal,Blood gas and acid base analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Urea renal clearance increased,Renal function analyses,Renal and urinary tract investigations and urinalyses,Investigations
Glucose-6-phosphate dehydrogenase abnormal,Red blood cell analyses,Haematology investigations (incl blood groups),Investigations
Slit-lamp examination,Ophthalmic function diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Small airways disease,Bronchial conditions NEC,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders"
Meningitis cronobacter,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Rectal examination abnormal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Aspartate aminotransferase increased,Liver function analyses,Hepatobiliary investigations,Investigations
Hepatic cancer metastatic,Hepatic neoplasms malignant,Hepatobiliary neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Anorexia and bulimia syndrome,Eating disorders NEC,Eating disorders and disturbances,Psychiatric disorders
"Sleep disorder due to general medical condition, mixed type",Sleep disorders NEC,Sleep disorders and disturbances,Psychiatric disorders
Dural tear,Neurological and psychiatric procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Renin abnormal,Chemistry analyses NEC,Protein and chemistry analyses NEC,Investigations
Transplant abscess,Infections NEC,Infections - pathogen unspecified,Infections and infestations
CSF pressure decreased,Cerebrospinal fluid tests (excl microbiology),"Neurological, special senses and psychiatric investigations",Investigations
Myopic traction maculopathy,"Retinal structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye disorders
Liver palpable,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Cardiac complication associated with device,Cardiac complications associated with device,Complications associated with device,General disorders and administration site conditions
Hyperphosphaturia,Urinary abnormalities,Urinary tract signs and symptoms,Renal and urinary disorders
Blood insulin,"Gastrointestinal, pancreatic and APUD hormone analyses",Endocrine investigations (incl sex hormones),Investigations
Vasoplegia syndrome,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Metastases to liver,Metastases to specified sites,Metastases,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Herpes simplex pharyngitis,Herpes viral infections,Viral infectious disorders,Infections and infestations
Tooth development disorder,Dental developmental disorders and anomalies,Dental and gingival conditions,Gastrointestinal disorders
Chest X-ray,Respiratory tract and thoracic imaging procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Tracheal cancer,Respiratory tract and pleural neoplasms malignant cell type unspecified NEC,Respiratory and mediastinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Administration site pruritus,Administration site reactions NEC,Administration site reactions,General disorders and administration site conditions
5-hydroxyindolacetic acid decreased,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Carotene,Vitamin analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Sialogram abnormal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Oligodendroglioma,Nervous system neoplasms unspecified malignancy NEC,Nervous system neoplasms malignant and unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Galactose elimination capacity test increased,Liver function analyses,Hepatobiliary investigations,Investigations
Obturator neuropathy,Mononeuropathies,Peripheral neuropathies,Nervous system disorders
Fibroid myolysis procedure,Uterine therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
HIV-2 infection,Retroviral infections,Viral infectious disorders,Infections and infestations
Hypoglossal nerve disorder,Hypoglossal nerve disorders,Cranial nerve disorders (excl neoplasms),Nervous system disorders
Infusion site granuloma,Infusion site reactions,Administration site reactions,General disorders and administration site conditions
B precursor type acute leukaemia,Leukaemias acute lymphocytic,Leukaemias,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Mean cell volume abnormal,Red blood cell analyses,Haematology investigations (incl blood groups),Investigations
Patient uncooperative,Social issues NEC,Lifestyle issues,Social circumstances
Hydroxycorticosteroids urine abnormal,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Investigations
Oscillopsia,Visual disorders NEC,Vision disorders,Eye disorders
Alternating hemiplegia of childhood,Neurological disorders congenital NEC,Neurological disorders congenital,"Congenital, familial and genetic disorders"
Blood cholinesterase abnormal,Liver function analyses,Hepatobiliary investigations,Investigations
Viral infection,Viral infections NEC,Viral infectious disorders,Infections and infestations
Meconium ileus,Duodenal and small intestinal stenosis and obstruction,Gastrointestinal stenosis and obstruction,Gastrointestinal disorders
Inferior vena cava dilatation,Site specific vascular disorders NEC,Vascular disorders NEC,Vascular disorders
Mastoid empyema,Ear infections,Infections - pathogen unspecified,Infections and infestations
Foetal chromosome abnormality,Chromosomal abnormalities NEC,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Orchidotomy,Testicular and scrotal therapeutic procedures,Male genital tract therapeutic procedures,Surgical and medical procedures
Diversion proctitis,Gastrointestinal and hepatobiliary procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Incorrect product administration duration,Product administration errors and issues,Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Biopsy lung normal,Respiratory tract and thoracic histopathology procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Immune-mediated cytopenia,Marrow depression and hypoplastic anaemias,Anaemias nonhaemolytic and marrow depression,Blood and lymphatic system disorders
Cheilectomy,Bone therapeutic procedures NEC,Bone and joint therapeutic procedures,Surgical and medical procedures
Urine porphobilinogen increased,Haem metabolism analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Postpartum sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infections and infestations
Histone antibody,Autoimmunity analyses,Immunology and allergy investigations,Investigations
Gianotti-Crosti syndrome,Hepatitis viral infections,Viral infectious disorders,Infections and infestations
Anal fissure excision,Anorectal therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Gingival recession,"Gingival disorders, signs and symptoms NEC",Dental and gingival conditions,Gastrointestinal disorders
Organ donor,Social issues NEC,Lifestyle issues,Social circumstances
Muscle enzyme decreased,Skeletal and cardiac muscle analyses,Enzyme investigations NEC,Investigations
Joint microhaemorrhage,Arthropathies NEC,Joint disorders,Musculoskeletal and connective tissue disorders
"Ear, nose and throat examination normal",Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Skinfold measurement,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Anaesthetic complication neurological,Anaesthetic and allied procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Brachiocephalic artery stenosis,Site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders
Wound closure,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Nephritis allergic,Glomerulonephritis and nephrotic syndrome,Nephropathies,Renal and urinary disorders
Renal pelvis fistula,Renal disorders NEC,Renal disorders (excl nephropathies),Renal and urinary disorders
Familial high density lipoprotein deficiency,Inborn errors of lipid metabolism,Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Directional Doppler flow tests,Vascular imaging procedures NEC,Cardiac and vascular investigations (excl enzyme tests),Investigations
Duplex appendix,Intestinal disorders congenital,Gastrointestinal tract disorders congenital,"Congenital, familial and genetic disorders"
Drug ineffective for unapproved indication,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),General disorders and administration site conditions
Kaposi sarcoma inflammatory cytokine syndrome,Herpes viral infections,Viral infectious disorders,Infections and infestations
Whipple's disease,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Gallbladder injury,Abdominal and gastrointestinal injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Oesophageal compression,Oesophageal stenosis and obstruction,Gastrointestinal stenosis and obstruction,Gastrointestinal disorders
Catheterisation cardiac,Cardiac imaging procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Cerebrospinal fluid drainage,Cerebrospinal fluid therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
CCR5 receptor positive,Cell marker analyses,Cytogenetic investigations,Investigations
Insulin tolerance test normal,"Gastrointestinal, pancreatic and APUD hormone analyses",Endocrine investigations (incl sex hormones),Investigations
Right atrial pressure increased,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Streptobacillus infection,Streptobacillus infections,Bacterial infectious disorders,Infections and infestations
Sinus headache,Headaches NEC,Headaches,Nervous system disorders
Scab,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Delayed spinal fusion,Musculoskeletal procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Naevus spider congenital,Skin and subcutaneous tissue disorders congenital NEC,Skin and subcutaneous tissue disorders congenital,"Congenital, familial and genetic disorders"
Heart valve replacement,Cardiac valve therapeutic procedures,Cardiac therapeutic procedures,Surgical and medical procedures
Karnofsky scale worsened,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Endothelin abnormal,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Ventricular tachyarrhythmia,Ventricular arrhythmias and cardiac arrest,Cardiac arrhythmias,Cardiac disorders
Parapharyngeal space infection,Upper respiratory tract infections,Infections - pathogen unspecified,Infections and infestations
Bronchitis pneumococcal,Streptococcal infections,Bacterial infectious disorders,Infections and infestations
Contraception,Contraceptive methods female,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
Spontaneous heparin-induced thrombocytopenia syndrome,Thrombocytopenias,Platelet disorders,Blood and lymphatic system disorders
Extraskeletal chondrosarcoma recurrent,Extraskeletal chondrosarcomas,Soft tissue neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
HIV test false positive,Virus identification and serology,Microbiology and serology investigations,Investigations
Endocarditis syphilitic,Treponema infections,Bacterial infectious disorders,Infections and infestations
Pulmonary mass,Respiratory tract disorders NEC,Respiratory disorders NEC,"Respiratory, thoracic and mediastinal disorders"
Hepatocele,Hepatic and hepatobiliary disorders NEC,Hepatic and hepatobiliary disorders,Hepatobiliary disorders
Vulval cancer recurrent,Vulval neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Calcium ionised normal,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Investigations
Saline infusion sonogram,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Post procedural fever,Non-site specific procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Instillation site pain,Application and instillation site reactions,Administration site reactions,General disorders and administration site conditions
Secondary amyloidosis,Amyloidoses,Immune disorders NEC,Immune system disorders
Benign urinary tract neoplasm,Urinary tract neoplasms benign,Renal and urinary tract neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Aplasia,Congenital disorders NEC,Congenital and hereditary disorders NEC,"Congenital, familial and genetic disorders"
Vitamin B12 normal,Vitamin analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Intraductal proliferative breast lesion,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Ventricular internal diameter normal,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Peritoneal effluent platelet count,Peritoneal fluid and membrane function analyses,Gastrointestinal investigations,Investigations
Colon cancer stage IV,Colorectal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
PCO2 normal,Blood gas and acid base analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Blood fibrinogen,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Hepatic encephalopathy prophylaxis,Nervous system therapeutic procedures NEC,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Pharyngeal fistula repair,Pharyngeal therapeutic procedures,Head and neck therapeutic procedures,Surgical and medical procedures
Achlorhydria,Gastrointestinal mucosal dystrophies and secretion disorders,Gastrointestinal conditions NEC,Gastrointestinal disorders
Biopsy salivary gland normal,Gastrointestinal histopathology procedures,Gastrointestinal investigations,Investigations
Culture stool positive,Microbiology and serology tests NEC,Microbiology and serology investigations,Investigations
Anticoagulant-related nephropathy,Nephropathies and tubular disorders NEC,Nephropathies,Renal and urinary disorders
Basal cell carcinoma metastatic,Skin neoplasms malignant and unspecified (excl melanoma),Skin neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Substance use,Social issues NEC,Lifestyle issues,Social circumstances
Myocardial ischaemia,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders
Congenital scoliosis,Musculoskeletal and connective tissue disorders of spine congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Rett syndrome,Inborn errors of amino acid metabolism,Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Gonadotrophin deficiency,Endocrine abnormalities of gonadal function NEC,Endocrine disorders of gonadal function,Endocrine disorders
Encopresis,Psychiatric elimination disorders,Psychiatric disorders NEC,Psychiatric disorders
Eye allergy,"Ocular infections, inflammations and associated manifestations","Ocular infections, irritations and inflammations",Eye disorders
Chemical burn of oral cavity,Chemical injuries,"Exposures, chemical injuries and poisoning","Injury, poisoning and procedural complications"
Ultrasound testes abnormal,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Haemoglobin distribution width increased,Red blood cell analyses,Haematology investigations (incl blood groups),Investigations
Meigs' syndrome,Oncologic complications and emergencies,Neoplasm related morbidities,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Histamine level decreased,Chemistry analyses NEC,Protein and chemistry analyses NEC,Investigations
Immunodeficiency,Immunodeficiency disorders NEC,Immunodeficiency syndromes,Immune system disorders
Anticonvulsant drug level abnormal,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Investigations
Arterial catheterisation,Arterial therapeutic procedures (excl aortic),Vascular therapeutic procedures,Surgical and medical procedures
Methaemoglobin urine present,Haem metabolism analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Antasthmatic drug level therapeutic,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Investigations
Injection site indentation,Injection site reactions,Administration site reactions,General disorders and administration site conditions
Blood immunoglobulin E increased,Immunoglobulin analyses,Immunology and allergy investigations,Investigations
Osteopontin increased,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Phototherapeutic keratectomy,Corneal and scleral therapeutic procedures,Eye therapeutic procedures,Surgical and medical procedures
Hyperkeratosis follicularis et parafollicularis,Hyperkeratoses,Cornification and dystrophic skin disorders,Skin and subcutaneous tissue disorders
Acute myopia,Refractive and accommodative disorders,Vision disorders,Eye disorders
Unresponsive to stimuli,Neurological signs and symptoms NEC,Neurological disorders NEC,Nervous system disorders
Hydrothorax,Pneumothorax and pleural effusions NEC,Pleural disorders,"Respiratory, thoracic and mediastinal disorders"
Hydroxycorticosteroids increased,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Investigations
Ovarian dysgerminoma stage III,Ovarian germ cell neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Pneumatosis intestinalis,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastrointestinal disorders
Peritonsillitis,Upper respiratory tract infections,Infections - pathogen unspecified,Infections and infestations
Laryngeal prosthesis placement,Laryngeal therapeutic procedures,Head and neck therapeutic procedures,Surgical and medical procedures
Cerebrovascular disorder,Central nervous system vascular disorders NEC,Central nervous system vascular disorders,Nervous system disorders
Sciatic hernia,Abdominal hernias NEC,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders
Gastrointestinal sounds abnormal,Abdominal findings abnormal,Gastrointestinal signs and symptoms,Gastrointestinal disorders
Benign neoplasm,Neoplasms benign site unspecified NEC,Miscellaneous and site unspecified neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Mental status changes postoperative,Neurological and psychiatric procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Amylase decreased,Digestive enzymes,Gastrointestinal investigations,Investigations
Ectopic aldosterone secretion,Ectopic endocrine disorders,Neoplastic and ectopic endocrinopathies,Endocrine disorders
Pemphigoid,Bullous conditions,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Gastrooesophageal reflux disease,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders
Diastolic hypotension,Vascular hypotensive disorders,Decreased and nonspecific blood pressure disorders and shock,Vascular disorders
Dentatorubral-pallidoluysian atrophy,Cerebellar disorders congenital,Neurological disorders congenital,"Congenital, familial and genetic disorders"
Choroidal coloboma,Iris and choroid disorders congenital,Eye disorders congenital,"Congenital, familial and genetic disorders"
Patient dissatisfaction with treatment,Social issues NEC,Lifestyle issues,Social circumstances
Rhesus antibodies positive,Blood grouping and cross-matching analyses,Haematology investigations (incl blood groups),Investigations
Aberrant motor behaviour,Abnormal behaviour NEC,Psychiatric and behavioural symptoms NEC,Psychiatric disorders
Quadriplegia,Paralysis and paresis (excl cranial nerve),Movement disorders (incl parkinsonism),Nervous system disorders
Intraventricular haemorrhage neonatal,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nervous system disorders
Cystoscopy abnormal,Urinary tract imaging procedures,Renal and urinary tract investigations and urinalyses,Investigations
Peptostreptococcus test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Investigations
Polycythaemia neonatorum,Polycythaemia (excl rubra vera),Red blood cell disorders,Blood and lymphatic system disorders
Acute lung injury,Pulmonary oedemas,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders"
Vocal cord bowing,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Gamma-glutamyltransferase,Liver function analyses,Hepatobiliary investigations,Investigations
Urine aluminium,Toxicology laboratory analyses,Toxicology and therapeutic drug monitoring,Investigations
Cardiac ventriculogram right,Cardiac imaging procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Acute myeloid leukaemia (in remission),Leukaemias acute myeloid,Leukaemias,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Myoglobin urine absent,Musculoskeletal and soft tissue tests NEC,Musculoskeletal and soft tissue investigations (excl enzyme tests),Investigations
Dermatitis exfoliative generalised,Exfoliative conditions,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Ultrasound testes normal,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Physical assault,Criminal activity,Legal issues,Social circumstances
Contraindicated product prescribed,Product prescribing errors and issues,Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Hyperkeratosis,Hyperkeratoses,Cornification and dystrophic skin disorders,Skin and subcutaneous tissue disorders
Cortisol free urine abnormal,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Investigations
Chemotherapeutic drug level decreased,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Investigations
Congenital diaphragmatic anomaly,Diaphragmatic disorders congenital,Respiratory disorders congenital,"Congenital, familial and genetic disorders"
Fanconi syndrome,Renal disorders congenital,Renal and urinary tract disorders congenital,"Congenital, familial and genetic disorders"
Heart valve explantation,Cardiac valve therapeutic procedures,Cardiac therapeutic procedures,Surgical and medical procedures
Gingivitis,Dental and oral soft tissue infections,Infections - pathogen unspecified,Infections and infestations
Osteopenia,Metabolic bone disorders,Bone disorders (excl congenital and fractures),Musculoskeletal and connective tissue disorders
Biopsy ligament,Musculoskeletal and soft tissue histopathology procedures,Musculoskeletal and soft tissue investigations (excl enzyme tests),Investigations
Brain neoplasm,Nervous system neoplasms unspecified malignancy NEC,Nervous system neoplasms malignant and unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Lung opacity,Lower respiratory tract signs and symptoms,Respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
Medical device site laceration,Complications associated with device NEC,Complications associated with device,General disorders and administration site conditions
Administration site joint warmth,Administration site reactions NEC,Administration site reactions,General disorders and administration site conditions
Lymphangiogram,Vascular imaging procedures NEC,Cardiac and vascular investigations (excl enzyme tests),Investigations
Retinal scar,"Retinal structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye disorders
Cysteine urine present,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Stool chymotrypsin normal,Digestive enzymes,Gastrointestinal investigations,Investigations
Temperature regulation disorder,Body temperature altered,Body temperature conditions,General disorders and administration site conditions
Urine ketone body,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Respiratory disorder,Respiratory tract disorders NEC,Respiratory disorders NEC,"Respiratory, thoracic and mediastinal disorders"
5-hydroxyindolacetic acid increased,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Protein total decreased,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Renal infarct,Renal vascular and ischaemic conditions,Renal disorders (excl nephropathies),Renal and urinary disorders
Cervical spinal cord paralysis,Paralysis and paresis (excl cranial nerve),Movement disorders (incl parkinsonism),Nervous system disorders
Subretinal hyperreflective exudation,"Retinal structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye disorders
Manufacturing issue,Manufacturing issues NEC,"Product quality, supply, distribution, manufacturing and quality system issues",Product issues
T-cell unclassifiable lymphoma low grade,T-cell unclassifiable lymphomas,Lymphomas non-Hodgkin's T-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Urine analysis abnormal,Urinalysis NEC,Renal and urinary tract investigations and urinalyses,Investigations
Enzyme supplementation,Dietary and nutritional therapies,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Single photon emission computerised tomogram normal,Imaging procedures NEC,"Investigations, imaging and histopathology procedures NEC",Investigations
Metabolic alkalosis,Metabolic alkaloses,Acid-base disorders,Metabolism and nutrition disorders
Nucleic acid test,Microbiology and serology tests NEC,Microbiology and serology investigations,Investigations
Peritoneal tuberculosis,Tuberculous infections,Mycobacterial infectious disorders,Infections and infestations
Tissue polypeptide antigen increased,Cell marker analyses,Cytogenetic investigations,Investigations
Post procedural haematoma,Non-site specific procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Glycogen storage disease type IX,Inborn errors of carbohydrate metabolism (excl glucose),Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Pharyngeal cancer stage IV,Pharyngeal neoplasms malignant and unspecified,Respiratory and mediastinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Administration site scab,Administration site reactions NEC,Administration site reactions,General disorders and administration site conditions
Tooth pulp haemorrhage,Dental pulp disorders,Dental and gingival conditions,Gastrointestinal disorders
Oral hairy leukoplakia,Epstein-Barr viral infections,Viral infectious disorders,Infections and infestations
Promyelocyte count decreased,White blood cell analyses,Haematology investigations (incl blood groups),Investigations
Bromosulphthalein test,Liver function analyses,Hepatobiliary investigations,Investigations
Gram stain negative,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Investigations
