,LLT,PT
7732,gynecological chlamydia infection,gynaecological chlamydia infection
7733,parathyrin low,blood parathyroid hormone decreased
7734,unilateral leg pain,pain in extremity
7735,vision abnormal nos exacerbated,visual impairment
7736,allergic edema,allergic oedema
7737,transverse deficiency of lower limb,limb reduction defect
7738,"myopathy, unspecified",myopathy
7739,selective ageusia,ageusia
7740,myogelosis,myosclerosis
7741,"anaemia haemolytic, angiopathic",microangiopathic haemolytic anaemia
7742,submaxillary gland swelling,submaxillary gland enlargement
7743,unspecified myeloid leukaemia without mention of remission,myeloid leukaemia
7744,adult t-cell lymphoma/leukemia stage iv,adult t-cell lymphoma/leukaemia stage iv
7745,lymphocytic malignant thymoma recurrent,thymoma malignant recurrent
7746,joint prosthesis wearer,joint prosthesis user
7747,syllable stumbling,dysphemia
7748,t-immunoblastic lymphoma (peripheral t-cell lymphoma unspecified) stage ii,peripheral t-cell lymphoma unspecified stage ii
7749,rectal carcinoma stage 0,rectal cancer stage 0
7750,antepartum varicose veins of legs,varicose vein
7751,hypotransferrinemia,hypotransferrinaemia
7752,blood amylase,amylase
7753,interleukin-6,interleukin level
7754,unspecified renovascular hypertension,renovascular hypertension
7755,malignant neoplasm of vestibule of mouth stage i,lip and/or oral cavity cancer stage i
7756,phosphate,blood phosphorus
7757,esophageal squamous cell carcinoma cervical stage 0,oesophageal squamous cell carcinoma stage 0
7758,large cell immunoblastic lymphoma (high grade b-cell burkitt-like lymphoma) refractory,high grade b-cell lymphoma burkitt-like lymphoma refractory
7759,calculous cholecystitis,cholecystitis
7760,chemotherapeutic drug level nos subtherapeutic,chemotherapeutic drug level below therapeutic
7761,poisoning by anti-parkinsonism drugs,toxicity to various agents
7762,acne papular,acne
7763,wide complex supraventricular tachycardia,supraventricular tachycardia
7764,potassium abnormal nos,blood potassium abnormal
7765,cataract aggravated,cataract
7766,"twin pregnancy, unspecified as to episode of care",twin pregnancy
7767,intrapartum hemorrhage,intrapartum haemorrhage
7768,vincent's symptom,oral dysaesthesia
7769,splenic abscess drainage,abscess drainage
7770,"nondependent abuse of drugs, antidepressants",drug abuse
7771,malignant neoplasm growth accelerated,neoplasm malignant
7772,malignant neoplasm of pylorus stage i,gastric cancer stage i
7773,sperm formation disorder,spermatogenesis abnormal
7774,stent-graft endoleak type iv,stent-graft endoleak
7775,superficial injury of cornea,corneal abrasion
7776,diffuse mixed small and large cell lymphoma (nodal marginal zone b-cell lymphoma),nodal marginal zone b-cell lymphoma
7777,antithrombin deficiency,antithrombin iii deficiency
7778,pigmented rash,rash
7779,chlamydial ophthalmia neonatorum,inclusion conjunctivitis neonatal
7780,very low density lipoprotein cholesterol decreased,very low density lipoprotein decreased
7781,cholesterol blood excessive,hypercholesterolaemia
7782,leukemoid reaction,leukaemoid reaction
7783,"recurrent bilateral inguinal hernia, without mention of obstruction or gangrene",inguinal hernia
7784,pelvic tumour,pelvic neoplasm
7785,bleeding duodenal ulcer,duodenal ulcer haemorrhage
7786,feeling unreal,derealisation
7787,muscle relaxant,muscle relaxant therapy
7788,increased activity,psychomotor hyperactivity
7789,oversedation,sedation complication
7790,"osteoarthrosis, localised, secondary, involving upper arm",osteoarthritis
7791,prostatic hemorrhage,prostatic haemorrhage
7792,cervicovaginitis,cervicitis
7793,buttock augmentation procedure,gluteoplasty
7794,plasma pyruvic acid decreased,blood pyruvic acid decreased
7795,hyperlipidaemia secondary,hyperlipidaemia
7796,"injury to liver with open wound into cavity, unspecified laceration",traumatic liver injury
7797,uterine disorder nos,uterine disorder
7798,simple renal cyst,renal cyst
7799,pantothenate kinase-associated neurodegeneration,neurodegeneration with brain iron accumulation disorder
7800,herbal allergy,allergy to plants
7801,hypersensation skin,hyperaesthesia
7802,serum magnesium decreased,blood magnesium decreased
7803,infection of amniotic cavity,amniotic cavity infection
7804,"vasa previa complicating labor and delivery, antepartum",vasa praevia
7805,haematopoiesis depressed,myelosuppression
7806,aplastic anemia relapse,aplastic anaemia
7807,oesophageal thrush,oesophageal candidiasis
7808,disorder immune system (nos),immune system disorder
7809,labour interrupted,arrested labour
7810,rapid correction of hyponatremia,rapid correction of hyponatraemia
7811,pneumonia eosinophilic,eosinophilic pneumonia
7812,st segment elevation,electrocardiogram st segment elevation
7813,murderer,homicide
7814,tarsal coalition,congenital foot malformation
7815,flu vaccination,influenza immunisation
7816,aldosterone urine high,aldosterone urine increased
7817,congenital lacrimal gland anomaly nos,congenital lacrimal gland anomaly
7818,takotsubo syndrome,stress cardiomyopathy
7819,diffuse mixed small and large cell lymphoma (angiocentric lymphoma) (working formulation) recurrent,angiocentric lymphoma recurrent
7820,malignant salivary gland neoplasm stage 0,salivary gland cancer stage 0
7821,"complete disruption of kidney parenchyma, with open wound into cavity",traumatic renal injury
7822,"device failure, meter",device failure
7823,streptococcal bacteremia,streptococcal bacteraemia
7824,nasogastric tube irritation,complication associated with device
7825,pelvic floor dyssynergia,pelvic floor dysfunction
7826,systemic onset juvenile idiopathic arthritis,still's disease
7827,l.braziliensis,mucocutaneous leishmaniasis
7828,serum creatine phosphokinase mb,blood creatine phosphokinase mb
7829,mumps virus epididymitis,epididymitis mumps
7830,hyperproteinemia,hyperproteinaemia
7831,numbness in fingers,hypoaesthesia
7832,chlamydia serology positive,chlamydia test positive
7833,enterococcus faecalis endocarditis,endocarditis enterococcal
7834,gingival inflammation,noninfective gingivitis
7835,raeb,refractory anaemia with an excess of blasts
7836,out of specification test results appearance,out of specification test results
7837,hemorrhage gastric,gastric haemorrhage
7838,cyst of kidney,renal cyst
7839,urine amylase,amylase
7840,cholangiocarcinoma metastatic,cholangiocarcinoma
7841,thyrotrophin decreased,blood thyroid stimulating hormone decreased
7842,neuritis b6 deficiency,neuropathy vitamin b6 deficiency
7843,"unspecified perineal laceration, postpartum",perineal injury
7844,urine microalbumin present,albumin urine present
7845,vein disorder nos,vein disorder
7846,bruise of head,contusion
7847,enthesopathy of knee,enthesopathy
7848,trisomy 9 mosaicism,trisomy 9
7849,hematology test abnormal,haematology test abnormal
7850,psychosis disintegrative,autism spectrum disorder
7851,revision of internal fixation,internal fixation of fracture
7852,tremor nerve,tremor
7853,gastrooesophageal reflux,gastrooesophageal reflux disease
7854,schizophrenic child,schizophrenic relative
7855,covid-19 serology test negative,sars-cov-2 antibody test negative
7856,device component migration,device dislocation
7857,movements involuntary of limbs,dyskinesia
7858,nail discoloration,nail discolouration
7859,foot overpronation,foot deformity
7860,pyoperitoneum,peritonitis
7861,nonspecific abnormal findings in cerebrospinal fluid,csf test abnormal
7862,male genital pain,genital pain
7863,esophageal adenocarcinoma,oesophageal adenocarcinoma
7864,pseudomembranous enterocolitis,pseudomembranous colitis
7865,posterior cerebral artery infarction,cerebral infarction
7866,wet purpura,purpura
7867,breathing kussmaul type,kussmaul respiration
7868,polycythaemia rubra vera,polycythaemia vera
7869,vaccine administered at inappropriate site,product administered at inappropriate site
7870,joint tightness,joint stiffness
7871,urinalysis - nad (no abnormality detected),urine analysis normal
7872,large bowel infarction,intestinal infarction
7873,"blindness, both eyes",blindness
7874,"extranodal nk/t-cell lymphoma, nasal type",angiocentric lymphoma
7875,type i diabetes mellitus with peripheral circulatory disorders,diabetic vascular disorder
7876,oesophageal squamous cell carcinoma upper third in situ,oesophageal squamous cell carcinoma stage 0
7877,oral hemangioma,oral haemangioma
7878,eye haemorrhage nos,eye haemorrhage
7879,leiomyoma uterine degenerated,uterine leiomyoma
7880,brain stem herniation,brain herniation
7881,ct enterography,computerised tomogram intestine
7882,acute myeloid leukemia (in remission),acute myeloid leukaemia (in remission)
7883,rash desquamating,exfoliative rash
7884,moraxella catarrhalis pneumonia,pneumonia moraxella
7885,extensive striae,skin striae
7886,"malignant neoplasm of liver, primary non-resectable",hepatic cancer
7887,edema pulmonary,pulmonary oedema
7888,viral load nos increased,viral load increased
7889,septorhinoplasty,rhinoplasty
7890,perforated ulcer nos,perforated ulcer
7891,centrocytic (mantle cell) lymphoma (kiel classification) stage i,mantle cell lymphoma stage i
7892,malignant fibrous histiocytoma of bone localized,malignant fibrous histiocytoma of bone
7893,urethra cancer regional,urethral cancer
7894,gonococcal infection of pharynx,oropharyngeal gonococcal infection
7895,mycobacterium avium complex infection recurrent,mycobacterium avium complex infection
7896,anaphylactic shock due to peanuts,anaphylactic shock
7897,acute otitis media with effusion,otitis media acute
7898,diurnal serum cortisol abnormal,cortisol abnormal
7899,vaccination site dysesthesia,vaccination site dysaesthesia
7900,coxsackie virus serology test negative,coxsackie virus test negative
7901,necrosis tubular kidney,renal tubular necrosis
7902,gougerot-mulock-houwer syndrome,sjogren's syndrome
7903,fatty liver metamorphosis,hepatic steatosis
7904,bolivian hemorrhagic fever,bolivian haemorrhagic fever
7905,neuralgia facial,facial neuralgia
7906,monoplegia of lower limb affecting dominant side,monoplegia
7907,transitional cell carcinoma of the bladder stage ii,bladder transitional cell carcinoma stage ii
7908,intraoperative hepatobiliary injury,hepatobiliary procedural complication
7909,spindle cell malignant thymoma,thymoma malignant
7910,gastric hyperemia,gastric mucosa erythema
7911,addiction to drugs (excl drug psychosis),drug dependence
7912,esophageal squamous cell carcinoma site unspecified stage i,oesophageal squamous cell carcinoma stage i
7913,vulval edema,vulval oedema
7914,paederus dermatitis,dermatitis contact
7915,serous labyrinthitis,labyrinthitis
7916,lung segmentectomy,pulmonary resection
7917,stem cell mobilization,haematopoietic stem cell mobilisation
7918,anti-dna antibodies nos positive,dna antibody positive
7919,"tobacco use disorder, unspecified use",tobacco abuse
7920,full-thickness skin loss due to burn (third degree nos) of forearm,burns third degree
7921,comedone,acne
7922,"atrophic gastritis, without mention of hemorrhage",chronic gastritis
7923,"malignant neoplasm of ureteric orifice stage i, with cancer in situ","bladder cancer stage i, with cancer in situ"
7924,wenckebach,atrioventricular block second degree
7925,wrong patient package insert selected during dispensing,product dispensing error
7926,stomach tonus increased,gastric hypertonia
7927,qt interval normal,electrocardiogram qt interval normal
7928,chorioretinal disorder nos,chorioretinal disorder
7929,heart failure with reduced ejection fraction,cardiac failure
7930,retinal artery platelet emboli to eye,retinal artery embolism
7931,arterial ischaemia,ischaemia
7932,hyper ldl cholesterolemia,hypercholesterolaemia
7933,urti,upper respiratory tract infection
7934,involuntary bowel movement,anal incontinence
7935,ulcerated hemangioma,ulcerated haemangioma
7936,b-immunoblastic lymphoma (kiel classification) stage iii,diffuse large b-cell lymphoma stage iii
7937,"labyrinthine fistula, unspecified",labyrinthine fistula
7938,complicated malaria,malaria
7939,chlamydia urethritis,urethritis chlamydial
7940,diffuse mixed small and large cell lymphoma (peripheral t-cell lymphoma unspecified) stage ii,peripheral t-cell lymphoma unspecified stage ii
7941,post-sterilization regret,post-sterilisation regret
7942,large granular lymphocyte count increased,natural killer cell count increased
7943,ecg abnormal specific,electrocardiogram abnormal
7944,arteriovenous biliary fistula,biliary-vascular fistula
7945,nocardia brasiliensis test positive,nocardia test positive
7946,c1 inhibitor functional assay,c1 esterase inhibitor test
7947,diverticulitis nos,diverticulitis
7948,retinal blister,retinal disorder
7949,bird-fanciers' lung,hypersensitivity pneumonitis
7950,injection site ecchymosis,injection site haemorrhage
7951,benign monoclonal hypergammaglobulinemia,hypergammaglobulinaemia benign monoclonal
7952,pure hypercholesterolemia,type iia hyperlipidaemia
7953,epidemic arthritic erythema,septic arthritis streptobacillus
7954,surgical site infection,postoperative wound infection
7955,open fracture of sternal end of clavicle,clavicle fracture
7956,malignant neoplasm of upper lobe,lung neoplasm malignant
7957,palsy cerebral,cerebral palsy
7958,implant site reaction nos,implant site reaction
7959,trochanteric osteophyte,exostosis
7960,irregular pulse,heart rate irregular
7961,le-like discoid rash,cutaneous lupus erythematosus
7962,parotid tumor malignant stage iii,salivary gland cancer stage iii
7963,vulval epithelial disruption,vulvar erosion
7964,stage 1 acute kidney injury,acute kidney injury
7965,red spotty rash,rash macular
7966,basal cell carcinoma excision,skin neoplasm excision
7967,lynch syndrome,hereditary non-polyposis colorectal cancer syndrome
7968,iga gammopathy,monoclonal gammopathy
7969,lung injury nos,traumatic lung injury
7970,exposure during breast feeding,maternal exposure during breast feeding
7971,mediterranean spotted fever,boutonneuse fever
7972,ovarian germ cell embryonal carcinoma stage i b,ovarian germ cell embryonal carcinoma stage i
7973,thrombocytopaenic purpura,thrombocytopenic purpura
7974,heart block av first degree,atrioventricular block first degree
7975,cataract nos aggravated,cataract
7976,unsocialised disturbance of conduct,disturbance in social behaviour
7977,hallux valgus,foot deformity
7978,injury to oesophagus without mention of open wound into cavity,oesophageal injury
7979,unilateral eye abduction,eye movement disorder
7980,throat oedema,pharyngeal oedema
7981,"extreme immaturity, 1,000-1,249 grams",premature baby
7982,thoracic spinal instability,spinal instability
7983,diaphragmatic hernia congenital,congenital diaphragmatic hernia
7984,hemoglobin se disease,double heterozygous sickling disorders
7985,pancreas enzymes increased,pancreatic enzymes increased
7986,candidiasis respiratory,respiratory moniliasis
7987,swelling of limb,peripheral swelling
7988,serum iron decreased,blood iron decreased
7989,cervical vertebral fracture c7,cervical vertebral fracture
7990,drainage of frontal sinus,frontal sinus operation
7991,testicular yolk sac tumor stage i,testicular yolk sac tumour stage i
7992,oesophagus achalasia of,oesophageal achalasia
7993,intrahepatic bile duct carcinoma resectable,cholangiocarcinoma
7994,drug addiction,drug dependence
7995,laceration of head,skin laceration
7996,atrophic arthritis,arthritis
7997,blepharoptosis,eyelid ptosis
7998,ph urine low,ph urine decreased
7999,"infantile cerebral palsy, quadriplegic",cerebral palsy
8000,giant cell tumor of tendon sheath,giant cell tumour of tendon sheath
8001,deforming arthritis,arthritis
8002,thyroid malformation nos,thyroid malformation
8003,friedlander's pneumonia,pneumonia klebsiella
8004,transmission of an infectious agent via organ transplant,transmission of an infectious agent via transplant
8005,holmgren's skeins tests normal,colour vision tests normal
8006,club foot correction,talipes correction
8007,type ii diabetes mellitus with renal manifestations,diabetic nephropathy
8008,ri scan,radioisotope scan
8009,abnormal coagulation profile,coagulation test abnormal
8010,bile duct small cell carcinoma,bile duct cancer
8011,intracranial abscess,brain abscess
8012,"monocytic leukaemia, chronic",chronic myelomonocytic leukaemia
8013,serum iron,blood iron
8014,covid-19 pcr test negative,sars-cov-2 test negative
8015,spleen pain,abdominal pain
8016,"benign neoplasm of female genital organ, site unspecified",benign female reproductive tract neoplasm
8017,anomaly congenital musculoskeletal (nos),congenital musculoskeletal anomaly
8018,non-lymphoblastic leukemia nos,acute myeloid leukaemia
8019,mini mental state examination,mini mental status examination
8020,peptic ulceration (healed),peptic ulcer
8021,renal tb,renal tuberculosis
8022,malignant neoplasm of other specified parts of mouth recurrent,lip and/or oral cavity cancer recurrent
8023,anemia hemolytic icp,coombs positive haemolytic anaemia
8024,lower nephron nephrosis,renal tubular necrosis
8025,exudative senile macular degeneration of retina,neovascular age-related macular degeneration
8026,hess test,capillary fragility test
8027,testicular germ cell cancer nos,testicular germ cell cancer
8028,visible peristalsis,peristalsis visible
8029,ovarian brachytherapy,brachytherapy to ovary
8030,riboflavin transporter deficiency,brown-vialetto-van laere syndrome
8031,ischaemic vasculitis,vasculitis
8032,"closed dislocation, vertebra, unspecified site",dislocation of vertebra
8033,injury to internal jugular vein,venous injury
8034,atopic dermatitis flare,dermatitis atopic
8035,forehead swelling,swelling face
8036,kyphosis post surgical,kyphosis postoperative
8037,emphysematous bullectomy,pulmonary bullectomy
8038,unspecified disease of pulmonary circulation,pulmonary vascular disorder
8039,gastrointestinal tract anomaly nos,gastrointestinal malformation
8040,cpk,blood creatine phosphokinase
8041,renal failure acute on chronic,acute kidney injury
8042,atrioventricular block incomplete,atrioventricular block
8043,pulmonary function test nos abnormal,pulmonary function test abnormal
8044,acidosis aggravated,acidosis
8045,enlargement of orbit,deformity of orbit
8046,lumbar root pain,sciatica
8047,nasal strip therapy,nasal decongestion therapy
8048,depression psychotic,major depression
8049,pseudothalidomide syndrome,roberts syndrome
8050,menopausal urethral atrophy,urethral atrophy
8051,purulent arthritis,arthritis bacterial
8052,esophageal squamous cell carcinoma middle third in situ,oesophageal squamous cell carcinoma stage 0
8053,chandler's syndrome,iridocorneal endothelial syndrome
8054,great toe fracture,foot fracture
8055,benign meningioma,meningioma benign
8056,eruption fixed,fixed eruption
8057,drug name sound-alike,product name confusion
8058,oestradiol low,oestradiol decreased
8059,throat burning sensation of,throat irritation
8060,z score,bone densitometry
8061,perforation duodenal,duodenal perforation
8062,mammary hyperplasia bilateral,breast hyperplasia
8063,lyell's syndrome,toxic epidermal necrolysis
8064,bone disorder (nos),bone disorder
8065,wound infection due to pseudomonas aeruginosa,wound infection pseudomonas
8066,pentetreotide scan,somatostatin receptor scan
8067,fetal resorption,foetal death
8068,embolism limb,peripheral embolism
8069,abortion induced complete nos,abortion induced complete
8070,lumbar spine compression fracture,spinal compression fracture
8071,cerebral ischemia,cerebral ischaemia
8072,generalised muscle aches,myalgia
8073,allergic granulomatosis,eosinophilic granulomatosis with polyangiitis
8074,autonomy of thyroid gland,toxic nodular goitre
8075,acute posterior multifocal placoid pigment epitheliopathy,retinal pigment epitheliopathy
8076,precursor b-lymphoblastic lymphoma/leukaemia,precursor b-lymphoblastic lymphoma
8077,"b-lymphocytic, prolymphocytic leukemia (kiel classification) stage iii",b-cell prolymphocytic leukaemia
8078,inappropriate vasopressin secretion,inappropriate antidiuretic hormone secretion
8079,iron binding capacity total high,iron binding capacity total increased
8080,brain stem disorder nos,brain stem syndrome
8081,monocytoid b-cell lymphoma (extranodal marginal zone low grade b-cell of malt type) refractory,nodal marginal zone b-cell lymphoma refractory
8082,wound exploration,wound treatment
8083,diabetes mellitus progression,diabetes mellitus
8084,crohn's disease relapse,crohn's disease
8085,mesenchymal uterine tumor,uterine neoplasm
8086,palatal anaesthesia,dental local anaesthesia
8087,pressure venous increased,venous pressure increased
8088,free t4 high,thyroxine free increased
8089,"alcohol abuse, continuous drinking behavior",alcohol abuse
8090,large hematemesis,haematemesis
8091,premacular membrane,macular fibrosis
8092,intentional insertion of multiple intrauterine devices,intentional device use issue
8093,pain hunger,abdominal pain upper
8094,poisoning by oxytocic agents,toxicity to various agents
8095,urethra cancer,urethral cancer
8096,"intracranial hemorrhage, unspecified",haemorrhage intracranial
8097,hollenhorst plaque,retinal artery embolism
8098,microsatellite instability,dna mismatch repair protein gene mutation
8099,sialography abnormal,sialogram abnormal
8100,transjugular liver biopsy,biopsy liver
8101,bilirubin encephalopathy,kernicterus
8102,neisseria meningitis sepsis,meningococcal sepsis
8103,biopsy of cervical gland,biopsy lymph gland
8104,infected abortion (spontaneous),abortion infected
8105,luxation of globe,eye luxation
8106,"internal derangement of knee, unspecified",joint dislocation
8107,vaginal examination abnormal,gynaecological examination abnormal
8108,posterior inferior cerebellar artery occlusion,lateral medullary syndrome
8109,hereditary motor neuron disease,hereditary motor neurone disease
8110,reciprocating tachycardia,nodal arrhythmia
8111,unspecified crystal arthropathy involving multiple sites,crystal arthropathy
8112,infected chalazion,hordeolum
8113,oxidized low density lipoprotein,low density lipoprotein
8114,transobturator tape sling,urinary bladder suspension
8115,rhodococcus equi infection,rhodococcus infection
8116,hordeolum externum,hordeolum
8117,osteomyelitis recurrent,osteomyelitis
8118,conjunctival operation nos,conjunctival operation
8119,lymphosarcoma involving spleen,non-hodgkin's lymphoma stage iii
8120,symptomatic early congenital syphilis,congenital syphilis
8121,floaters in eye,vitreous floaters
8122,cervical culture,culture cervix
8123,product adhesion excessive,product adhesion issue
8124,neurological complication from device,neurological complication associated with device
8125,autoantibody nos,autoantibody test
8126,urine volume,urine output
8127,csf bacteria identified,bacterial test positive
8128,bone marrow toxicity,myelosuppression
8129,perianal carcinoma in situ,anal cancer stage 0
8130,cell count nos csf negative,csf cell count normal
8131,cryptic tonsil,tonsillar disorder
8132,intestinal infection due to campylobacter,campylobacter gastroenteritis
8133,spotting vaginal,vaginal haemorrhage
8134,dermatitis papular,rash papular
8135,diffuse cutaneous leishmaniasis,cutaneous leishmaniasis
8136,crabs (pubic lice),lice infestation
8137,"thoracic aneurysm, ruptured",aortic aneurysm rupture
8138,blood ethanal high,blood ethanal increased
8139,bad dreams,nightmare
8140,acid phosphatase prostatic low,prostatic acid phosphatase decreased
8141,generalized urticaria,urticaria
8142,shave biopsy,biopsy skin
8143,antinuclear antibody present,antinuclear antibody positive
8144,breast adenocarcinoma,breast cancer
8145,tissue puffing,swelling
8146,oestradiol abnormal nos,oestradiol abnormal
8147,lumbar radiculitis,lumbar radiculopathy
8148,allergic angiitis,hypersensitivity vasculitis
8149,small lymphocytic plasmacytoid lymphoma (working formulation) stage i,lymphoplasmacytoid lymphoma/immunocytoma stage i
8150,hydroxyproline urine abnormal,hydroxyproline abnormal
8151,artificial kidney clotting during dialysis,thrombosis in device
8152,hemorrhagic cholecystitis,haemorrhagic cholecystitis
8153,gallbladder cancer localised,gallbladder cancer
8154,grand mal convulsion,generalised tonic-clonic seizure
8155,eczematous rash,eczema
8156,red blood cell poikilocytosis present,red blood cell poikilocytes present
8157,device delivery system removal failed,complication of device removal
8158,dermatitis mycoid,fungal skin infection
8159,plague hemorrhagic,bubonic plague
8160,eye inflammation nos,eye inflammation
8161,plasma zinc,blood zinc
8162,parenteral rehydration,fluid replacement
8163,localized maculopapular rash,rash maculo-papular
8164,death by homicide,death
8165,folate abnormal nos,blood folate abnormal
8166,intra-venous cholecystogram,cholecystogram intravenous
8167,coagulation factor v level abnormal nos,coagulation factor v level abnormal
8168,erythrocyte scintigraphy,red blood cell scan
8169,"urinary bladder carcinoma stage i, without cancer in situ","bladder cancer stage i, without cancer in situ"
8170,asthenic personality disorder,personality disorder
8171,decompensated diabetes,diabetic metabolic decompensation
8172,disaccharide metabolism disorder nos,disaccharide metabolism disorder
8173,pyogenic arthritis involving upper arm,arthritis bacterial
8174,open dislocation of ankle,joint dislocation
8175,ck increased,blood creatine phosphokinase increased
8176,plasma albumin increased,blood albumin increased
8177,discharge breast female,breast discharge
8178,"acute myocardial infarction, of inferolateral wall, episode of care unspecified",acute myocardial infarction
8179,dependent personality,dependent personality disorder
8180,drug dose omission,product dose omission issue
8181,arthritis flare up,arthritis
8182,arm crushing,limb crushing injury
8183,immunodeficiency secondary to neoplasm,secondary immunodeficiency
8184,disc lesion cervical,intervertebral disc disorder
8185,tethered cord release,spinal cord operation
8186,knee deformity (acquired),knee deformity
8187,stokes adams syndrome,adams-stokes syndrome
8188,zinc low,blood zinc decreased
8189,hypertension pulmonary,pulmonary hypertension
8190,congenital facial diplegia,moebius ii syndrome
8191,instillation site peeling,instillation site exfoliation
8192,"bacteraemia, unspecified",bacteraemia
8193,perforation small intestine,small intestinal perforation
8194,hypokalaemic periodic paralysis,familial periodic paralysis
8195,mental function decreased,mental impairment
8196,psoas hitch procedure,ureteroneocystostomy
8197,hemoglobin distribution width decreased,haemoglobin distribution width decreased
8198,rieger's syndrome,anterior chamber cleavage syndrome
8199,age indeterminate inferior myocardial infarction,myocardial infarction
8200,neoplasm biliary tract,biliary neoplasm
8201,unilateral blindness,blindness unilateral
8202,cartilage repair,chondroplasty
8203,device migration,device dislocation
8204,hemorrhage vaginal,vaginal haemorrhage
8205,malignant neoplasm of cervical oesophagus,oesophageal carcinoma
8206,lumboischialgia,sciatica
8207,euthymia,cyclothymic disorder
8208,breath stacking,mechanical ventilation complication
8209,urinary tract stone,calculus urinary
8210,sensitivity of gums,gingival pain
8211,lip of pudendum hypertrophy,labia enlarged
8212,malignant neoplasm of other major salivary glands stage i,salivary gland cancer stage i
8213,paralysis of diaphragm,diaphragmatic paralysis
8214,split thickness skin graft,skin graft
8215,oximetry abnormal,oxygen saturation abnormal
8216,meningococcal pericarditis,pericarditis meningococcal
8217,thoracic sarcoma excision,sarcoma excision
8218,oedema arms,oedema peripheral
8219,osteochondropathies,bone disorder
8220,"simple dislocation, cervical vertebra",dislocation of vertebra
8221,abnormal thymol turbidity test,thymol turbidity test abnormal
8222,atrioventricular block third degree,atrioventricular block complete
8223,localized vascularization of cornea,corneal neovascularisation
8224,interference laboratory test,laboratory test interference
8225,"carcinoma in situ of skin of lower limb, incl hip",carcinoma in situ of skin
8226,adenocarcinoma of lung stage ii,lung adenocarcinoma stage ii
8227,hemorrhage intraabdominal,intra-abdominal haemorrhage
8228,pupillary reaction slow,pupillary reflex impaired
8229,leukaemia myeloid,myeloid leukaemia
8230,radioactive isotope pleura therapy,isotope therapy to pleura
8231,implant pancreas brachytherapy,brachytherapy to pancreas
8232,nickel sensitivity,allergy to metals
8233,slipped cervical disc,intervertebral disc protrusion
8234,"tuberculosis of ureter, confirmed by animal inoculation",tuberculosis ureter
8235,ovarian germ cell yolk sac tumour stage i,ovarian germ cell endodermal sinus tumour stage i
8236,female pattern baldness,androgenetic alopecia
8237,breast bleeding,breast haemorrhage
8238,infection by histoplasma capsulatum,histoplasmosis
8239,carcinoma bronchiogenic cell type unspecified stage iv,lung carcinoma cell type unspecified stage iv
8240,muscle flaccid,hypotonia
8241,arteriovenous graft site pruritus,vascular graft complication
8242,drug use less than labelled administration duration,product use issue
8243,complement factor c1,immune complex assay
8244,agitation on recovery from sedation,sedation complication
8245,phlegmonous angina,peritonsillar abscess
8246,hypocalcemia,hypocalcaemia
8247,crushing injury of scapular region,limb crushing injury
8248,agvhd,acute graft versus host disease
8249,"haemorrhage from placenta praevia, unspecified as to episode of care",placenta praevia haemorrhage
8250,gynecological infection,genital infection female
8251,congenital spine malformation nos,spine malformation
8252,cardiogenic pulmonary oedema,pulmonary oedema
8253,malignant neoplasm of pharynx stage iv,pharyngeal cancer stage iv
8254,candidiasis of skin nos,skin candida
8255,"cocaine abuse, episodic use",drug abuse
8256,macular ischemia,macular ischaemia
8257,recurrent ipsilateral stroke,cerebrovascular accident
8258,nuclear magnetic resonance imaging spinal,magnetic resonance imaging spinal
8259,hallucination-like abnormal behavior,abnormal behaviour
8260,sexual masochism,masochism
8261,semen liquefaction abnormal nos,semen liquefaction abnormal
8262,cramp,muscle spasms
8263,radiotherapy to peritoneum,radiotherapy to abdomen
8264,"foetal growth retardation, unspecified, 1,000-1,249 grams",foetal growth restriction
8265,skin ulcer removal,skin ulcer excision
8266,headache fullness,headache
8267,deja-vu,deja vu
8268,fibroadenosis of breast,fibroadenoma of breast
8269,breast cancer stage unspecified,breast cancer
8270,malignant neoplasm of other sites within the lip and oral cavity stage i,lip and/or oral cavity cancer stage i
8271,mid-urethral sling procedure,urinary bladder suspension
8272,knee effusion,joint effusion
8273,smith's fracture,radius fracture
8274,minor bleeding - timi classification,haemorrhage
8275,lichen planus-like keratosis,lichenoid keratosis
8276,proximal myopathy aggravated,myopathy
8277,induced labor,induced labour
8278,manual removal of placenta,retained placenta operation
8279,cranial nerve sensory neuropathy,cranial nerve disorder
8280,cherry hemangioma,haemangioma of skin
8281,wrong diluent used,product preparation error
8282,glucose strip test,blood glucose
8283,gastric biopsy normal,biopsy stomach normal
8284,stenosis ureteral,ureteric stenosis
8285,cruveilhier-baumgarten syndrome,portal hypertension
8286,anomalies congenital multiple,multiple congenital abnormalities
8287,aggravated bleeding tendency,haemorrhagic diathesis
8288,"primary tuberculous complex, confirmed histologically",tuberculosis
8289,keratosis palmaris,palmoplantar keratoderma
8290,acrodermatitis continua,pustular psoriasis
8291,adenocarcinoma of the gastrooesophageal junction,oesophageal adenocarcinoma
8292,sezary's disease refractory,cutaneous t-cell lymphoma refractory
8293,infant formula intolerance,breast milk substitute intolerance
8294,nuclear non-senile cataract,cataract nuclear
8295,transient blindness,blindness transient
8296,nasal mucosal inflammation,nasal inflammation
8297,headache histamine,cluster headache
8298,pancytopenia aggravated,pancytopenia
8299,propionic acidemia,hyperglycinaemia
8300,fractured nose,facial bones fracture
8301,myelogram normal,spinal myelogram normal
8302,pathological resorption of hard tooth tissue,tooth resorption
