text,ade,meddra,level
"@xyle50ul my cousin has bipolar she is on seroquel, her feet are always going &amp; she twirls her hair constantly is that a side effect of them",feet are always going,restlessness (drug related),LLT
@liftburn it all might be due to restlessness. #seroquel did make my legs go too!!,did make my legs go,restless legs,LLT
@liftburn it all might be due to restlessness. #seroquel did make my legs go too!!,restlessness,restlessness,PT
#tremors #schizophrenia #seroquel #sideeffects i reflect on the tension in my nerves and all the shaking... meditation helped me a lot.,shaking,shaking,LLT
#tremors #schizophrenia #seroquel #sideeffects i reflect on the tension in my nerves and all the shaking... meditation helped me a lot.,tension in my nerves,tension nervous,LLT
#tremors #schizophrenia #seroquel #sideeffects i reflect on the tension in my nerves and all the shaking... meditation helped me a lot.,tremors,tremor,PT
@arzbrocki nawh bactrim. cipro made me sick once.,sick,feeling sick,LLT
what! nightmare made me jump awake! not nice at all. thought #quetiapine was supposed to keep me asleep through the night #psychosis #fail,awake,insomnia,PT
what! nightmare made me jump awake! not nice at all. thought #quetiapine was supposed to keep me asleep through the night #psychosis #fail,nightmare,nightmares,LLT
"@r00shoes ""eh whatever"" was me for years on paxil cr, years 14-18. better than ""everything sucks i wanna die"" but i still had days like that",eh whatever,apathy,PT
well played tysabri...kicking butt #nosleep.,nosleep,sleeplessness,LLT
"u wailed all night; now y'r disembodied sobbing all damn'd day, ghost? ? effexor-xr?discontinuation syndrome ain't exactly heaven, angel",sobbing,crying,PT
"u wailed all night; now y'r disembodied sobbing all damn'd day, ghost? ? effexor-xr?discontinuation syndrome ain't exactly heaven, angel",wailed,crying,PT
"u wailed all night; now y'r disembodied sobbing all damn'd day, ghost? ? effexor-xr?discontinuation syndrome ain't exactly heaven, angel",discontinuation syndrome,withdrawal syndrome,PT
"the placebo week of birth control increases blood levels of lamictal, which in turn makes me a very cheerful insomniac.",insomniac,insomnia,PT
in need of a dream interpreter.. #quetiapine is really having an affect on my night visions.. some fucked up scenarios in my sleep lol :-/,night visions,frightening dreams,LLT
just had a marathon sleep past 24hrs on new dose of #duloxetine -hope my liver will be ok on it.woke with stressy tummy pains. #sideeffects,sleep past 24hrs,somnolence,PT
just had a marathon sleep past 24hrs on new dose of #duloxetine -hope my liver will be ok on it.woke with stressy tummy pains. #sideeffects,tummy pains,tummy ache,LLT
"promethazine with codein, a tessalon pearl &amp; a trazodone. i'm not coughing anymore but i'm even more exhausted.",exhausted,exhaustion,LLT
"#seb2013 fluoxetine - prosac - reduces anxiety in humans, but it also reduces libido and causes lethargy",lethargy,lethargic,LLT
"#seb2013 fluoxetine - prosac - reduces anxiety in humans, but it also reduces libido and causes lethargy",reduces libido,loss of libido,PT
does fluoxetine (anti-depressant) make you gain weight? id rather be sad then be fat :c,gain weight,weight gain,LLT
meds paranoia cos my leg is itching #lamictal #bipolar,leg is itching,itchy legs,LLT
meds paranoia cos my leg is itching #lamictal #bipolar,paranoia,paranoia,PT
anyone on cymbalta it is making me like a zombie and still hating the world.,zombie,felt like a zombie,LLT
anyone on cymbalta it is making me like a zombie and still hating the world.,hating the world,irritable,LLT
"there's a point where you know when trazodone has kicked in. it's when you're a drunk, staggering, blurry-eyed, amnesic. yeah. i'm there now",blurry-eyed,blurry vision,LLT
"there's a point where you know when trazodone has kicked in. it's when you're a drunk, staggering, blurry-eyed, amnesic. yeah. i'm there now",drunk,feeling drunk,PT
"there's a point where you know when trazodone has kicked in. it's when you're a drunk, staggering, blurry-eyed, amnesic. yeah. i'm there now",staggering,staggering,LLT
"there's a point where you know when trazodone has kicked in. it's when you're a drunk, staggering, blurry-eyed, amnesic. yeah. i'm there now",amnesic,memory impairment,PT
"20s 8th day with #effexor still experiencing some side effects (drowsiness,sleepiness,gi effects). moderate improvement in mood #depression",drowsiness,drowsiness,LLT
"20s 8th day with #effexor still experiencing some side effects (drowsiness,sleepiness,gi effects). moderate improvement in mood #depression",gi effects,gastrointestinal upset,LLT
"20s 8th day with #effexor still experiencing some side effects (drowsiness,sleepiness,gi effects). moderate improvement in mood #depression",sleepiness,sleepiness,LLT
@holeri81 crippled since oct of '09 thanks to just 12 cipro pills here...run for your life! tendon rupture is only the tip of the iceberg.,tendon rupture,tendon rupture,PT
@holeri81 crippled since oct of '09 thanks to just 12 cipro pills here...run for your life! tendon rupture is only the tip of the iceberg.,crippled,unable to walk,LLT
"@doctormcpa  had my doctor attempted to treat with bactrim prior to cipro, i wouldn't be crippled today.",crippled,unable to walk,LLT
&amp; i'm about to be sick af tomorrow because i ran out of paxil #withdrawal,sick,feeling sick,LLT
&amp; i'm about to be sick af tomorrow because i ran out of paxil #withdrawal,withdrawal,withdrawal syndrome,PT
@thebookgirl985 trazodone makes me hungry. prop my eyelids open with toothpicks and drive me to a buffet?,hungry,hunger,PT
@thebookgirl985 trazodone makes me hungry. prop my eyelids open with toothpicks and drive me to a buffet?,prop my eyelids open,somnolence,PT
"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky",connective tissue,connective tissue disorder,PT
"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky",lungs,lung disorder,PT
"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky",thyroid,thyroid disorder,PT
i am never taking baclofen and norflex the same day again. first i felt super drowsy but now i feel extremely high and it's freaking me out.,drowsy,drowsiness,LLT
i am never taking baclofen and norflex the same day again. first i felt super drowsy but now i feel extremely high and it's freaking me out.,high,feeling high,LLT
baclofen gives me a head high but it makes me feel like throwing up after. ugh. #thestruggle,high,feeling high,LLT
baclofen gives me a head high but it makes me feel like throwing up after. ugh. #thestruggle,feel like throwing up,nausea,PT
the cipro in you eyes burns but works its buffered for your ears seems stupid but if they take your life take it back, burns,burning eyes,LLT
the pathway of cipro is definitely murdering my mind right now ? #donedonedone,murdering my mind,mental impairment,PT
rt @indigo_rosie: my medication gives me weird &amp; bizarre dreams. not all bad though. last night i had dinner with the rolling stones #cipro?,weird &amp; bizarre dreams,bizarre dreams,LLT
@rickywarwick so true ricky! i went into anaphylactic shock &amp; almost died from taking cipro! dangerous drug - be careful!! take care.,anaphylactic shock,anaphylactic shock,PT
@rickywarwick so true ricky! i went into anaphylactic shock &amp; almost died from taking cipro! dangerous drug - be careful!! take care.,almost died,near death experience,PT
cipro makes my nose feel like its bleeding. but it's not. #phantomsangre,nose feel like its bleeding,bleeding nose,LLT
all i have to say is cipro will mess you up kids. don't get sick! #blagh #gross #weak,weak,weakness,LLT
@jessielee122 you can say that again!  i trusted my doc and ended up crippled thanks to just 12 cipro pills.  going on 4 years now.,crippled,invalid,LLT
"i'm too numb to feel, blow out the candle, blindness #np #cymbalta",numb to feel,lack of feeling emotions,LLT
my sim card isn't working aaggh i feel like im having cymbalta withdrawal again aaagh aaaggh,withdrawal,withdrawal symptom,LLT
"@stevecoy @joelanair all the things i have just make me sleepy as hell: cymbalta, klonopin, ambien. wait what if i take em all togethhssaagg",sleepy,sleepy,LLT
coming off cymbalta cold turkey.. day 4... i think i have vertigo! this is awful.,vertigo,vertigo,PT
"i feel soo much better today, cymbalta with drawls are going away :))",with drawls,withdrawal symptom,LLT
@neomoms i had been blaming my dizziness upon standing to my menopause but now on hrt &amp; no more flashes so looked at cymbalta side effs,dizziness,dizziness,PT
"@deltrimental effexor i found was not so bad. currently on cymbalta &amp;the wdrawals are vile. internet full of horror stories,",wdrawal,withdrawal symptom,LLT
"cymbalta, my mood has worsened",mood,mood disorder,LLT
from jessica i have recently changed anti-depressants from cymbalta to zoloft...does anyone else get daily migraines from taking zoloft?,migraines,migraine,PT
i swear thia cymbalta is causing me to have horrible nightmares!,nightmares,nightmares,LLT
i rilly want to get off cymbalta but i don't want to suffer through terrible withdrawals,withdrawals,withdrawal symptom,LLT
#effexor #withdrawl is a monster that i have taken by the horns and am wrestling to the ground...this time i am winning! 7thdayfree,withdrawl,withdrawal symptom,LLT
found them. starting back up on effexor. vomits shall ensue!,vomits,vomiting,PT
crying randomly at nothing and everything. sigh. thank you #effexor #withdrawls can you just exit my system already.,crying,crying,PT
crying randomly at nothing and everything. sigh. thank you #effexor #withdrawls can you just exit my system already.,withdrawls,withdrawal symptom,LLT
day 6 cold turkey from effexor. i believe this pic adequately represents my descent into madness. or whatever. http://t.co/vz0ofabia0,descent into madness,mental deterioration,LLT
@thatjunkiechick thank you! coming off effexor is not fun!,coming off effexor is not fun,withdrawal syndrome,PT
"effexor side effects; headaches, no appetite.",no appetite,appetite lost,LLT
"effexor side effects; headaches, no appetite.",headaches,headache,PT
@anarchasxworker coming off effexor was the worst ever. even my doctor was terrified of me doing it but the side effects left me no choice.,coming off effexor was the worst,withdrawal syndrome,PT
"down to just one tiny dose of effexor each night now. today wasnt too bad in terms of anxiety &amp; depression, but irritability? woosh!! way up",irritability,irritable,LLT
"@catthoma right, some ssris are used for cataplexy, as is effexor. can be tricky to wean off without rebound.  #nchat",rebound,rebound effect,PT
"@parthritis i don't know that one, but metho made me sick  everyday i took it. i had to stop. enbrel has worked wonders for me .. so far",sick,feeling sick,LLT
@joanne__howe enbrel is a miracle but it made my eyes worse :( so couldn't have it anymore :(,eyes worse,vision decreased,LLT
"@dsymons @melissadee_  i was only on 200 mg and was recently switched to 150 mg due to weight. it's still working with enbrel, though.",weight,weight gain,LLT
@amybadkin at the end of most working days! i still have to nap loads just to get through a week. some days better than others #enbrel,nap,daytime sleepiness,LLT
"@doctorchristian can reducing fluoxetine zap me of all energy?i've reduced from a high dose, now on standard does &amp; not feeling good at all.",not feeling good,feeling unwell,LLT
"@doctorchristian can reducing fluoxetine zap me of all energy?i've reduced from a high dose, now on standard does &amp; not feeling good at all.",zap me of all energy,loss of energy,LLT
fluoxetine makes me see shapes when i close my eyes,see shapes,visual disturbances,LLT
don't need any alcohol really when fluoxetine just makes me feel like i can't even stand,feel like i can't even stand,difficulty in standing,LLT
"@spicynyx fluoxetine and quet combo zombified me...ah, the meds merrygoround #bipolar",zombified,felt like a zombie,LLT
@bobsmithno6 i've found that it's okay to stop dead with prozac but not fluoxetine - i got terrible paraesthesia; it felt as though i was,paraesthesia,paraesthesia,PT
just woke up from a 14 hour nap thank u fluoxetine,14 hour nap,daytime sleepiness,LLT
rt @ocd_guy: restless leg syndrome is bad tonight.  damn you fluoxetine.,restless leg syndrome,restless leg syndrome,LLT
"you know starting with geodon, the meds messed up my attitude. how odd. it's not just about spirituality. i became a bit mean. that got",messed up my attitude,attitude change,LLT
"you know starting with geodon, the meds messed up my attitude. how odd. it's not just about spirituality. i became a bit mean. that got",mean,unpleasant personality,LLT
i'd gladly trade the #mtx  headache for #humira but after 5 months i still don't have the prescription. i function through vitamins &amp; motrin,headache,headache,PT
"@almostwell what problems did you have with humira, if you don't mind me asking. i tried infliximab it destroyed my liver.",destroyed my liver,liver damage,LLT
the day after my humira jab and as ever i'm mega tired. may have to go back to bed.,tired,tiredness,LLT
@uclaibd i never had bleeding or vomiting just alot alot of fatigue and face was pale and lost tons of weight.. #crohns #humira,fatigue,fatigue,PT
@uclaibd i never had bleeding or vomiting just alot alot of fatigue and face was pale and lost tons of weight.. #crohns #humira,pale,pale,LLT
@uclaibd i never had bleeding or vomiting just alot alot of fatigue and face was pale and lost tons of weight.. #crohns #humira,lost tons of weight,weight loss,LLT
@amybadkin @kate24hrs_aday not to worry - just a bit of temporary fuzziness. i've been on humira since 2007 &amp; love it.,fuzziness,fuzzy,LLT
@crohnsdiaries hi i was on humira for 4 months worked great until i got sick last week. don't know if i will go back on it or not.,sick,feeling sick,LLT
"@trainingwithra  nope, was on #enbrel 5yrs &amp; had to get off due to unrelenting flare. been on #humira since dec 2012. #rheum",flare,rheumatoid arthritis flare up,LLT
i don't want to take my humira at all the pain is always unbearable and i don't wanna,pain,pain,PT
scared of my #humira. keep feeling like i'm having a heart attack or panic attack. anyone else have these problems? #crohns #ra #help,like i'm having a heart attack,heart rate abnormal,PT
scared of my #humira. keep feeling like i'm having a heart attack or panic attack. anyone else have these problems? #crohns #ra #help,panic attack,panic attack,PT
fuck some lamictal...almost died. #fuck,almost died,near death experience,PT
i take 500mg of lamictal everyday i'm tired leave me alone,tired,tiredness,LLT
lamictal dosage increases kind of wreck my head for a day or two. but they also make me super productive as long as i can do things slowly.,wreck my head,mental impairment,PT
"@msbecker that's what u used to take that has wt loss as a side ""benefit"". tell  ur dr fuck abilify, i want me some lamictal.",wt loss,weight loss,LLT
first day of reduction back down to normal dose of lamotrigine-before i could literally feel it irritating my nerve endings,irritating my nerve endings,nerve pain,LLT
why does tapering down lamotrigine feel as yucky as stepping it up? #soreashell,yucky,feeling unwell,LLT
day 4: the initial lamotrigine lethargy kicked in the day before exams. i tell myself that possible failure is better than possible death.,lethargy,lethargic,LLT
it turns out that i can still ride a bike in spite of my ataxia (side effect of lamotrigine) it has been at least 25 years.,ataxia,ataxia,PT
lamotrigine causing steven johnson syndrome,steven johnson syndrome,stevens johnson syndrome,LLT
#epilepsy is sucktastic. neuro appt monday to discuss a third med after getting the rash with lamotrigine and the glaucoma with topiramate.,glaucoma,glaucoma,PT
#epilepsy is sucktastic. neuro appt monday to discuss a third med after getting the rash with lamotrigine and the glaucoma with topiramate.,rash,rash,PT
rt @silkius: @ouch_uk didnt know lamotrigine was addictive stopped as didnt think were helping @clusterheads 3 days of hell before realized?,addictive,dependence addictive,LLT
rt @silkius: @ouch_uk didnt know lamotrigine was addictive stopped as didnt think were helping @clusterheads 3 days of hell before realized?,3 days of hell,feeling unwell,LLT
allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/bkqnqwy5nk,allergic reaction ,allergic reaction,LLT
"@levaquin levaquin poisoned me and ruined my life! constant pain 24/7! i hate you, levaquin!",pain,pain,PT
"@levaquin levaquin poisoned me and ruined my life! constant pain 24/7! i hate you, levaquin!",poisoned,poisoning by antibiotic drugs,LLT
@thebeecharmer97 @wyrdotter @danadelany psssh didn't levaquin make u hallucinate? girl u best stay away from shrooms lol,hallucinate,hallucination,PT
nicotine lozenges are giving me stomach cramps.,stomach cramps,stomach cramps,LLT
this lozenge is making my whole mouth numb... is that normal?,numb,numbness mouth,LLT
it can get really cold when you have a halls lozenge,cold,feeling cold,PT
almost vomited on a zinc lozenge #yuk,almost vomited,nauseated,LLT
rt @jumpingjesush: it appears that my twitter addiction may have just been a side effect of my nicotine lozenge addiction.,addiction,addiction,LLT
@boatsnkrose they are on to you. poppin' metoprolol and she sweatin'.,sweatin,sweating,LLT
a big ol' fuck you to my doctor for not telling me a side effect of metoprolol was depression. just wait until i see you friday -.-,depression.,depression,PT
my nigga dante addicted to that nicotine,addicted,addiction,LLT
god there is nothing worse than nicotine withdrawal,withdrawal,withdrawal symptom,LLT
saying goodbye to smoking involves more than physical recovery from nicotine addiction #worldnotobaccoday (1),addiction,addiction,LLT
so much for no nicotine withdrawal. think i've about pissed everyone off this week. #needacigarette,withdrawal,withdrawal symptom,LLT
going to bed with a nicotine patch on... i really hope i don't have a nightmare.......,nightmare,nightmare,PT
@sugarrbutt     he has me on ciprofloxacin  and phenazopyride      i had severe pain  that started over the weekend when trying to use,pain,pain,PT
this levofloxacin got me feeling sick to my stomach!! ugh!!,sick to my stomach,nauseous,LLT
time for my commute. wondering if i'm going to cope with this everyday. it's like wading through treacle getting up so early on olanzapine,like wading through treacle getting up,groggy on awakening,LLT
on today's ride i burnt 1119 calories. take that olanzapine you hunger inducing bastard!!!,hunger inducing,hunger,PT
"actually it was more like a prison but with nurses instead of guards, olanzapine pill n im= #zombies",zombies,felt like a zombie,LLT
evening dose of lithium and olanzapine really knocks me out. in bed at 10.30pm on a friday night. rock and roll...#mylife,knocks me out,sleepiness,LLT
@doctorchristian i take olanzapine and have a permanent dry mouth what can i do to help it,dry mouth,dry mouth,PT
"olanzapine together. olanzapine is causing me to gain weight because i binge eat on it, normally in the evening. also sick of the joint pain",binge,binge eating,PT
"olanzapine together. olanzapine is causing me to gain weight because i binge eat on it, normally in the evening. also sick of the joint pain",joint pain,joint pain,LLT
"olanzapine together. olanzapine is causing me to gain weight because i binge eat on it, normally in the evening. also sick of the joint pain",gain weight,weight gain,LLT
"although my bitching about being fat did look a but comical next to my brother, with his olanzapine induced weight gain.",weight gain,weight gain,LLT
"@lithiumlibgirl i can relate to the olanzapine lbs, but you'll be great!",olanzapine lbs,weight gain,LLT
"@mrcbehan best of luck man! and they do suck :/ i was on olanzapine (abilify didnt work)...was awful, gained 3stone. off it nw n doin gud!",gained 3stone,weight gain,LLT
"@archangelolill isn't zyprexa also called olanzapine, if so ppl need to be careful of side effects &amp;addiction, can do more harm than good",addiction,addiction,LLT
@missynomatter i was on quetiapine and gained 40lbs &lt;wall&gt; so i am not even trying olanzapine. they gave me abilify cause it not supposed to,gained 40lbs,weight gain,LLT
"@psychcentral olanzapine made me gain 20 lbs in a few months, plus it gave me bad acne breakouts. had to beg my old shrink to take me off it",acne,acne,PT
"@psychcentral olanzapine made me gain 20 lbs in a few months, plus it gave me bad acne breakouts. had to beg my old shrink to take me off it",gain 20 lbs,weight gain,LLT
throbbing headache from not having my pills. 2 pills left i need to save. this sucks :( #paroxetine #socialanxiety,headache,headache,PT
@wielding my friends are annoying me and i'm having withdrawls from the paxil because american healthcare is a joke :(,withdrawls,withdrawal symptom,LLT
paxil withdrawal is nasty. do not like.,withdrawal,withdrawal symptom,LLT
paxil makes it nearly impossible to cry.,impossible to cry,lack of feeling emotions,LLT
"@bullfrogr @soozmc123 amil isnt so bad, paxil makes everything slow and haldol is ok, and haldol  .. i dunno how to explain what it does",slow,slowed thinking,LLT
i've been on paxil for 10 years for depression/anxiety and at first it used to help but i guess i've built up tolerance and i come too fast.,come too fast,premature ejaculation,PT
i've been on paxil for 10 years for depression/anxiety and at first it used to help but i guess i've built up tolerance and i come too fast.,tolerance,tachyphylaxis,PT
this paxil makes me pee so often omg #sorrynotsorry,pee so often,urination frequency of,LLT
"@richiel13 my doctor gave me paxil, which i think is similar but it's made me feel like crap.",feel like crap,feeling unwell,LLT
"promise, brownies honor i'm not stupid, i have been forgetting everything lately #paxil",forgetting,forgetfulness,LLT
"what i lack in money and personality, i make up for in paxil induced impotency",impotency,impotence,LLT
"things which are the spawn of satin: mosquitoes, bananas, facebook, paxil withdrawal symptoms. #bewareofsatin",withdrawal,withdrawal symptom,LLT
"@ta3fox yeah, pristiq is a different formulation or something of effexor. so similar withdrawal stuff :(",withdrawal,withdrawal symptom,LLT
"@hello_nacho @tobiasampersand i'm with you. even though the pristiq works, i still don't feel fully human.",don't feel fully human,lack of feeling emotions,LLT
my sleep schedule is all fucked up and pristiq is making me gain weight and i don't like this,sleep,sleep disturbance,LLT
my sleep schedule is all fucked up and pristiq is making me gain weight and i don't like this,gain weight,weight gain,LLT
"i've had no appetite since i started on prozac, i guess that's a good thing",no appetite,appetite lost,LLT
i am way too hyper to go home and do nothing tonight :( damn prozac &gt;.&lt;,hyper,hyperactive,LLT
"rules of prozac: 1: you can never sleep, ever again. never ever 2: no you may not switch your brain off. ever. 3: exhaustion is your friend.",exhaustion ,exhaustion,LLT
"rules of prozac: 1: you can never sleep, ever again. never ever 2: no you may not switch your brain off. ever. 3: exhaustion is your friend.",may not switch your brain off,racing thoughts,LLT
"rules of prozac: 1: you can never sleep, ever again. never ever 2: no you may not switch your brain off. ever. 3: exhaustion is your friend.",never sleep,sleep loss,LLT
whenever i drink and im on prozac i always feel a little bit sick and twice as drunk as i usually would,twice as drunk,alcohol intolerance,PT
whenever i drink and im on prozac i always feel a little bit sick and twice as drunk as i usually would,sick,feeling sick,LLT
suffice to say i am not particularly a fan of quetiapine sponsored dreams,dreams,dreams abnormal,LLT
"food doesn't help for energy, not sure how to get some get up and go! #newmeds #quetiapine #bipolar",energy,loss of energy,LLT
my increase of quetiapine is making me so tired #sleepy,sleepy,sleepy,LLT
my increase of quetiapine is making me so tired #sleepy,tired,tiredness,LLT
@tete_floue been thailand so many time it's lovely but always seem to have bad dreams every since i been on quetiapine x,bad dreams,bad dreams,LLT
@louiseypopssss quetiapine withdrawals.,withdrawals,withdrawal symptom,LLT
"just about dead, think it's bedtime.. fuck you quetiapine",just about dead,sleepiness,LLT
"@lavenderfuchsia i lost weight in the past but it was much easier. like 2 steps forward, one step back on the quetiapine.",weight,weight gain,LLT
"took a quetiapine it's been a while and i'm ready for bed, so tiiiiired",tiiiiired,tiredness,LLT
i think i'm gong to speak my gp about reducing quetiapine dosage. the weight gain from it is scaring the hell out of me.,weight gain,weight gain,LLT
sleeping my life away on #quetiapine. fine by me.,sleeping my life away,sleep excessive,LLT
"in other news, i've got my first weird side effect from quetiapine. numbness and tingling in my fingertips.",numbness,lack of feeling emotions,LLT
"in other news, i've got my first weird side effect from quetiapine. numbness and tingling in my fingertips.",tingling,tingling,LLT
@redbuttongirl i know. i just realised with everything else - i haven't taken the sodding quetiapine yet!! wondered why i wasn't drowsy doh!,drowsy,drowsiness,LLT
feeling a little dizzy from the quetiapine i just popped!,dizzy,dizzy,LLT
@embodiedtales please tell me that wasn't quetiapine! that stuff is sooo sedating...,sedating,sedation,PT
@iamcarrieeeeee not eating that badly but portions prob too big. quetiapine a factor. think i'd be ok with gentle exercise but not vigorous,portions prob too big,excessive eating,LLT
erm my pdoc wants me to go back on quetiapine. pointed out it had caused a heart arrhythmia last time. going back to gp to look at my ecg,heart arrhythmia,arrhythmia,PT
having a serious quetiapine haze this morning...,haze,fuzzy,LLT
"hello, world! quetiapine zombie this morning and i have a work call in about 45 minutes. perfect combination.",zombie,felt like a zombie,LLT
whoah so dizzing.  damn   tamazapam - shld probably wap back to quetiapine if this keeps up! but it makes me feel so ick!,dizzing,dizzy,LLT
whoah so dizzing.  damn   tamazapam - shld probably wap back to quetiapine if this keeps up! but it makes me feel so ick!,feel so ick,feeling unwell,LLT
#quetiapine is not doing me any favors #ifeelsick,sick,feeling sick,LLT
@cheer_bear13 am on 300mg quetiapine. mainly tiredness it causes with me.,tiredness,tiredness,LLT
@mewtopia ...face. and quetiapine slightly increases sun sensitivity too.,sun sensitivity,sun sensitivity,LLT
i hate my new medication. it makes me feel hungry :-( #quetiapine,hungry,feeling hungry,LLT
01.10 day 13 rivaroxaban diary. headache over right side of head; lower back pain. wrote letter to my gp &amp; his colleague outlining problems,back pain,back pain,PT
01.10 day 13 rivaroxaban diary. headache over right side of head; lower back pain. wrote letter to my gp &amp; his colleague outlining problems,headache,headache,PT
03.25 day 13 rivaroxaban diary. neck ache and right shoulder ache. lower back pain.,back pain,back pain,PT
03.25 day 13 rivaroxaban diary. neck ache and right shoulder ache. lower back pain.,neck ache,neck pain,PT
03.25 day 13 rivaroxaban diary. neck ache and right shoulder ache. lower back pain.,shoulder ache,shoulder pain,LLT
20.12 day 15 rivaroxaban diary. haven't yet taken today's tablet. will when i eat. still intense lower back pain from yesterday's tablet.,back pain,back pain,PT
"05.00 day 17 rivaroxaban diary. woken up by pain in neck, hips and legs.",pain in neck,neck pain,PT
"05.00 day 17 rivaroxaban diary. woken up by pain in neck, hips and legs.",hips,pain in hip,LLT
"05.00 day 17 rivaroxaban diary. woken up by pain in neck, hips and legs.",legs,pains in legs,LLT
"14.11 day 17 rivaroxaban diary. still waiting for doctor to phone me ""around lunchtime"". taken more paracetamol to dull the aches.",aches,ache,LLT
"21.19 day 17 rivaroxaban diary. aches are related to pressure on my body, e.g. if sitting then in back, buttoocks and legs 1/2",aches,ache,LLT
seroquel gives me nightmares every fucking night but i take it anyway,nightmares,nightmares,LLT
i don't like taking seroquel at night. makes me crabby the whole time the following day. something about feeling sluggish and groggy. aargh.,crabby,irritable,LLT
i don't like taking seroquel at night. makes me crabby the whole time the following day. something about feeling sluggish and groggy. aargh.,sluggish and groggy,sluggishness,PT
"so, i lasted 16 days on seroquel. i couldn't handle the awful side effects. constantly dizzy and lightheadeded &amp; a myriad of other bad stuff",dizzy,dizzy,LLT
"so, i lasted 16 days on seroquel. i couldn't handle the awful side effects. constantly dizzy and lightheadeded &amp; a myriad of other bad stuff",lightheadeded ,lightheadedness,LLT
well i didn't gain 18 kg in 24 hrs. seroquel gained it for me over 8 months. ffffffffffuuuuuuu,gain 18 kg,weight gain,LLT
@luckystubbs i take way too much zoloft and seroquel to get the horn my life is a lie,get the horn my life,loss of libido,PT
@trenchtimelow ooh. i was on seroquel. and withdrawal is a bitch. i'm not even fully off it yet either.,withdrawal,withdrawal symptom,LLT
popped a seroquel now i'm sleepy,sleepy,sleepy,LLT
"have been in a lot of pain all day though and i feel and look like a zombie. seroquel is quite an annoying medication, ugh. -.-",zombie,felt like a zombie,LLT
"have been in a lot of pain all day though and i feel and look like a zombie. seroquel is quite an annoying medication, ugh. -.-",pain,pain,PT
just took seroquel. now i'm freaking out that i will end up sleeping 15 hrs and miss my 12pm appt tomorrow,sleeping 15 hrs,sleep excessive,LLT
time to let this seroquel take me into some weird dimension and see crazy shit in my dreams. i was getting shot at by gangstas last night,crazy shit in my dreams,bizarre dreams,LLT
"i'm tired of being tired, deffinatly #nap time for this girl. stupid #medications #paxil #trazodone #seroquel",nap time,daytime sleepiness,LLT
"i'm tired of being tired, deffinatly #nap time for this girl. stupid #medications #paxil #trazodone #seroquel",tired,tiredness,LLT
oh hello seroquel old friend i mi*passes out on bed*,passes out,passed out,LLT
@annchildersmd interesting! my experience with patients taking seroquel is massive weight gain.,weight gain,weight gain,LLT
"tell you okes what: when your dr. says only take seroquel at night, only take it at night. zombiness galore.",zombiness,felt like a zombie,LLT
"oh, what a great idea watching gordan ramsay cook at 4am when i'm hungry from my seroquel.",hungry,feeling hungry,LLT
@brain_opera i had to taper myself down. i think the seroquel gave me lasting sleep paralysis. i've had it ever since.,sleep paralysis,sleep paralysis,PT
the one time i'm glad for seroquel memory loss,memory loss,memory loss,LLT
@thunderangel454 meds work differently for each person. i know seroquel xr was hell for me &amp; i gained weight but can be heaven for another,gained weight,weight gain,LLT
@cardiwithpearls enjoy :) haha. i take it + seroquel + klonopin every night for sleep. it can make me very loopy sometimes!,loopy,fuzzy,LLT
this seroquel-dry-mouth thing is getting weird,dry-mouth,dry mouth,PT
i've been really forgetting to take my paxil lately but if i take it with a my seroquel it makes my sinuses close up :(,sinuses close up,nasal stuffiness,LLT
"@_katball natural don't work for me, try 300mg of seroquel...you'll sleep for days, i have insomnia that's what they give me lol",sleep for days,sleep excessive,LLT
"nb: not psychotic ;) seroquel used off-label for ptsd. ctl?d many sympts, helped sleep. but side fx - weight gain - caused terrible pain.",pain,pain,PT
"nb: not psychotic ;) seroquel used off-label for ptsd. ctl?d many sympts, helped sleep. but side fx - weight gain - caused terrible pain.",weight gain,weight gain,LLT
@kickdblcj they increased my celexa. took me off seroquel because it was screwing with my memory. i go back in two weeks to see how its goin,screwing with my memory,memory impairment,PT
lucidity rn is probably some med's fault...with my luck probably klonopin and not seroquel,lucidity ,thinking sluggish,LLT
@psychiatrysho partly true but olanzapine is the worst ever for inducing carb cravings for some unfortunate ppl serequel and clozaril a 2nd,carb cravings,carbohydrate craving,LLT
going back to bed for a nap. seroquel has turned me into a zombie again today.,zombie,felt like a zombie,LLT
"i stopped taking my seroquel because i hate it. i can barely function on it, hopefully my cpn &amp; psychiatrist can advise a 'nicer' med.",barely function,mental function decreased,LLT
@glass1ncision  -nods-  my zombie-ness when i first wake up in the morning is mostly from my nightly meds too (seroquel).,zombie-ness,felt like a zombie,LLT
really bad rls fron seroquel :(,rls,restless leg syndrome,LLT
it was 6th period when i was still fucked up off them vicodins &amp; seroquel. i remember it was lunch &amp; i left because something pissed me off.,fucked up,feeling unwell,LLT
@gsxr1kbusakilla but i switched to trazodone ... i was doing some crazy ish on ambien smh not good lol,crazy ish,psychosis,LLT
